,index,date,caption,comments,likes
18,18,2021-11-22 00:10:11,"ACCESORIES MONDAY 💍✨

join us every monday for some pretty accesories 😍💖

follow us and turn on the countdown reminder on our story so u won’t miss out ! 💖",0,66
19,19,2021-11-21 18:49:04,"mini points from brazil 🇧🇷 
- clear quartz, amethyst, smoky quartz -

join us on tues, 23rd November, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",0,73
20,20,2021-11-20 20:33:44,"high quality mini citrine points 💛

join us on tues, 23rd november, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",2,60
21,21,2021-11-14 19:00:52,"spirit flower geodes 💜 
POPULAR RESTOCK!!

join us on tues, 16th November, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",1,92
22,22,2021-11-13 20:38:49,"pink amethyst freeform 💗

join us on tues, 16th November, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",0,75
23,23,2021-11-13 18:37:15,"pink crazy lace agate from indonesia 💖

which is your favourite shape? 😍

join us on tues, 16th November, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",1,117
24,24,2021-11-05 20:51:25,"HIGH QUALITY RAINBOW AMETHYST GEODES 😍🌈

join us on tues, 9th November, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",3,188
25,25,2021-10-30 21:46:28,"sky blue quartz ☁️💙
-spheres, towers, hearts-

join us on tues, 2nd November, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",3,137
26,26,2021-10-24 12:05:02,"mini spheres 🔴🟠🟡🟢🔵🟣⚫️⚪️🟤

available in:
fire quartz, carnelian, malachite, green aventurine, amazonite, lavender fluorite, blue lace agate, aquamarine, kunzite, morganite, rose quartz and smoky Quartz 

join us on tues, 26th october, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",14,255
27,27,2021-10-23 20:49:15,"fluorites 🌈

join us on tues, 26th october, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",9,187
28,28,2021-10-17 19:55:28,"rose quartz 💖
-the stone of universal love- 

join us on tues, 19th october, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",1,119
