,index,date,caption,comments,likes
11,11,2022-03-08 21:21:21,"“𝔪𝔦𝔡𝔫𝔦𝔤𝔥𝔱 𝔤𝔩𝔬𝔴” 🔮

Peep our exclusive collaboration with @blackcrow_taxidermy on our website!✨ Some of these bewitching blings are on their way to new homes, while some others are patiently awaiting for their chosen owners 🖤 Link in bio!

Hand beaded by 𝔪𝔞𝔪𝔞 𝔫𝔬𝔠𝔱𝔢, morpho adonis butterfly pendant by Vivian🦋",7,-1
12,12,2022-03-07 16:03:05,"𝔟𝔲𝔱𝔱𝔢𝔯𝔣𝔩𝔶 𝔵 𝔠𝔯𝔶𝔰𝔱𝔞𝔩 𝔡𝔬𝔪𝔢 🦋

Featuring aura quartz cluster with the cutest little yellow butterflies from @blackcrow_taxidermy 💛

Love the play of the reds and yellows as they complement the iridescent aura colors on the quartz✨

Only 3 available on the site tonight, 7pm!

#butterflydome #taxidermy #taxidermyart #butterflytaxidermy #crystaldome #crystals #auraquartz #taxidermyjewelry #witchesofinstagram #sgcrystals #crystalbutterfly #sgcrystalshop #sgcrystalseller #sgcrystalhealing #sgflowers #flowerart",0,-1
13,13,2022-02-20 17:36:48,"🥀𝔠𝔥𝔬𝔬𝔰𝔢 𝔩𝔬𝔳𝔢 𝔢𝔳𝔢𝔯𝔶 𝔡𝔞𝔶 🥀

so are we strangers or lovers? whichever spectrum you fall on, I hope you’ll choose love every day, either way. 

we’ve developed two sample scents for our illa nocte fam - 𝔩𝔬𝔳𝔢𝔯𝔰 being more complex with double the ingredients list than 𝔰𝔱𝔯𝔞𝔫𝔤𝔢𝔯𝔰 - it tends to be the case isn’t it?

DM to purchase!",2,-1
14,14,2022-02-18 15:50:42,"𝔞𝔩𝔩 𝔶𝔬𝔲 𝔫𝔢𝔢𝔡 𝔱𝔥𝔦𝔰 ②⓪②②: ✨𝔠𝔦𝔱𝔯𝔦𝔫𝔢✨

#sgcrystals #sgcrystalshop #sgcrystalseller #citrine #wealth #abundance #manifest #citrinequartz #brazil #success #sgwitchescommunity #witchesofinstagram #spiritual #fengshui",2,64
15,15,2022-02-17 20:54:07,"confetti scoops CNY edition 🤑💰

#sgcrystals #sgcrystalshop #sgcrystalseller #crystalconfetti #crystalhealing #witchesofinstagram #spiritual #abundance #wealth #manifest",15,289
16,16,2022-02-06 22:54:18,"𝔯𝔦𝔠𝔥 𝔴𝔦𝔱𝔠𝔥 𝔢𝔫𝔢𝔯𝔤𝔶 𝔬𝔫𝔩𝔶 💰✨

Start supercharging your life now with our high quality citrines with superb clarity, all from Arucuia, Brazil. 

Known as the merchant’s stone, Citrine is all about envisioning your goals and pursuing them. Step into YOUR power with confidence 💪🏼 From here on out, we only accept rich witch energy only 🙊
 
Mined in June 2018.
DM to enquire 👑",2,187
17,17,2022-02-03 20:46:39,𝔥𝔞𝔭𝔭𝔶 𝔩𝔲𝔫𝔞𝔯 𝔫𝔢𝔴 𝔶𝔢𝔞𝔯 🧧,1,-1
18,18,2022-02-02 17:03:10,"𝔱𝔥𝔞𝔫𝔨 𝔶𝔬𝔲 𝔣𝔬𝔯 𝔟𝔢𝔦𝔫𝔤 𝔞 𝔭𝔞𝔯𝔱 𝔬𝔣 𝔬𝔲𝔯 “𝔰𝔱𝔯𝔞𝔫𝔤𝔢𝔯𝔰 𝔬𝔯 𝔩𝔬𝔳𝔢𝔯𝔰?” 𝔭𝔬𝔭 𝔲𝔭 🌹

We had such a blast at our first pop up of 2022! Everything was curated from the bottom of our hearts for Valentine’s❣️To immortalize our first proper pop up after 2 years, here’s some highlights of the event!

A big warm hug to all who came by and participated in our confessional + lucky draw (ILLA NOCTE’S DARKEST SECRETS) 🥺 There is strength and bravery in being vulnerable - give yourself a little love for daring to bare your soul and showing up for yourselves 💪🏼 

This year (and for many more to come), we hope all of you will remember to treat not just others, but yourselves with love and kindness 😇💘

Till the next pop up,
bel",0,-1
19,19,2022-01-20 16:12:02,"𝔰𝔱𝔯𝔞𝔫𝔤𝔢𝔯𝔰 𝔬𝔯 𝔩𝔬𝔳𝔢𝔯𝔰?
A VALENTINE’S DAY POP UP BY ILLA NOCTE✨

Since day 1 (we’ve been here for a long time 😹), I’ve always envisioned ILLA NOCTE to be more than just a crystal store. While the past few years have been our proudest journey filled with love, hard work, tears, joy, AND a lot of crystals, I do think that there is a lot more room for growth and steering it into the direction we’ve imagined from the start.

“Not just a crystal store” can mean many things but one core value we have, is to constantly put all of your experiences FIRST and to ONLY release products that we’re 100% satisfied with. 

With that said, I’m happy to introduce our latest confessional + lucky draw box concept - ILLA NOCTE’S DARKEST SECRETS. We will be featuring this for the first time at our pop up! Every $30 purchase gets you an entry to write down all your deepest, darkest secrets and confessions. This time, to a stranger or a lover with the prompt of: ALL THE THINGS I SHOULD HAVE SAID BUT DIDN’T. 

There will be lucky draw prizes for selected entries! This draw will be announced on our IG live stream💘
 
I hope you’ll come by to experience all that we have prepared for you, and to bare your soul with us🌹

See you on the other side!
22 & 23 January, 1 to 9pm
195 pearl’s hill terrace #01-10 @blackcrow_taxidermy",0,-1
20,20,2022-01-20 03:34:33,"𝖘𝖙𝖗𝖆𝖓𝖌𝖊𝖗𝖘 𝖔𝖗 𝖑𝖔𝖛𝖊𝖗𝖘?
A VALENTINE’S DAY POP UP BY ILLA NOCTE✨

What was meant to be our first pop up of 2022 turns out to be a full blown concept and lots of running ideas 🥵 Frankly, as much as it may seem like we’re overdoing it…I’m feeling so inspired to make some noise 🔥

This Valentine’s Day pop up theme was to pay homage to my own experiences and I believe, the experience of many others. Transitioning from strangers to lovers, or lovers to strangers and everything in between does evoke a myriad of complex emotions and experiences. There isn’t any wrong or right way to go about them. It certainly isn’t easy but I find comfort in knowing that we can exist in grey areas. 

I hope whoever is reading this can find comfort in the grey areas too. This pop up theme is for everyone who have been a stranger, a lover, loved a stranger, a lover, or are still loving and anything in between 💘

Also, it blows my mind that the intersection of the Venn diagram looks exactly like the 👁 design on our freshly painted manicure 💅🤯

See you on the other side!
22 & 23 January, 1 to 9pm
195 pearl’s hill terrace #01-10 @blackcrow_taxidermy",1,-1
