,index,date,caption,comments,likes
16,16,2022-01-17 11:05:38,"【Stones of Mind Power】

Ready for these rare & beautiful stones from Turkey and Russia?

This week’s feature focus on your mind, body and soul to boost your pathway to smooth success in work & life. 

Empowering the owner to not only be strong in mentality, also at the same time, stabilising the soul & managing tensions.

See you this Friday!
21st Jan 2022, 7PM !!

Main Live Table:
- Gem Lepidolite Towers 
 (rare + glittery )
- Scheelite Towers (rare)
- Muscovite Palm (rare + glittery)
- Seraphinite Slabs (rare) 
- Labradorite (crazy sheens!) 
 (rainbow/purple/pink/blue sheens!) 

Aside Table Menu: 
- Yellow Jade Ingots
- Yellow Jade baby spheres 
 (new price)
- Brazil Citrine (high grade)
- Moss Agate Towers
- Golden Healer (high grade) 
- 升官发财 Career & Advancement

And join in our new Emoji Challenge game to win gems home!! All are welcome to join the fun!!!! 
 
#crystalsg #lepidolite #seraphites #scheelite #labradorite #crystals #gemstones #brazilcitrine #sgcrystals #healinggemstones",1,76
17,17,2022-01-12 12:06:08,"QUICK TABLE SCAN !

Can’t wait to share all the
HUAT-ness around !!!

See you 14th Jan, 7pm LIVE !

Yellow Jade Amarillo 
(yellow/orange Jadeite) 

Symbolizes wealth, good fortune, friendship, and loyalty. 

It is considered to promote emotional stability, balance, loving relationships, luck, wisdom, protection and a long life. 

Live Table:
Fated HUAT bowls Yellow Jade (聚财盆）
Mini Ruyi Scepter Yellow Jade (事事如意)
Ingots Yellow Jade （黄金满贯）
Pixiu Labradorite / Tiger eye / Blue Tiger Eye / Green Aventurine
升官发财 in MANY different gemstones ! 

Aside on table: 
Baby Citrines
Ametrines (rare)
Pyrite Agates (rare)
Pyrite Nuggest 
Moss Agate (limited pieces) 

#yellowjade #wealthbowl #ingot #pixu #labradorite #tigereye #bluetigereye #brazilcitrine #citrine #citrinecrystal #ametrine #ametrines #crystal #crystals #sgcrystals #sgcrystal",2,48
18,18,2022-01-12 11:50:24,"【Yellow Jade HUAT Bowl】

Get your HUAT Bowl ready for 2022!!

To manifest & collect your wealth when it comes knocking!! 

Wealth needs a good nest to stay!!

See you 14th Jan, 7pm LIVE !!!",0,126
19,19,2022-01-12 11:40:12,"💰【HUAT Yellow Jade】💰

Yellow Jade Amarillo 
(yellow/orange Jadeite) 
Symbolizes wealth, good fortune, friendship, and loyalty. 

It is considered to promote emotional stability, balance, loving relationships, luck, wisdom, protection and a long life. 

Stay tune to our upcoming Live, 14th Jan 2022, 7pm!!

Live Table:
Fated HUAT bowls Yellow Jade
 (聚财盆/聚宝盆）
Mini Ruyi Scepter Yellow Jade 
(事事如意)
Ingots Yellow Jade 
(黄金满贯）
Pixiu Labradorite / Tiger eye / Blue Tiger Eye / Green Aventurine
升官发财 in MANY different gemstones ! 

Aside on table: 
Baby Citrines
Ametrines (rare)
Pyrite Agates (rare)
Pyrite Nuggest 
Moss Agate (limited pieces) 

#yellowjade #wealthbowl #ingot #pixu #labradorite #tigereye #bluetigereye #brazilcitrine #citrine #citrinecrystal #ametrine #ametrines #crystal #crystals #sgcrystals #sgcrystal",1,89
20,20,2022-01-02 22:31:02,"💰Huat all the way in 2022! 💰
- Natural Citrine & Pyrites -

Pyrite is a powerful protective stone that creates a shield against negative energy. It's also a wonderful abundance stone, encouraging wealth, prosperity, and success. It is also called the ultimate stone of luck, prosperity and abundance as it attracts coins and cash summoning the Law of Attraction to bring you more and more. Pairing it with Citrine will radiate energy which will bring your big dreams into physical form. 

If you own a business, one of the best things you can do is to keep a piece of Pyrite and Citrine in your cash register or on your business card to attract money. Citrine also has warm vibrations that boost your confidence and self-esteem.

Available this coming Friday, 7pm! 
.
.
#citrine #pyrite #crystal #crystalsg #sgcrystal #crystals",2,92
21,21,2022-01-01 13:25:38,"[Carry the Huatness to 2022]
Pyrite Eggy - One of the reason egg form is such a popular shape in crystal is because it represent new beginnings. If you are looking for a fresh new start, crystals in egg shape are perfect for you. 

Pyrite eggs are good for placing in office or place of business (such as study room where you work) when you are starting a new venture. They will put you on the path of courageousness and success.

See ya 7th Jan 2022, 7pm as we bring you together to the path of Huatness and success! 

#pyrite #pyrites #crystal #crystals #crystalsg #sgcrystal",3,255
22,22,2021-12-31 15:04:36,"[Carry The Huat to 2022!]
If you’re looking to Huat your career, business and wallet this 2022, Pyrite is one of the best stone you HAVE to collect! 

This is one of the most popular crystals for money because it is known to remedy financial hardship and attract wealth. It supports your financial journey by filling you with confidence and a stronger sense of self-worth so you can become a magnet for wealth. Through these properties, Pyrite fosters wealth in both subtle and larger ways.

Available on 7th Jan, 7pm! 
#pyrites #crystals #sgcrystals #sgcryatal #crystal #wealthystone",0,71
23,23,2021-12-31 08:56:00,"[Carry the Huatness to 2022]
Goodbye 2021 and Hello 2022!!! 
One of the best crystal to own in the brand new year of 2022 - Huat your business and career! 

Here we have all these mini clusters for you to decor around your Huat-ty crystals! 

They are all stunningly shinny - “ahh, my eyes!” 

Come join us, 7th Jan 2022, 7pm as we bring you along to Huat the 2022! 

#aggyisback #pyrite #crystal #crystals #sgcrystal #crystalsg",1,119
24,24,2021-12-30 01:19:04,"💰Carry the Huatness to 2022💰
Couldn’t contain our excitement to start the year with one of the best quality batch of Citrine collection. 

Strongly recommend not to miss out this batch of Citrine as some of it comes with Phantom (new opportunities), Garden Quartz (wealth and success) inclusion, and some really really clear ones (rare)!! 

And, not to worry as we have enough for everyone - catering to people who loves the Dua Leng Gong to the Xiao Choo Bee! 

See ya on 7th Jan, 7pm ♥️
Set the timer to be reminded!

#citrine #citrines #crystal #crystals #crystalsg #sgcrystal #huatnessoverload #huatnesstothemax",0,54
25,25,2021-12-29 14:47:20,"💰Carry the Huat to 2022💰
Natural Citrine - yes, We heard your scream. Presenting to you one of the most popular crystals in relating to Wealth and Abundance. 

Citrine is a popular type of quartz crystal often used to in conjunction with feng shui to welcome abundance, prosperity, and positivity.

The far left corner is your wealth area. If you would like to welcome more financial abundance into your life, add a piece of citrine to this area of your home. 

Join us 7th Jan (Fri), 7pm as we bring you to beauty of Huatness! 

#citrine #citrines #sgcrystal #crystalsg #crystals #crystal",0,76
