Day of Week,Hour,comments,likes
Saturday,21,730.0,353.0
Monday,12,471.0,336.0
Saturday,12,750.5,323.0
Friday,17,439.0,239.0
Monday,17,308.0,164.0
Sunday,10,11.0,137.0
Friday,15,4.0,78.0
Sunday,12,415.0,-1.0
