Day of Week,Hour,comments,likes
Saturday,04,750.5,323.0
Saturday,13,730.0,353.0
Monday,04,471.0,336.0
Friday,09,439.0,239.0
Sunday,04,415.0,-1.0
Monday,09,308.0,164.0
Sunday,02,11.0,137.0
Friday,07,4.0,78.0
