,follower,no_of_followers,no_of_followees,is_private,ratio,no_of_posts
5300,ita.azalea,211,1180,TRUE,5.592417062,14
5301,nzfyyyy_,379,443,TRUE,1.168865435,21
5302,law.felicia,66,661,TRUE,10.01515152,49
5303,crystalsfanatic,3,29,TRUE,9.666666667,0
5304,sabbysotong,184,287,TRUE,1.559782609,3571
5305,jenniferkok71,73,2317,TRUE,31.73972603,0
5306,ylwee,98,495,TRUE,5.051020408,8
5307,meizhen060690,7,21,TRUE,3,0
5308,selenegohps,168,366,TRUE,2.178571429,161
5309,kiki_lala26,157,541,TRUE,3.445859873,134
5310,lynes_che,87,180,TRUE,2.068965517,157
5311,peiyingloves,143,628,TRUE,4.391608392,168
5312,kokotrufflez,279,1478,TRUE,5.297491039,343
5313,jeanne_lky,801,1872,TRUE,2.337078652,364
5314,elizxatay,289,561,TRUE,1.941176471,997
5315,jyckh,1540,2700,FALSE,1.753246753,1779
5316,afaf.bawazier,397,1360,TRUE,3.425692695,121
5317,chuadio,43,391,TRUE,9.093023256,7
5318,achubukaka,5895,1205,FALSE,0.204410517,235
5319,kaykhaingwin167843,66,67,FALSE,1.015151515,0
5320,min.x.xx,1010,998,FALSE,0.988118812,3653
5321,chuyan82,32,102,TRUE,3.1875,0
5322,sabbychia,313,814,TRUE,2.600638978,1941
5323,teh.josephine,681,471,FALSE,0.691629956,140
5324,chelsxxlin,216,449,TRUE,2.078703704,330
5325,shihui96_,412,952,TRUE,2.310679612,146
5326,tricia__yang,612,1759,TRUE,2.874183007,175
5327,nang_nyp,319,477,TRUE,1.495297806,25
5328,dowinlee_,718,997,FALSE,1.388579387,870
5329,hysbbygirlforever_,97,455,TRUE,4.690721649,0
5330,phyphyxie,770,1234,FALSE,1.602597403,265
5331,shxfa_shariff_,530,1535,TRUE,2.896226415,22
5332,kat.stcl,484,1609,TRUE,3.324380165,29
5333,limyujun,151,2835,TRUE,18.77483444,55
5334,mykneeisalwayspain,15,686,TRUE,45.73333333,563
5335,chrispysk,163,532,TRUE,3.263803681,521
5336,aogway,43,288,TRUE,6.697674419,1331
5337,dbmy,543,843,FALSE,1.552486188,302
5338,heyoka.alchemy,517,504,FALSE,0.974854932,77
5339,lin_mei_shan,699,3376,TRUE,4.829756795,1731
5340,chongsiewhiong,19,6,FALSE,0.315789474,0
5341,wx_lim,808,907,TRUE,1.122524752,156
5342,melaaa_xp,92,141,TRUE,1.532608696,0
5343,hiihelloothere,0,48,TRUE,48,0
5344,joyce_piccolina,954,870,FALSE,0.911949686,38
5345,jelinechia,3186,2653,FALSE,0.832705587,502
5346,nailz_paradise,612,498,FALSE,0.81372549,575
5347,zhiyange,133,1566,TRUE,11.77443609,1139
5348,qingenyam,401,1084,TRUE,2.703241895,2
5349,_imjxn,388,425,FALSE,1.095360825,14
5350,thirtymay_30,756,954,FALSE,1.261904762,21
5351,tino0ot,591,1403,TRUE,2.37394247,937
5352,clavjav,41,266,TRUE,6.487804878,408
5353,h.pingg,119,301,TRUE,2.529411765,297
5354,winyting,245,557,TRUE,2.273469388,904
5355,michellelft,312,223,FALSE,0.71474359,68
5356,sh.op_97,106,2939,FALSE,27.72641509,0
5357,annalimsm,3121,435,TRUE,0.139378404,244
5358,jennychow1953,4,8,FALSE,2,0
5359,kay.leeco,12,149,FALSE,12.41666667,0
5360,_shzn_,483,2825,FALSE,5.848861284,50
5361,king.crystal242,428,857,FALSE,2.002336449,110
5362,candyang75,126,232,TRUE,1.841269841,203
5363,lunakvo,187,412,FALSE,2.203208556,85
5364,wanxin_belle,5393,4198,FALSE,0.778416466,1723
5365,calistar88,276,524,FALSE,1.898550725,337
5366,_mlenlashsg,29,100,FALSE,3.448275862,24
5367,attick18,823,1280,FALSE,1.555285541,1348
5368,xxsyazwinabilahxx,474,1758,TRUE,3.708860759,80
5369,nah_ellehcim,2,42,TRUE,21,0
5370,_pink_panther,11,49,TRUE,4.454545455,0
5371,celinecheng31,144,141,FALSE,0.979166667,9
5372,devonlau,49,697,TRUE,14.2244898,1456
5373,fis.wellnest,63,247,FALSE,3.920634921,0
5374,brownie_the_toy_poodle_,188,628,TRUE,3.340425532,644
5375,toebeansandbunnies,90,109,FALSE,1.211111111,78
5376,hyeimun,696,2317,TRUE,3.329022989,782
5377,chua.sl,24,110,TRUE,4.583333333,7
5378,surfskateruff,91,524,FALSE,5.758241758,831
5379,shahrinjohry,1748,953,FALSE,0.545194508,1210
5380,oomymuses,666,441,FALSE,0.662162162,66
5381,appletann,346,275,TRUE,0.794797688,324
5382,xfifthjuly,307,900,TRUE,2.931596091,747
5383,miranda_ong,680,1267,FALSE,1.863235294,372
5384,jofeny,57,143,TRUE,2.50877193,6
5385,hsien_ni,229,408,TRUE,1.781659389,74
5386,hzmdr.a,192,299,TRUE,1.557291667,86
5387,_mandy.manda94_,41,420,TRUE,10.24390244,4
5388,waynieweiwei,855,1209,TRUE,1.414035088,0
5389,ccachun,0,139,TRUE,139,0
