,follower,no_of_followers,no_of_followees,is_private,ratio,no_of_posts
10800,blusox,122,919,TRUE,7.532786885,146
10801,hazeldazzale,321,905,TRUE,2.819314642,1984
10802,dap_c,323,738,TRUE,2.284829721,140
10803,sashinmee,8,33,TRUE,4.125,0
10804,ema_abd,728,1427,TRUE,1.960164835,214
10805,jojylee,521,643,FALSE,1.234165067,749
10806,_cheryl.lynn,246,679,FALSE,2.760162602,23
10807,pigsflyupupup,210,1859,TRUE,8.852380952,1902
10808,callingfordaisies,68,580,TRUE,8.529411765,489
10809,esahkamsha,1,327,TRUE,327,12
10810,littlemissylate,191,559,TRUE,2.926701571,1089
10811,yokyen927,160,790,FALSE,4.9375,1
10812,lulu_luv4,318,1515,TRUE,4.764150943,320
10813,qiqi_ivy_queen,797,588,FALSE,0.737766625,1441
10814,mei_lin_,217,326,TRUE,1.502304147,188
10815,cenyings,327,746,TRUE,2.281345566,346
10816,celest_song,33,132,TRUE,4,3
10817,peii.lingg,119,239,TRUE,2.008403361,557
10818,_needlethread_,632,3342,FALSE,5.287974684,194
10819,jamainelim,1430,920,TRUE,0.643356643,101
10820,w_l.531,10,537,TRUE,53.7,0
10821,xinphoney,152,1004,TRUE,6.605263158,171
10822,dlpam,193,719,TRUE,3.725388601,472
10823,euniceloke,455,847,TRUE,1.861538462,143
10824,janicetcc,849,3462,FALSE,4.077738516,256
10825,sylviatan06,28,408,TRUE,14.57142857,100
10826,lotusonhand,169,238,TRUE,1.408284024,2942
10827,jasminekohxoxq,272,778,TRUE,2.860294118,0
10828,staceyphon,23,678,TRUE,29.47826087,110
10829,pe1x1ant,157,1304,TRUE,8.305732484,358
10830,_m.ic.h_,245,572,TRUE,2.334693878,951
10831,readyandsnap,0,313,TRUE,313,13
10832,blahblahqi,409,592,TRUE,1.447432763,156
10833,snow._.e,79,239,TRUE,3.025316456,30
10834,sallysayo,121,105,FALSE,0.867768595,8
10835,greycatcrystal,408,834,TRUE,2.044117647,0
10836,yweilin,136,526,TRUE,3.867647059,707
10837,moulisation,158,2873,TRUE,18.1835443,965
10838,eastwestcrystals,409,411,FALSE,1.004889976,12
10839,whomi_imtrez,211,739,TRUE,3.502369668,219
10840,freeflywin,21,50,TRUE,2.380952381,16
10841,peaceflamez,40,339,TRUE,8.475,695
10842,yoo.woohoo,88,1269,TRUE,14.42045455,53
10843,mmavillanueva,339,1417,TRUE,4.179941003,2357
10844,cateycate11,134,1393,TRUE,10.39552239,377
10845,28shiney28,57,1265,TRUE,22.19298246,997
10846,jewelbling,80,948,TRUE,11.85,1194
10847,zyfiee,221,610,TRUE,2.760180995,67
10848,mt24m,120,1053,TRUE,8.775,1273
10849,jasmicheng,33,160,TRUE,4.848484848,160
10850,kkkkkjiaying,512,718,TRUE,1.40234375,139
10851,irene_sgmy,219,592,TRUE,2.703196347,104
10852,maisy_fu,308,2534,TRUE,8.227272727,873
10853,goodjujuclub.co,191,186,FALSE,0.97382199,27
10854,macbethlim,81,982,TRUE,12.12345679,298
10855,jeslinw,59,1156,TRUE,19.59322034,2
10856,euloveart,329,943,TRUE,2.866261398,495
10857,lovetherane,109,1329,TRUE,12.19266055,31
10858,3st3ll3.ng,31,2109,TRUE,68.03225806,352
10859,calisechua,22,122,TRUE,5.545454545,0
10860,pingerrain,473,943,FALSE,1.993657505,1224
10861,sharinchia,1017,6257,FALSE,6.152409046,859
10862,oclingz,358,1722,TRUE,4.810055866,617
10863,feliciaongproperty,76,141,FALSE,1.855263158,24
10864,nonialfie,681,1621,TRUE,2.380323054,681
10865,madame.tsk,2,89,TRUE,44.5,0
10866,vanessakzq,463,347,TRUE,0.749460043,10
10867,mason.n.mayen,1086,818,FALSE,0.753222836,1363
10868,kaylahalil,137,2112,TRUE,15.41605839,0
10869,jialinj,321,320,FALSE,0.996884735,1210
