,follower,no_of_followers,no_of_followees,is_private,ratio,no_of_posts
7300,ivy2967,57,118,TRUE,2.070175439,30
7301,danii_crystal_seller,242,1399,FALSE,5.780991736,188
7302,yizhen7682,660,1787,TRUE,2.707575758,25
7303,joeynzy,914,1741,FALSE,1.904814004,213
7304,missjun89,273,2646,TRUE,9.692307692,65
7305,errlyynno,1039,1674,TRUE,1.611164581,1664
7306,zzhizzz,116,614,TRUE,5.293103448,4782
7307,sclorra,129,284,TRUE,2.201550388,230
7308,michiyoangelica12,33,217,TRUE,6.575757576,146
7309,prissyy,247,1120,TRUE,4.534412955,898
7310,michyap_,240,495,TRUE,2.0625,464
7311,s_hermit_e,54,207,TRUE,3.833333333,3
7312,lihoon2004,209,142,FALSE,0.679425837,177
7313,auddd_ong,259,303,FALSE,1.16988417,182
7314,robiah_aziz,653,2128,FALSE,3.258805513,2
7315,mrpopiah,883,950,FALSE,1.07587769,956
7316,priscillaleecc,48,115,TRUE,2.395833333,57
7317,cheonging1101,86,171,TRUE,1.988372093,101
7318,mintaminah,309,687,FALSE,2.223300971,5
7319,xinjuanz,56,185,FALSE,3.303571429,14
7320,sam_2876,103,374,TRUE,3.631067961,4
7321,lian.x9,330,550,TRUE,1.666666667,54
7322,jamie_liing,400,467,TRUE,1.1675,708
7323,klingsmail,74,238,TRUE,3.216216216,252
7324,mmqisya,93,2039,TRUE,21.92473118,0
7325,hooishan9932,205,254,TRUE,1.23902439,373
7326,lilylim18,77,170,FALSE,2.207792208,1
7327,soonwee1984,64,43,FALSE,0.671875,0
7328,_qweenie7_,189,370,TRUE,1.957671958,186
7329,mommypeppi,121,962,TRUE,7.950413223,638
7330,evonchc,264,261,TRUE,0.988636364,872
7331,chee.wan.908,372,900,FALSE,2.419354839,8
7332,amiardilablitar,270,452,TRUE,1.674074074,85
7333,jeslintjl,194,488,FALSE,2.515463918,368
7334,beprettywith_daphne,198,114,FALSE,0.575757576,122
7335,jaslyn.teo.s.c,344,1252,TRUE,3.639534884,8
7336,cherilynjefferson,89,416,TRUE,4.674157303,1337
7337,nnyogis,333,671,TRUE,2.015015015,22
7338,tortilla_cornchips,67,98,TRUE,1.462686567,147
7339,sexycherry,383,901,TRUE,2.352480418,898
7340,sweesays,322,1282,TRUE,3.98136646,1811
7341,kasminntan,405,819,FALSE,2.022222222,92
7342,dliu0507,315,826,FALSE,2.622222222,0
7343,huiyuu,498,234,TRUE,0.469879518,2138
7344,laviamgrath,103,87,FALSE,0.844660194,34
7345,jeryong19,56,407,TRUE,7.267857143,766
7346,dreambythemoonandsun,321,1118,FALSE,3.482866044,14
7347,melswee,755,1195,TRUE,1.582781457,201
7348,heartness87,107,149,TRUE,1.392523364,22
7349,maple26,67,483,TRUE,7.208955224,89
7350,painz_n_gainz,37,186,TRUE,5.027027027,156
7351,ariel_cheng,29,1533,TRUE,52.86206897,218
7352,anastacia.3527,85,63,FALSE,0.741176471,16
7353,angelsallaroundsg,201,385,FALSE,1.915422886,38
7354,syl_wanhui,421,573,TRUE,1.361045131,118
7355,elaineling84,1036,2273,FALSE,2.194015444,279
7356,hypergamzz,142,225,FALSE,1.584507042,35
7357,aihuiw,447,313,FALSE,0.700223714,169
7358,713never,641,213,TRUE,0.332293292,167
7359,nathanmages_0324,52,264,TRUE,5.076923077,1441
