Unnamed: 0,follower,no_of_followers,no_of_followees,is_private,ratio,no_of_posts
122,cindyng1811,324,2001,FALSE,6.175925926,245
123,felipyon,1171,1724,FALSE,1.472245944,2556
124,xcashgolden,19,17,FALSE,0.894736842,0
125,hic_1411,19,17,FALSE,0.894736842,0
126,ila_nnnnn,955,6039,TRUE,6.323560209,2
127,pauline_tay1704,18,147,TRUE,8.166666667,4
128,babyjuju,51,283,TRUE,5.549019608,239
129,im_pokywoky,111,450,TRUE,4.054054054,199
130,llylylyly,452,470,TRUE,1.039823009,101
131,janetong2000,194,209,FALSE,1.077319588,58
132,missyaffair,217,179,FALSE,0.824884793,58
133,gladasylang,129,837,TRUE,6.488372093,45
134,yasminzbd,983,7499,FALSE,7.628687691,15
135,reddyy89,0,131,TRUE,131,0
136,hy0909,266,420,TRUE,1.578947368,1021
137,inatan3872,40,180,FALSE,4.5,0
138,ireneloh80,221,1038,TRUE,4.696832579,277
139,nurulfatinas,483,2076,TRUE,4.298136646,215
140,lj_ooi100,251,1603,FALSE,6.386454183,34
141,ikin.croffisa,1673,2117,TRUE,1.265391512,931
142,pigletlicious,86,1796,TRUE,20.88372093,1352
143,jjjen16,48,216,FALSE,4.5,335
144,pearllfy,297,450,TRUE,1.515151515,545
145,shopaholicdreams,57,95,TRUE,1.666666667,604
146,clarapp82,225,1448,TRUE,6.435555556,34
147,choice_minimalist,19,454,TRUE,23.89473684,8
148,rachelsuyi,20,66,TRUE,3.3,11
149,jayexong,375,876,TRUE,2.336,71
150,niracrystal_wholesale,212,3721,FALSE,17.55188679,166
151,sharakader,57,2017,TRUE,35.38596491,116
152,9sxd9,0,559,TRUE,559,10
153,imnotthatplainjane,406,998,TRUE,2.458128079,3091
154,thebigbiq,646,762,FALSE,1.179566563,194
155,senoriessa,1297,1108,TRUE,0.854279106,200
156,brigitte2622,170,525,TRUE,3.088235294,596
157,superstardadada,113,326,FALSE,2.884955752,335
158,eliiii_elephant,11,106,FALSE,9.636363636,5
159,simbeehua,31,123,TRUE,3.967741935,138
160,katcyy,148,126,FALSE,0.851351351,47
161,wnd.123,480,1637,TRUE,3.410416667,160
162,h_m.traderr,1782,4349,FALSE,2.440516274,818
163,steadynad,442,589,FALSE,1.332579186,173
164,medusafreya,120,1118,TRUE,9.316666667,58
165,estariand,683,2120,FALSE,3.103953148,2068
166,micheonggm,192,282,TRUE,1.46875,1194
167,ginnywoo,60,440,TRUE,7.333333333,33
168,ndh_.rh,272,264,FALSE,0.970588235,6
169,jmieonders,107,379,TRUE,3.542056075,157
170,babygabby,58,423,TRUE,7.293103448,1
171,vnehta,84,752,TRUE,8.952380952,3
172,rachellimerdinger,132,304,TRUE,2.303030303,105
173,anaqilyanahairi,5967,992,FALSE,0.166247696,985
174,jmj1801,825,3545,TRUE,4.296969697,5993
175,ahaneah,33,864,TRUE,26.18181818,1331
176,syl.vivi.anne,80,325,TRUE,4.0625,219
177,iamtitimasdollah,97,476,TRUE,4.907216495,13
178,luwenagoh,78,144,TRUE,1.846153846,326
179,eve_li8,77,1046,FALSE,13.58441558,17
180,mt.chua.7,111,152,FALSE,1.369369369,573
181,suhailafnsm,51,747,TRUE,14.64705882,242
182,annacxyy,475,649,TRUE,1.366315789,2
183,maomaokat10,290,1700,TRUE,5.862068966,53
184,thinklikeagirl,143,1708,TRUE,11.94405594,638
185,magical_crystaland,24,123,TRUE,5.125,4
186,jkln2218,336,1227,TRUE,3.651785714,210
187,totoro_secretgarden,89,394,FALSE,4.426966292,14
188,gaonanie,59,109,TRUE,1.847457627,67
189,viiviishinnn,474,400,TRUE,0.843881857,168
190,angelus_en_noir,81,261,TRUE,3.222222222,892
191,_xirahhh,314,2017,TRUE,6.423566879,2
192,strwbrrykiko,314,2017,TRUE,6.423566879,2
193,ireneong67,43,110,FALSE,2.558139535,9
194,chxntxll,230,3396,TRUE,14.76521739,453
195,intoxicatedcaffeine,116,348,TRUE,3,2319
196,bubble._.bobble,79,293,TRUE,3.708860759,114
197,deliaaaacjy,119,687,TRUE,5.773109244,726
198,ckhayashi19,34,86,FALSE,2.529411765,5
199,remixt,157,850,TRUE,5.414012739,617
200,cheecheescheese,294,470,FALSE,1.598639456,127
201,adrienechin,205,251,TRUE,1.224390244,710
202,ykristabella,449,645,FALSE,1.436525612,57
203,pohrebecca,64,773,TRUE,12.078125,1071
204,lxntricia,372,347,TRUE,0.932795699,15
205,marilynpang_40,50,231,TRUE,4.62,1
206,dianatanhs,306,408,TRUE,1.333333333,2
207,island_gemstore,306,408,TRUE,1.333333333,2
208,annapoh.low,41,103,TRUE,2.512195122,687
209,ets.elec,20,160,TRUE,8,155
210,rosafeb22,2015,1164,FALSE,0.577667494,1393
211,bimi_le,110,359,TRUE,3.263636364,259
212,dolp,400,338,TRUE,0.845,555
213,ricks_nandwani,14125,215,FALSE,0.015221239,1190
214,mineralsrocksshop2.0,14125,215,FALSE,0.015221239,1190
215,askvifirst,147,179,FALSE,1.217687075,10
216,linakwa,321,613,TRUE,1.909657321,632
217,cassann55,63,53,FALSE,0.841269841,0
218,wan.yeee,1115,791,TRUE,0.70941704,47
219,rogerina85,156,406,TRUE,2.602564103,210
220,priscillakoo,49,205,TRUE,4.183673469,821
221,miracle_of_crystal,1,326,TRUE,326,0
222,gouwanne,274,1188,TRUE,4.335766423,505
223,be.the.light.crystals,529,499,FALSE,0.943289225,67
224,11111_shasha,6,2101,TRUE,350.1666667,0
225,29.nnny,182,504,TRUE,2.769230769,2276
226,bethlim83,433,644,TRUE,1.487297921,337
227,felichan,184,205,FALSE,1.114130435,243
228,evon.lim.944,24,26,FALSE,1.083333333,1
229,estherli545,446,1875,FALSE,4.204035874,47
230,babycoolkids.s,12,1212,TRUE,101,0
231,yuen_enn,342,469,TRUE,1.371345029,21
232,margaretcsk,42,100,TRUE,2.380952381,1
233,mistihearts_,123,317,FALSE,2.577235772,51
234,babe_74,52,88,TRUE,1.692307692,57
235,altheabriseis_iii,286,1182,FALSE,4.132867133,1712
236,cherriesty,108,1124,TRUE,10.40740741,3287
237,ssiewkee,45,85,TRUE,1.888888889,30
238,apriltham,189,260,TRUE,1.375661376,284
239,itsaddumb,2582,1824,FALSE,0.706429125,37
240,kareenl_,299,361,FALSE,1.20735786,85
241,aj_wiz21,417,293,FALSE,0.70263789,11
242,simplicitywine,748,1364,TRUE,1.823529412,204
243,ichi.umai,1378,264,FALSE,0.191582003,36
244,ross3ll3,165,280,TRUE,1.696969697,5
245,piggy_shan1102,632,562,FALSE,0.889240506,780
246,alocasiabeauty,49,90,FALSE,1.836734694,31
247,raczing,108,428,TRUE,3.962962963,154
248,counting_elephant,341,1060,FALSE,3.108504399,567
249,ivyangcy,296,992,FALSE,3.351351351,490
250,san3_8989,493,1021,TRUE,2.070993915,374
251,audisaaclarisse,21,120,TRUE,5.714285714,517
252,tfjosephine,44,110,FALSE,2.5,0
253,cubby_bie,547,2435,TRUE,4.451553931,508
254,joannengbl,10,96,TRUE,9.6,2
255,cuterabbit72,91,675,FALSE,7.417582418,98
256,seasonlee1010,32,475,TRUE,14.84375,1158
257,mii__doreen__reen,653,1133,FALSE,1.735068913,246
258,leihoi,914,653,FALSE,0.714442013,1854
259,neshrella,485,740,TRUE,1.525773196,1112
260,tateandeden,228,1150,TRUE,5.043859649,126
261,priscillaindumathi,692,2443,TRUE,3.530346821,274
262,milkyice,121,942,TRUE,7.785123967,18
263,enchantedencounterss,45,45,FALSE,1,25
264,jnlyx,34,927,TRUE,27.26470588,1814
265,padina.irani79,709,7492,TRUE,10.56699577,129
266,aileenleesp,58,204,TRUE,3.517241379,336
267,atikah_bahar,11,1183,TRUE,107.5454545,26
268,npeisze,265,551,TRUE,2.079245283,564
269,meenzsweetz,1274,6944,TRUE,5.450549451,631
270,nicole_cytan,55,44,FALSE,0.8,26
271,nxrsafiah.sayf,1012,5031,TRUE,4.971343874,3006
272,michlgk71,137,1189,TRUE,8.678832117,1159
273,shuwenlee,271,341,TRUE,1.258302583,2606
274,firdatum,576,1268,TRUE,2.201388889,1855
275,andreashlynaiden,193,216,TRUE,1.119170984,364
276,nicolebuttons,56,453,TRUE,8.089285714,0
277,delunaxkitty,372,4213,TRUE,11.32526882,181
278,fiqahzam16,306,1070,FALSE,3.496732026,43
279,sheliatan,21725,372,FALSE,0.01712313,3813
280,happykim12345,1,2779,TRUE,2779,1737
281,addiyenoh12,84,328,TRUE,3.904761905,253
282,angelhnx1983,59,518,TRUE,8.779661017,235
283,vivianang,222,614,TRUE,2.765765766,668
284,our_bele_bella,149,164,FALSE,1.100671141,446
285,zoelzk,941,560,TRUE,0.595111583,129
286,avariellej,423,1189,TRUE,2.810874704,1744
287,linn_eu,69,286,TRUE,4.144927536,35
288,meyzhiiii,287,2910,TRUE,10.13937282,717
289,felicia_soon,189,446,FALSE,2.35978836,128
290,tammieleeyh,155,841,TRUE,5.425806452,106
291,tongvonne,94,45,FALSE,0.478723404,10
292,enghong10,75,192,TRUE,2.56,0
293,anna_reenn,75,192,TRUE,2.56,0
294,kimmivalbergtan,1487,3547,TRUE,2.38533961,679
295,sh3ryl_dreamer,174,414,TRUE,2.379310345,385
296,kathykqw_,969,802,TRUE,0.827657379,1383
297,vietphan_,437,388,TRUE,0.887871854,255
298,leliancheah,126,1552,TRUE,12.31746032,3007
299,luckycrystalsx,445,1843,FALSE,4.141573034,39
300,gnimoos,79,735,TRUE,9.303797468,94
301,vivienleeff,183,473,FALSE,2.584699454,9
302,maybelng,253,1098,FALSE,4.339920949,137
303,celinejayzi,101,356,FALSE,3.524752475,42
304,ruiwennie,147,236,TRUE,1.605442177,246
305,ngyulie777,291,1050,TRUE,3.608247423,104
306,ringsandthethings,0,19,TRUE,19,52
307,cloe._.c,154,312,TRUE,2.025974026,0
308,joycelimml,42,41,TRUE,0.976190476,4
309,wendylimmm77,50,62,TRUE,1.24,32
310,xiushan33,109,158,TRUE,1.449541284,87
311,inlmkha,1,12,TRUE,12,0
312,moch4luv,18,200,TRUE,11.11111111,24
313,naixswww,109,406,TRUE,3.724770642,28
314,insanetlc,72,502,TRUE,6.972222222,5113
315,desireeewl,390,605,TRUE,1.551282051,465
316,farahphillipskhan,935,469,TRUE,0.501604278,31
317,vbajn_o,46,70,TRUE,1.52173913,0
318,hamburgershiny,397,774,TRUE,1.949622166,93
319,diary_crystal_tourmaline,0,16,FALSE,16,3
320,angelialim_,128,131,TRUE,1.0234375,8
321,djvchong,46,1528,TRUE,33.2173913,41
322,xslx123,19,363,TRUE,19.10526316,26
323,gem_stones_33,852,3761,FALSE,4.414319249,138
324,pinkuyuki,300,832,FALSE,2.773333333,2099
325,neelieool,145,872,TRUE,6.013793103,565
326,dragonfumo,2,3,FALSE,1.5,0
327,mabel194,28,52,TRUE,1.857142857,2
328,niya.craft.crystal,58,70,FALSE,1.206896552,141
329,123456789jjlim,10,15,TRUE,1.5,6
330,emmychels,95,174,TRUE,1.831578947,109
331,qwehearts,350,1120,TRUE,3.2,406
332,hazely,110,570,TRUE,5.181818182,328
333,zestafest,161,271,TRUE,1.683229814,173
334,daisy.andsunny,10,136,TRUE,13.6,3
335,xmelmel,199,287,TRUE,1.442211055,866
336,clarabeelengg,608,994,TRUE,1.634868421,179
337,peasantfood.my,460,3621,FALSE,7.87173913,209
338,ellure_lindy,806,1617,FALSE,2.006203474,1304
339,yandao.hui,5,52,FALSE,10.4,1
340,g.jiayi_,430,1135,FALSE,2.639534884,255
341,miss.harsono,880,1053,FALSE,1.196590909,467
342,tiffanysou315,740,579,TRUE,0.782432432,240
343,mannie08,343,1087,TRUE,3.16909621,2003
344,carrielicious_qiqi,343,623,TRUE,1.816326531,32
345,pixiuchambersg,40,140,FALSE,3.5,5
346,elithialucas,214,853,TRUE,3.985981308,901
347,junnywenny,345,1077,TRUE,3.12173913,155
348,factory1wholesale,8180,6636,FALSE,0.811246944,6750
349,yxhxm__,347,1403,TRUE,4.043227666,291
350,sitizuraidah_mdlatiff,444,3817,TRUE,8.596846847,1223
351,jerynyjq,946,794,TRUE,0.839323467,4
352,ecosway.rockingham,7,20,FALSE,2.857142857,0
353,crystalina_73,121,41,FALSE,0.338842975,0
354,adella_namakulala,392,827,TRUE,2.109693878,552
355,trickofgrammar,1274,878,FALSE,0.689167975,149
356,k_xhx,211,353,TRUE,1.672985782,242
357,evan.yxy,241,586,FALSE,2.43153527,1882
358,sleepyklaudia,134,231,FALSE,1.723880597,13
359,diannamyte,130,258,TRUE,1.984615385,22
360,roundheadedcharlie,30,47,FALSE,1.566666667,28
361,xxiaolongbao,599,1083,TRUE,1.808013356,2266
362,elliebaos,2082,996,FALSE,0.478386167,225
363,fonxade,225,249,TRUE,1.106666667,805
364,blingpaulieverywhere,289,352,TRUE,1.21799308,2221
365,underthestarry,109,353,TRUE,3.23853211,649
366,zminjiex_,689,661,TRUE,0.959361393,0
367,huattartss,23,40,FALSE,1.739130435,11
368,jennyeo20,148,641,TRUE,4.331081081,817
369,aysha.rita,0,827,TRUE,827,18
370,andrewgoingnuts,12,18,FALSE,1.5,0
371,kristhanawat,410,404,FALSE,0.985365854,85
372,cyn.aw,68,227,TRUE,3.338235294,0
373,michelleongshang,3,1031,TRUE,343.6666667,306
374,princesstititutu,10,917,TRUE,91.7,8
375,n.f.k07,0,1635,TRUE,1635,201
376,stay.infayth,8,228,FALSE,28.5,6
377,norafeza,634,2068,TRUE,3.261829653,277
378,xintianie,225,238,FALSE,1.057777778,2
379,maggchoc,651,3382,TRUE,5.195084485,756
380,wai_jia1428,36,55,FALSE,1.527777778,0
381,cin_dee_tan,52,564,TRUE,10.84615385,644
382,mitcha_28,803,1420,TRUE,1.768368618,3708
383,monsterawz,441,430,TRUE,0.975056689,101
384,soul_crystalshop,773,7497,FALSE,9.698576973,732
385,lone_star79,51,246,TRUE,4.823529412,1271
386,daroknun,4,673,TRUE,168.25,1053
387,vicola.orange,119,260,TRUE,2.18487395,249
388,joycefooo,534,384,FALSE,0.719101124,236
389,simply_khim,99,572,TRUE,5.777777778,115
390,ahay_stone29,3169,7501,FALSE,2.366992742,458
391,jaylenenjy,195,506,TRUE,2.594871795,61
392,joannegrace7,520,1654,TRUE,3.180769231,545
393,qudoos6899,2897,7061,FALSE,2.437348982,315
394,vonneang,520,1312,TRUE,2.523076923,171
395,imshirley.tan,67,417,TRUE,6.223880597,101
396,behappy_elynn,72,116,TRUE,1.611111111,199
397,krystale368,0,285,TRUE,285,0
398,angienges,73,427,TRUE,5.849315068,88
399,carmenki9,115,554,TRUE,4.817391304,6
400,joannesweetie75,25,92,TRUE,3.68,10
401,azura_bakery,308,363,FALSE,1.178571429,86
402,a.k.quality_gems,124,805,TRUE,6.491935484,152
403,qelloxitty,6,6,FALSE,1,0
404,carolyn_0886,344,1501,TRUE,4.363372093,114
405,josephineeey,151,167,TRUE,1.105960265,224
406,fuiminu,103,602,TRUE,5.844660194,515
407,bewwypuddles,33,3192,TRUE,96.72727273,401
408,eve.tbt,101,271,TRUE,2.683168317,23
409,jerlyn__t,656,566,TRUE,0.862804878,1733
410,blurshan,164,286,TRUE,1.743902439,165
411,shokulet,164,220,FALSE,1.341463415,432
412,bubbly.bubble,82,215,TRUE,2.62195122,5
413,kapz108,561,1068,TRUE,1.903743316,609
414,serene.tee16,256,360,FALSE,1.40625,166
415,crystal_wholesale_stone_shop25,2322,6947,FALSE,2.991817399,2631
416,elatior.crystal,79,83,FALSE,1.050632911,7
417,sinyueeee,807,979,FALSE,1.213135068,1979
418,i.love.r.a.i.n.b.o.w,79,235,TRUE,2.974683544,717
419,winnieewann,40,246,TRUE,6.15,1
420,julianeo2010,53,48,FALSE,0.905660377,9
421,joannatky,600,639,TRUE,1.065,421
422,tpauline,110,420,FALSE,3.818181818,0
423,oranje.movers,94,935,FALSE,9.946808511,15
424,leahhko,1711,971,FALSE,0.567504383,45
425,shamoony0125,39,105,TRUE,2.692307692,7
426,certainly.benevolent.person,11,63,FALSE,5.727272727,3
427,cass.baylay,15,45,FALSE,3,0
428,adelyneoo,3375,1575,FALSE,0.466666667,1835
429,fu22y.stones,0,88,TRUE,88,0
430,bearie_bearie,127,381,TRUE,3,129
431,lsserene,161,309,TRUE,1.919254658,925
432,jolenejolene,467,1127,FALSE,2.413276231,1116
433,icyserenity,436,822,FALSE,1.885321101,310
434,yukinaraquella,291,726,TRUE,2.494845361,234
435,0512wjffynn,14,505,TRUE,36.07142857,61
436,sandralim23,411,590,TRUE,1.435523114,1360
437,carinpang21_,1001,3844,FALSE,3.84015984,458
438,marshmellowvespa,315,857,TRUE,2.720634921,1245
439,shinx_tutuma,489,945,TRUE,1.932515337,2158
440,jojo_ll_trg,52,243,TRUE,4.673076923,359
441,wendreyang,63,79,FALSE,1.253968254,7
442,adlin_shm,186,6208,TRUE,33.37634409,194
443,kerryonwithlife,233,550,TRUE,2.360515021,172
444,0.34g_,0,242,TRUE,242,0
445,mengpeng24,17,826,TRUE,48.58823529,1912
446,serenelcc1238,64,66,FALSE,1.03125,3
447,rachlklala,133,381,TRUE,2.864661654,75
448,thingsmycatcaught,109,723,FALSE,6.633027523,89
449,kelly_hanneys,876,914,FALSE,1.043378995,107
450,daphnygoh,64,74,FALSE,1.15625,0
451,lhorein_29,147,2099,TRUE,14.27891156,3
452,lee04933,4,45,TRUE,11.25,0
453,mochabloomsg,24,26,FALSE,1.083333333,0
454,clover_wonggg_,314,1000,TRUE,3.184713376,41
455,dar.shene,94,1010,TRUE,10.74468085,0
456,gohxa,0,677,TRUE,677,53
457,magic.dolly88,48,832,FALSE,17.33333333,15
458,marsiegee,136,1148,TRUE,8.441176471,259
459,brendalim88,167,624,FALSE,3.736526946,4
460,inzannityy,301,857,TRUE,2.84717608,28
461,sept.ten,175,496,TRUE,2.834285714,1385
462,moleymama,429,2104,TRUE,4.904428904,8524
463,janchua54,4,13,TRUE,3.25,27
464,maycanspin,138,222,TRUE,1.608695652,128
465,unpatternedfloral,464,828,TRUE,1.784482759,1242
466,leejinni,578,2478,FALSE,4.287197232,208
467,lee._.yilin,463,893,FALSE,1.928725702,299
468,kireiinana,110,423,TRUE,3.845454545,1451
469,michychia,429,561,TRUE,1.307692308,1084
470,motheroftiga,111,2013,TRUE,18.13513514,66
471,maybel.maybel,135,515,TRUE,3.814814815,101
472,katherinekyliesim,617,2897,TRUE,4.695299838,154
473,misakoizawa,1228,957,TRUE,0.779315961,23
474,paandiselvi0410,164,552,TRUE,3.365853659,30
475,nayuiq,299,1310,TRUE,4.381270903,2069
476,kaelasparkles,12,21,FALSE,1.75,4
477,pirateaye,60,1169,TRUE,19.48333333,368
478,yl1ng_ang,51,238,TRUE,4.666666667,543
479,mookobb,412,1217,FALSE,2.953883495,196
480,sesetan,22,379,TRUE,17.22727273,84
481,salihahpotato,705,3282,TRUE,4.655319149,231
482,norissofficial,1880,4742,FALSE,2.522340426,1969
483,lohjiaxin25,0,109,TRUE,109,314
484,lampohyee,150,1238,TRUE,8.253333333,369
485,__dawn.jpeg,30,772,TRUE,25.73333333,63
486,thebananamermaid,189,3008,TRUE,15.91534392,19651
487,huilin8284,19,302,TRUE,15.89473684,155
488,_nesanthegmahendren_,678,3283,TRUE,4.842182891,85
489,dapnng,128,1201,TRUE,9.3828125,4
490,ms_chlo3,681,778,TRUE,1.142437592,310
491,velvetfluff,46,91,TRUE,1.97826087,166
492,faithchong11,7,102,TRUE,14.57142857,1
493,adelyne.ang,191,483,TRUE,2.528795812,238
494,cynthiawmy,159,308,TRUE,1.937106918,235
495,lohirene,72,308,TRUE,4.277777778,222
496,yumin3006,87,476,TRUE,5.471264368,909
497,conniecpp0311,95,49,FALSE,0.515789474,4
498,gracelikesyou,298,371,TRUE,1.244966443,221
499,rage_ajumoni,167,792,TRUE,4.74251497,249
500,hejessiebe,316,717,TRUE,2.268987342,79
501,lorrenerrol,347,670,TRUE,1.930835735,137
502,alphababyyy,446,1708,TRUE,3.829596413,8
503,itsjtms,831,2192,FALSE,2.6377858,167
504,dodugoh,94,975,TRUE,10.37234043,569
505,angwnxn,407,792,TRUE,1.945945946,30
506,kristineyun,1925,1436,TRUE,0.745974026,2467
507,breeathy_mama,246,1102,TRUE,4.479674797,135
508,naturegloria,288,537,FALSE,1.864583333,2280
509,thedimpledhams,135,367,TRUE,2.718518519,410
510,sok.fern,254,544,TRUE,2.141732283,183
511,dorislim232,186,683,TRUE,3.672043011,78
512,xuanrenx,379,514,TRUE,1.356200528,627
513,happykl19,528,1334,FALSE,2.526515152,2368
514,yiying_11,205,654,TRUE,3.190243902,7
515,ganleechiou,107,220,TRUE,2.056074766,2
516,arixswwyyy__,831,533,FALSE,0.641395909,280
517,amoulicious,789,1239,FALSE,1.570342205,1944
518,psluvpeishi,90,1304,TRUE,14.48888889,1951
519,1tcha,141,314,FALSE,2.226950355,9
520,sclicious,178,493,TRUE,2.769662921,733
521,pandajakewx,351,864,TRUE,2.461538462,150
522,cyn_xu_queen,104,500,TRUE,4.807692308,28
523,khohuihui,392,1710,FALSE,4.362244898,298
524,clairelovescake,62,440,TRUE,7.096774194,0
525,wildchildxx92,317,792,TRUE,2.498422713,526
526,ccwx_,1625,1758,FALSE,1.081846154,441
527,calistallicious,443,773,TRUE,1.744920993,1213
528,lovearthmama,64,641,TRUE,10.015625,257
