,follower,no_of_followers,no_of_followees,is_private,ratio,no_of_posts
10400,n.huda_12,1253,3045,FALSE,2.430167598,1056
10401,xiiaoting_29,226,651,FALSE,2.880530973,33
10402,amandarouyu,39,322,TRUE,8.256410256,0
10403,wanjingtiang,63,461,TRUE,7.317460317,610
10404,jc.faythe,332,1011,FALSE,3.045180723,278
10405,joc3lynng,783,2695,FALSE,3.441890166,467
10406,n.huda_12,1253,3045,FALSE,2.430167598,1056
10407,xiiaoting_29,226,651,FALSE,2.880530973,33
10408,amandarouyu,39,322,TRUE,8.256410256,0
10409,wanjingtiang,63,461,TRUE,7.317460317,610
10410,jc.faythe,332,1011,FALSE,3.045180723,278
10411,joc3lynng,783,2695,FALSE,3.441890166,467
10412,grace_tcy,80,331,TRUE,4.1375,1172
10413,priscillarong,138,133,FALSE,0.963768116,20
10414,elvonya,1088,2562,TRUE,2.354779412,299
10415,hiyoucarolyn,1148,642,TRUE,0.559233449,103
10416,xiantasy,22,275,TRUE,12.5,3
10417,call_me_nours,122,1629,TRUE,13.35245902,179
10418,iammama.lin,1766,3592,FALSE,2.033975085,2773
10419,sharontyy,183,669,TRUE,3.655737705,1574
10420,phylliasyl,62,895,TRUE,14.43548387,57
10421,iamlianneds,453,1243,TRUE,2.74392936,73
10422,jessicayeo18,150,1186,TRUE,7.906666667,2720
10423,hiingl,481,2408,TRUE,5.006237006,1472
10424,9cheng6,550,1221,TRUE,2.22,188
10425,yecatsoey,124,401,TRUE,3.233870968,170
10426,vinoz_creationz,553,635,FALSE,1.148282098,201
10427,soph_linn,242,1009,TRUE,4.169421488,141
10428,savisenough,311,753,FALSE,2.421221865,311
10429,xferllin94,138,251,FALSE,1.81884058,10
10430,bellyzzz,58,401,TRUE,6.913793103,422
10431,gdashnee,285,1515,TRUE,5.315789474,186
10432,ana_ruth_dela_vega,60,161,TRUE,2.683333333,46
10433,dazzxxo,237,581,TRUE,2.451476793,9
10434,itsmelody_t,141,730,TRUE,5.177304965,36
10435,_erickvirgian27,227,3373,FALSE,14.85903084,8
10436,cuixin__,189,566,TRUE,2.994708995,46
10437,celesse0999,63,621,TRUE,9.857142857,142
10438,i_like_bling,10,166,TRUE,16.6,0
10439,jynn.lifez,608,818,FALSE,1.345394737,1146
10440,foodtripping_sl,61,538,TRUE,8.819672131,35
10441,kobbes,42,629,TRUE,14.97619048,373
10442,kesavakumari88,483,2081,FALSE,4.308488613,73
10443,yadayadayoo,890,1152,TRUE,1.294382022,829
10444,myyellowdays,21,318,TRUE,15.14285714,97
10445,felizaong,6097,1519,FALSE,0.249138921,996
10446,siti_amalina_jaafar,1194,2667,TRUE,2.233668342,1141
10447,miiisstess,1389,879,FALSE,0.632829374,2224
10448,chrislynchristabel,341,1064,TRUE,3.120234604,571
10449,jing_leoh,111,287,TRUE,2.585585586,73
10450,btsofjo,0,3671,TRUE,3671,0
10451,kchbakes,303,838,FALSE,2.765676568,36
10452,karen_nzx,406,1856,TRUE,4.571428571,539
10453,kristalbelle88,10,123,TRUE,12.3,1
10454,angelbabelove_3695,20,198,TRUE,9.9,523
10455,jenn_ng1112,28,795,TRUE,28.39285714,0
10456,pearlie197,72,138,TRUE,1.916666667,10
10457,deardarling.sg,382,717,FALSE,1.876963351,42
10458,happyygolucky,178,508,TRUE,2.853932584,399
10459,joannexiao,726,1035,FALSE,1.425619835,148
10460,msalbubbly,270,2286,TRUE,8.466666667,453
10461,choo_yingjie,466,827,TRUE,1.774678112,314
10462,simplyjules,446,1139,TRUE,2.553811659,1005
10463,vanntan,978,2226,FALSE,2.27607362,752
10464,dreamydangles,56,251,FALSE,4.482142857,3
10465,mojo_jolo90,483,752,TRUE,1.556935818,8
10466,pearlyseldon,96,575,TRUE,5.989583333,279
10467,gniyismil,21,2182,TRUE,103.9047619,294
10468,c.laryy,46,843,TRUE,18.32608696,832
10469,lpt_charlene,557,549,TRUE,0.985637343,108
10470,lsk1707,284,596,TRUE,2.098591549,1101
10471,kellyly_star,151,350,TRUE,2.317880795,150
10472,juls_0834,84,605,TRUE,7.202380952,0
10473,benimezz,116,1173,TRUE,10.11206897,2287
10474,ninomiya_keiko,179,420,TRUE,2.346368715,5
10475,liswong1975,855,1712,FALSE,2.002339181,186
10476,eileenang,330,532,TRUE,1.612121212,433
10477,whatawonderfoolday,351,3329,FALSE,9.484330484,55
10478,gill.k.bakes,381,1216,FALSE,3.19160105,1679
10479,joleenlim66,59,169,TRUE,2.86440678,192
10480,lilyeka_,171,457,TRUE,2.67251462,526
10481,raneya59,242,2189,FALSE,9.045454545,1
10482,yan_tin,305,482,TRUE,1.580327869,1585
10483,cherryfun231,0,528,TRUE,528,0
10484,brighttlights,253,1908,TRUE,7.541501976,212
10485,xuelinggg,171,2934,TRUE,17.15789474,644
10486,xavier.ong,1129,1067,TRUE,0.945084145,471
10487,atoastaday,179,643,FALSE,3.592178771,26
10488,_s.siewhwee,105,497,TRUE,4.733333333,434
10489,junzieslee,493,3482,TRUE,7.062880325,325
10490,misstehkasi,54,618,TRUE,11.44444444,330
10491,gnetweis,163,474,TRUE,2.90797546,796
10492,benjijazzy,422,1665,TRUE,3.94549763,975
10493,huiyu_111,18,476,TRUE,26.44444444,2
10494,katrinachai,198,633,TRUE,3.196969697,9
10495,gloomybear,219,964,TRUE,4.401826484,527
10496,dreaasyt,1041,1034,TRUE,0.993275696,127
10497,el.crystaly,1438,5873,FALSE,4.084144645,352
10498,jinglebbeellee,67,3673,TRUE,54.82089552,0
10499,jiaxuan_sophia,30,370,TRUE,12.33333333,77
10500,ellainefrancisco,30,370,TRUE,12.33333333,77
10501,laydesoul,30,370,TRUE,12.33333333,77
10502,shuyichen85,284,748,FALSE,2.633802817,7
10503,randommlynn,202,365,TRUE,1.806930693,593
10504,janexo15,399,589,TRUE,1.476190476,553
10505,liquideyes15,399,589,TRUE,1.476190476,553
10506,i_am_jos,399,589,TRUE,1.476190476,553
10507,pinkycloud22,76,268,TRUE,3.526315789,48
10508,x.xine.c,300,1320,TRUE,4.4,203
10509,whitepaperoses,121,358,TRUE,2.958677686,48
10510,ken.jol,102,117,FALSE,1.147058824,5
10511,maychrisy,474,631,FALSE,1.331223629,1542
10512,iamsimin,402,857,TRUE,2.131840796,355
10513,mshlgoh,290,439,TRUE,1.513793103,56
10514,crystal_pendant_shop,290,439,TRUE,1.513793103,56
10515,sky_walkie,48,103,TRUE,2.145833333,4
10516,customymahjong,11083,207,FALSE,0.018677253,507
