,follower,no_of_followers,no_of_followees,is_private,ratio,no_of_posts
4000,pure.stone.jewellery_hk,541,833,FALSE,1.53974122,97
4001,cherryorx,172,482,TRUE,2.802325581,118
4002,fuentescherly,164,955,FALSE,5.823170732,178
4003,kathryn_xinyi,86,316,TRUE,3.674418605,9
4004,lvtan1,934,4006,FALSE,4.289079229,276
4005,eighteenaries,279,236,TRUE,0.845878136,465
4006,jess.flowergifts,46,48,FALSE,1.043478261,38
4007,jennifer.ong.7771,46,36,FALSE,0.782608696,0
4008,bubble540,128,461,TRUE,3.6015625,688
4009,jowlly,425,1001,TRUE,2.355294118,570
4010,luxmenu6370,96,656,FALSE,6.833333333,0
4011,vaneslong,438,908,FALSE,2.073059361,1074
4012,gracepang,475,3636,TRUE,7.654736842,493
4013,staphaniie,544,913,TRUE,1.678308824,588
4014,felimwc,166,810,TRUE,4.879518072,246
4015,glendaboeyy,1661,2596,FALSE,1.562913907,774
4016,imfabsogtfo,34,630,TRUE,18.52941176,99
4017,joayanyan,61,621,TRUE,10.18032787,62
4018,porcelain.crystal,279,489,FALSE,1.752688172,2
4019,kavze,999,3390,TRUE,3.393393393,490
4020,micagoldrose,0,177,TRUE,177,168
4021,chryssbabe,516,944,FALSE,1.829457364,237
4022,cmjmtrios,357,839,FALSE,2.350140056,169
4023,sheril.aida.lin,1081,1089,TRUE,1.007400555,1204
4024,bebeqnotfried,375,827,TRUE,2.205333333,696
4025,ginagpy,670,1044,TRUE,1.558208955,210
4026,adelagman,189,3139,TRUE,16.60846561,177
4027,heyitsrinee,1905,1267,FALSE,0.665091864,459
4028,nette.sg,40,3979,TRUE,99.475,3695
4029,momotaoz,1017,677,TRUE,0.665683382,1643
4030,ifwecouldfly,524,896,TRUE,1.709923664,2162
4031,carmen_lovevd,181,554,FALSE,3.060773481,2
4032,taylortweaked,205,1140,TRUE,5.56097561,507
4033,sam_heyhey,493,1076,TRUE,2.182555781,31
4034,chihiro.610,122,1169,TRUE,9.581967213,50
4035,huuba,245,592,TRUE,2.416326531,94
4036,yaling_93,2400,1342,FALSE,0.559166667,265
4037,adeggoh,86,162,TRUE,1.88372093,267
4038,nuresnamohamed,836,5704,TRUE,6.822966507,694
4039,judy.tsai,131,710,TRUE,5.419847328,140
4040,singgg.anyway,295,2529,TRUE,8.572881356,204
4041,cherlyncherry,605,781,FALSE,1.290909091,197
4042,plinggggg,172,457,TRUE,2.656976744,116
4043,deirdretan,302,703,TRUE,2.32781457,321
4044,walaoehjessie,707,884,TRUE,1.250353607,249
4045,dokieokeosjan,0,58,TRUE,58,0
4046,ngal_lay24,130,509,TRUE,3.915384615,1167
4047,ning_0101,215,466,FALSE,2.16744186,102
4048,jellyxberry,266,441,TRUE,1.657894737,292
4049,vfaythc,0,1081,TRUE,1081,0
4050,cloverennn,208,898,TRUE,4.317307692,210
4051,shigure1234,131,377,TRUE,2.877862595,325
4052,zhuoningly,1168,3746,TRUE,3.207191781,591
4053,peppermint_93,194,399,TRUE,2.056701031,355
4054,starac_ong,31,150,TRUE,4.838709677,407
4055,_pohling_,236,317,TRUE,1.343220339,2
4056,chuahy18,68,297,TRUE,4.367647059,7
4057,mikhaila6222,182,627,FALSE,3.445054945,150
4058,spice.dabba,30,168,FALSE,5.6,0
4059,tasharosman,1703,1082,TRUE,0.635349383,76
4060,renakuaqh,884,1982,TRUE,2.242081448,2334
4061,tiffa_any,938,1137,TRUE,1.212153518,249
4062,joeydwfg,1362,963,TRUE,0.707048458,516
4063,carcanbake,86,1306,TRUE,15.18604651,74
4064,hellomq,605,850,TRUE,1.404958678,484
4065,queenbimbs,13,254,TRUE,19.53846154,2416
4066,wenbing76,23,60,TRUE,2.608695652,1
4067,an.qi.li.ya,182,868,TRUE,4.769230769,9
4068,carmellaisabelle,472,1631,TRUE,3.455508475,1154
4069,awloxy,261,325,TRUE,1.245210728,810
4070,tiu_xiaohui,332,453,TRUE,1.364457831,33
4071,smallpixiedust,274,1553,TRUE,5.667883212,531
4072,xinyi_woohoo,93,242,TRUE,2.602150538,337
4073,viviennnnne,443,706,TRUE,1.593679458,327
4074,shennachoo,43,130,TRUE,3.023255814,19
4075,monicahappy8,70,162,TRUE,2.314285714,177
4076,jazzangrx,798,708,TRUE,0.887218045,290
4077,koh.leon,333,463,TRUE,1.39039039,119
4078,kelly_shiyunxx,79,781,TRUE,9.886075949,389
4079,justinyzl,105,125,TRUE,1.19047619,41
4080,theycallme.jamie,181,379,TRUE,2.093922652,281
4081,kaelynloves,357,995,TRUE,2.787114846,2019
4082,huini_si,219,578,TRUE,2.639269406,740
4083,analoveschoco,276,1627,TRUE,5.894927536,0
4084,cereshoshi85,8,202,TRUE,25.25,111
4085,annaannss,415,2207,TRUE,5.318072289,1405
4086,found_in_grace,547,4268,FALSE,7.802559415,63
4087,nimei_s.e.t,814,2850,TRUE,3.501228501,425
4088,to4dds,391,916,TRUE,2.342710997,6
4089,engjue,678,853,TRUE,1.258112094,159
4090,lizziebellie,138,150,TRUE,1.086956522,29
4091,atiqqz,170,432,TRUE,2.541176471,288
4092,sevencolours77,49,529,TRUE,10.79591837,0
4093,rennzajp,5,910,TRUE,182,0
4094,ginny_genie,190,1465,FALSE,7.710526316,2
4095,xelynocean,140,1528,TRUE,10.91428571,21
4096,hello_xy,140,169,TRUE,1.207142857,332
4097,_ccheryl,483,1442,TRUE,2.985507246,917
4098,serenea12,221,1365,TRUE,6.176470588,109
4099,jesslin.i.m,177,173,FALSE,0.97740113,101
4100,chermainezzz,219,450,TRUE,2.054794521,603
4101,elisaxchua,1586,1461,FALSE,0.921185372,333
4102,xintingg,759,794,TRUE,1.046113307,420
4103,seradailyfe,405,772,FALSE,1.90617284,691
4104,shirley04,155,577,TRUE,3.722580645,1917
4105,bel58,254,1630,TRUE,6.417322835,626
4106,joeynpx,503,509,TRUE,1.011928429,382
4107,jingzhiii,665,1328,TRUE,1.996992481,6
4108,sweetelena,327,318,FALSE,0.972477064,749
4109,raelyy_,438,1004,TRUE,2.292237443,1058
4110,icemaidenz07,35,2779,TRUE,79.4,34
4111,missxqiqi,91,218,TRUE,2.395604396,599
4112,jjoosey,159,393,TRUE,2.471698113,3
4113,alxnzateng,248,642,TRUE,2.588709677,12
4114,j0y3e,633,777,TRUE,1.227488152,32
4115,ivyngwansu,1334,561,TRUE,0.42053973,212
4116,drunkpotato_,2046,748,FALSE,0.365591398,23
