,follower,no_of_followers,no_of_followees,is_private,ratio,no_of_posts
4500,madeofvintage,130,662,FALSE,5.092307692,160
4501,lemonstrawberryyy,0,57,TRUE,57,4
4502,christin3w4ng,391,953,TRUE,2.437340153,63
4503,crystalstashx,311,669,FALSE,2.151125402,1
4504,solaceinbook,166,1405,FALSE,8.463855422,72
4505,strawberriland,596,4721,FALSE,7.92114094,282
4506,yi.ming.921230,731,3011,FALSE,4.119015048,36
4507,t.essas,129,413,TRUE,3.201550388,0
4508,krysaliis_crystals,61,127,FALSE,2.081967213,14
4509,mamita.ako,16,50,FALSE,3.125,0
4510,m_miin29,296,1412,TRUE,4.77027027,165
4511,debrasoh,641,1534,TRUE,2.393135725,429
4512,thelotusmoonbloom,93,99,FALSE,1.064516129,27
4513,trinanana08,55,1512,TRUE,27.49090909,203
4514,__jacky98__,420,2687,FALSE,6.397619048,32
4515,mystarshinekids,9,537,TRUE,59.66666667,0
4516,eve.rfang,44,89,TRUE,2.022727273,22
4517,happyblue_moon,95,625,TRUE,6.578947368,63
4518,pinc.mika,71,429,FALSE,6.042253521,12
4519,cityangel78,693,3259,FALSE,4.702741703,430
4520,erina_cwh,80,1021,TRUE,12.7625,58
4521,923hooisin706,405,305,FALSE,0.75308642,1337
4522,tanmarilyn88,633,1006,FALSE,1.589257504,236
4523,ruieugene,930,7081,FALSE,7.613978495,237
4524,peckhoon83,8,10,FALSE,1.25,0
4525,s.huying,717,711,TRUE,0.991631799,264
4526,mei8993,65,63,TRUE,0.969230769,21
4527,kalashamini,327,792,TRUE,2.422018349,80
4528,angjaslyn,32,78,TRUE,2.4375,16
4529,sleepybella02,93,175,TRUE,1.88172043,52
4530,winyeemon,228,1062,TRUE,4.657894737,55
4531,lynx_0608,240,401,TRUE,1.670833333,352
4532,chocola.puff,57,1224,TRUE,21.47368421,16
4533,chereian21,604,1049,TRUE,1.736754967,3769
4534,javanesegirl99,0,62,TRUE,62,0
4535,cheap.clothingss,1039,1480,FALSE,1.424446583,376
4536,michietingz,154,265,TRUE,1.720779221,31
4537,xxdwsn,322,797,TRUE,2.47515528,1203
4538,side.h0,59,343,TRUE,5.813559322,330
4539,dayahkmsn_,49,90,TRUE,1.836734694,1
4540,collarboneink,591,670,TRUE,1.133671743,203
4541,cherylse_,165,458,TRUE,2.775757576,0
4542,lbingl,96,349,TRUE,3.635416667,432
4543,annnirmala6,370,879,FALSE,2.375675676,205
4544,rinananass,536,998,TRUE,1.861940299,253
4545,ahlibababas,1121,1814,TRUE,1.618198037,1159
4546,russelldazzle,131,2029,TRUE,15.48854962,181
4547,basi.lbeads,180,159,FALSE,0.883333333,9
4548,soniakathlynn,508,2616,FALSE,5.149606299,761
4549,beepbooppowbitch,48,487,TRUE,10.14583333,66
4550,assleaaaa,20,92,TRUE,4.6,1630
4551,mizrelle.love,1133,885,FALSE,0.781112092,59
4552,crystalclearme,112,315,TRUE,2.8125,1457
4553,nerdydotty,80,713,TRUE,8.9125,11
4554,chickpeaxuan,18,258,TRUE,14.33333333,1
4555,prasanna.srinivas.564,28,50,FALSE,1.785714286,1
4556,rainy.daxe,228,584,FALSE,2.561403509,6
4557,eilqinhuieen,188,375,TRUE,1.994680851,599
4558,lindymay__,0,94,TRUE,94,93
4559,panpanft,130,959,TRUE,7.376923077,7
4560,ficklexcheese,134,677,FALSE,5.052238806,0
4561,aa.bxxe_,46,1040,TRUE,22.60869565,5
4562,mahiraherdeno,1053,618,TRUE,0.586894587,847
4563,marella.evania,883,1207,TRUE,1.366930917,797
4564,nikkicttan,751,1994,FALSE,2.655126498,42
4565,nadeea_sudin,491,1219,TRUE,2.482688391,583
4566,ceciliatanej,281,784,TRUE,2.790035587,1281
4567,kerhuiwen,83,540,TRUE,6.506024096,84
4568,mizcaramel,434,2049,TRUE,4.721198157,41
4569,lydia.see,251,881,TRUE,3.509960159,468
4570,hojaiho,142,2979,TRUE,20.97887324,386
4571,aquartzco_,72,98,FALSE,1.361111111,6
4572,eimanjjong,471,1314,FALSE,2.789808917,1720
4573,eyvonneeee,117,208,TRUE,1.777777778,199
4574,tokkiedoo,145,1411,TRUE,9.731034483,1864
4575,sushiwithoutrice_,39,517,TRUE,13.25641026,1471
4576,fariha.wati,218,2381,FALSE,10.92201835,8
4577,_mich_lim,830,2681,FALSE,3.230120482,97
4578,lacylilac,341,937,TRUE,2.747800587,999
4579,joy_and_laughters,0,1231,TRUE,1231,403
4580,poppypeppery,1752,730,FALSE,0.416666667,877
4581,cerinyl,155,602,TRUE,3.883870968,683
4582,nimotahathi,40,511,TRUE,12.775,917
4583,lohkalin,13,573,TRUE,44.07692308,2
4584,jasziefec,622,4619,TRUE,7.426045016,90
4585,_.siewlings,581,1583,TRUE,2.724612737,645
4586,kathyhuuuu__,226,734,TRUE,3.247787611,851
4587,n32uk0ch4n,40,220,TRUE,5.5,455
4588,shinyinl,23,601,TRUE,26.13043478,420
4589,joleenxian,586,3139,FALSE,5.35665529,456
4590,pamarala.fam,307,2877,FALSE,9.371335505,27
4591,ppavithra4,218,898,TRUE,4.119266055,23
4592,juliadoublechin,997,1653,TRUE,1.657973922,273
4593,mich_gohong,578,911,FALSE,1.576124567,886
4594,cha404notfound,1,30,TRUE,30,151
4595,littlemissybuys,0,145,TRUE,145,0
4596,iamnikshaari,1609,5601,TRUE,3.481044127,71
4597,siok_pheng,1999,7502,FALSE,3.752876438,1373
4598,jiahuihengheng,29,207,TRUE,7.137931034,0
4599,roselind.tan,155,1252,FALSE,8.077419355,34
4600,blessed_jess._,698,709,FALSE,1.015759312,1368
4601,jiali922,159,448,FALSE,2.817610063,0
4602,tropicalcyclones,246,1502,FALSE,6.105691057,217
4603,bianca_toh,188,308,TRUE,1.638297872,240
4604,jingwen_woon,113,347,TRUE,3.07079646,3
4605,feliseet,3918,2694,FALSE,0.687595712,887
4606,peggy_l88,290,853,TRUE,2.94137931,173
4607,rebeccaowl,82,132,TRUE,1.609756098,165
4608,jacey_lyy,1873,4253,FALSE,2.270688735,644
4609,sora.lovingyoga,102,2000,FALSE,19.60784314,9
4610,zinarita1,176,2508,FALSE,14.25,22
4611,ccaandicceee,8,1968,TRUE,246,73
4612,helen88200188,696,2836,FALSE,4.074712644,228
4613,wawa.12j,465,645,TRUE,1.387096774,1175
4614,lolang27,47,245,TRUE,5.212765957,1
4615,lovedora88,261,2245,FALSE,8.601532567,18
4616,ching._.zx,827,2515,FALSE,3.041112455,591
4617,peifen13,488,835,TRUE,1.711065574,0
4618,nimsay.514,86,669,FALSE,7.779069767,250
4619,tiramissyouu,459,1209,TRUE,2.633986928,985
4620,chloeohhh,459,641,TRUE,1.396514161,122
4621,lingli007,1160,7124,FALSE,6.14137931,400
4622,wheeschoo,31,37,TRUE,1.193548387,2
4623,j3rlynn,2145,763,FALSE,0.355710956,1081
4624,fellieng,125,454,TRUE,3.632,662
4625,aubreynursingbra,10617,7495,FALSE,0.705943298,129
4626,funnydiaries,649,1712,FALSE,2.637904468,750
4627,eyyik_lope,467,774,TRUE,1.65738758,27
4628,breada212,581,5047,FALSE,8.686746988,16
4629,zoeydesiree_,340,552,TRUE,1.623529412,638
4630,joyeetoh,133,1111,TRUE,8.353383459,4132
4631,joey.liu91,995,3274,FALSE,3.290452261,45
4632,celineseahmp,101,135,TRUE,1.336633663,8
4633,jas._.jas,4063,6931,FALSE,1.705882353,3781
4634,sya_fi_za,165,497,TRUE,3.012121212,26
4635,w.x.hui,441,1703,TRUE,3.861678005,356
4636,justclemit,956,1339,FALSE,1.400627615,84
4637,euqey,98,224,FALSE,2.285714286,0
4638,yukikosim,301,1867,TRUE,6.202657807,3578
4639,rachaelyin,665,5081,FALSE,7.640601504,347
4640,joannefaithhh,1733,7483,FALSE,4.317945759,5170
4641,lucy.tay88,639,5278,FALSE,8.259780908,241
4642,calzheng,1751,1499,FALSE,0.856082239,393
4643,callmeboxxie,442,2179,TRUE,4.929864253,223
4644,tonyong888,632,5490,FALSE,8.686708861,302
4645,callysim94,709,5519,FALSE,7.784203103,28
4646,phoebe_lovestoeat,492,656,FALSE,1.333333333,769
4647,jiarern,540,1587,FALSE,2.938888889,34
4648,happyteee,363,4144,FALSE,11.41597796,129
4649,ha3elseng,1351,5264,FALSE,3.896373057,118
4650,kanglaychoo,889,4739,FALSE,5.330708661,94
4651,jesspjx,738,5330,FALSE,7.222222222,26
4652,michell3phua,206,960,TRUE,4.660194175,917
4653,powerfulwaves24,323,1469,TRUE,4.547987616,4
4654,littlesweetbonsbons.aczh,5585,7153,FALSE,1.280752014,4264
4655,hhwb4991,419,1274,TRUE,3.040572792,77
4656,pretutgrapes,2740,5580,FALSE,2.03649635,3552
4657,thestonesanctuary,2740,5580,FALSE,2.03649635,3552
4658,candidlyghia,469,2551,FALSE,5.439232409,238
4659,nerdypewty,468,4898,FALSE,10.46581197,36
4660,cutieger2,485,1942,FALSE,4.004123711,8
4661,justanothermermaidx,769,1818,TRUE,2.364109233,2925
4662,1015.2,43,182,TRUE,4.23255814,238
4663,aisyahgege,148,538,TRUE,3.635135135,944
4664,wanhoon_ng,610,4571,TRUE,7.493442623,1714
4665,6_nc_,8,108,TRUE,13.5,0
4666,melissalegit,883,1691,FALSE,1.915062288,187
4667,pearlynlsw,228,203,TRUE,0.890350877,202
4668,phoenixamber_crystalcollection,141,216,FALSE,1.531914894,55
4669,tgwxo,927,1644,TRUE,1.773462783,25
4670,beverlyyeo,515,725,FALSE,1.40776699,57
4671,iwonderandponder,67,4440,TRUE,66.26865672,697
4672,tankeith,396,4039,FALSE,10.19949495,426
4673,littlemissmeen,562,1198,TRUE,2.131672598,585
4674,hellodeena,1009,1009,TRUE,1,307
4675,cloudystar13,177,170,FALSE,0.960451977,76
4676,tricialing2,141,1051,FALSE,7.453900709,171
4677,afifah.athirah.__,141,1051,FALSE,7.453900709,171
4678,vvalerietm,117,939,TRUE,8.025641026,347
4679,jinyueee,201,1432,TRUE,7.124378109,451
4680,awfullybeauty,447,1221,FALSE,2.731543624,778
4681,cserbecs,316,634,TRUE,2.006329114,830
4682,hengitsnic,691,1139,TRUE,1.648335745,70
4683,adventuresofadelia,278,960,FALSE,3.45323741,196
4684,jacq.klt,1,510,TRUE,510,1
4685,aworldofmyown23,173,3255,TRUE,18.8150289,1257
4686,lydnlea,7,19,TRUE,2.714285714,0
4687,flabbbycheeks,566,2651,FALSE,4.683745583,311
4688,tabbitubby,659,1160,FALSE,1.760242792,14
4689,neohuikun1978,775,7067,FALSE,9.118709677,234
4690,neosaybin,1339,7086,FALSE,5.292008962,2763
4691,chiajingyi,691,450,FALSE,0.651230101,11
4692,walkwitheliz,2517,1126,TRUE,0.447357966,416
4693,pastelbunns,31,2311,TRUE,74.5483871,307
4694,tinatan3019,616,6810,FALSE,11.05519481,114
4695,fleecelikesnow,458,944,TRUE,2.061135371,1225
4696,airunmohd,428,2191,TRUE,5.119158879,364
4697,xiaobao_weii,148,430,TRUE,2.905405405,57
4698,cherub__angel,95,877,FALSE,9.231578947,32
4699,tomatosapphirex3,174,485,TRUE,2.787356322,595
4700,angielbelle,501,2933,FALSE,5.854291417,250
4701,happytc89,2010,5615,FALSE,2.793532338,294
4702,eileenangjw,217,450,TRUE,2.073732719,62
4703,huatlikemadfafafa,176,2442,FALSE,13.875,295
4704,jeniferrtan,645,6015,FALSE,9.325581395,66
4705,miss.friedpotato,151,551,TRUE,3.649006623,1232
4706,hungrygolucky77,1554,2236,FALSE,1.438867439,30
4707,athh97,480,760,TRUE,1.583333333,21
4708,quinnlunatic,2106,634,FALSE,0.301044634,103
4709,sandycxh,946,2982,TRUE,3.152219873,113
4710,mikomoos,1536,1934,TRUE,1.259114583,940
4711,joliseisdumb,76,993,TRUE,13.06578947,812
4712,ruitingcheng,613,973,TRUE,1.587275693,637
4713,msoliviang,378,744,FALSE,1.968253968,859
4714,mingliyong,727,584,TRUE,0.803301238,73
4715,asssshhhhleyyyy,71,542,TRUE,7.633802817,148
4716,calistiakok,325,661,TRUE,2.033846154,64
4717,xinhuikwin,1111,2044,FALSE,1.839783978,145
4718,missy_ada,669,2882,FALSE,4.307922272,904
4719,hellomitx,67,1095,TRUE,16.34328358,717
4720,jadearielemmanuelle,1511,4365,FALSE,2.888815354,663
4721,winstonchoo90,1458,5467,FALSE,3.749657064,545
4722,treeoflife.yap,458,2696,FALSE,5.886462882,490
4723,mic936,128,741,TRUE,5.7890625,229
4724,sherylcpc23,872,4105,FALSE,4.707568807,9536
4725,jessielowml,79,599,FALSE,7.582278481,206
4726,clouddiej,308,804,TRUE,2.61038961,726
4727,dorc.abigail,489,1050,TRUE,2.147239264,171
4728,joannac_lightfury,138,249,FALSE,1.804347826,0
4729,tryphenawong,536,1241,TRUE,2.315298507,1040
4730,ohxyxyxy,238,1134,TRUE,4.764705882,3256
4731,nadnadamelia,427,1196,TRUE,2.800936768,86
4732,wenfong_,98,2070,FALSE,21.12244898,165
4733,misspastelrainbow,485,5597,TRUE,11.54020619,542
4734,jiggly.boo,957,1919,TRUE,2.00522466,824
4735,berlinlj85,262,662,TRUE,2.526717557,268
4736,intricatenatur3,400,3451,FALSE,8.6275,215
4737,leadching,1025,3174,FALSE,3.096585366,229
4738,seahsl,213,6217,FALSE,29.18779343,71
4739,foodislifeorsurvival,599,6462,FALSE,10.78797997,161
4740,thehappyprojectekj,2753,633,FALSE,0.229930984,555
4741,t_junyi,663,854,FALSE,1.288084465,86
4742,fiddyhwaiting,132,707,TRUE,5.356060606,670
4743,iris.icy,52,72,FALSE,1.384615385,27
4744,klir_fernandez,47,613,TRUE,13.04255319,532
4745,helen_with_you_01,320,378,FALSE,1.18125,347
4746,happymeitingg,254,822,TRUE,3.236220472,1417
4747,longislandmilktea,738,1332,TRUE,1.804878049,1458
4748,jpoooh,255,94,FALSE,0.368627451,287
4749,sharifahmariasbo,94,649,TRUE,6.904255319,0
4750,fungfung31,50,39,FALSE,0.78,0
4751,lunadelpea,61,715,TRUE,11.72131148,47
4752,georgiaho,1084,2458,FALSE,2.267527675,894
4753,youknowsaq,1130,3854,TRUE,3.410619469,400
4754,jamineyxz,908,1067,TRUE,1.175110132,2
4755,jaytea26,25,279,TRUE,11.16,39
4756,guessitsunrequitedlove,0,40,TRUE,40,271
4757,afghanpreciousminerals,361,1280,FALSE,3.545706371,178
4758,cole.dumps,361,1280,FALSE,3.545706371,178
4759,lovelybellinaa,6,31,FALSE,5.166666667,2
4760,shyillustrates,283,1210,FALSE,4.275618375,109
4761,jenny_love_eat,194,1358,FALSE,7,119
4762,ocean_name2,13,345,TRUE,26.53846154,0
4763,chubby_garfield,1249,1176,FALSE,0.941553243,0
4764,devotedlovex,32,400,TRUE,12.5,606
4765,zeekeereezee,0,45,TRUE,45,1
4766,nxraciix,522,498,TRUE,0.954022989,0
4767,stellalalalalachuaa,0,890,TRUE,890,0
4768,bunny_lok,542,1130,TRUE,2.084870849,2363
4769,pangminlove,337,1347,TRUE,3.997032641,90
4770,kahhweeexjh,1008,1290,TRUE,1.279761905,145
4771,macaron8537,5,127,TRUE,25.4,0
4772,hueyytingg,4390,1212,FALSE,0.276082005,30
4773,zouie.n,490,1946,TRUE,3.971428571,6
4774,iffahsin,104,524,TRUE,5.038461538,58
4775,nurlurvzanaqil,142,1021,TRUE,7.190140845,593
4776,how.liwt,229,907,TRUE,3.96069869,64
4777,jysica_p,100,454,TRUE,4.54,514
4778,jxiealyssa,470,672,TRUE,1.429787234,1274
4779,_joserinetoh,536,982,TRUE,1.832089552,6
4780,juliet_baby,133,353,FALSE,2.654135338,6
4781,aangel_wee,60,684,TRUE,11.4,804
4782,momo_dith,583,530,FALSE,0.909090909,404
4783,angelinacheng,197,198,TRUE,1.005076142,148
4784,chew_jia_ying,396,443,TRUE,1.118686869,5
4785,pisatofu,33,2359,TRUE,71.48484848,733
4786,my.mindfulspace,5,685,TRUE,137,51
4787,thieneshthannapal7,2049,7501,FALSE,3.660810151,43
4788,mariaffrancis,367,1120,TRUE,3.051771117,59
4789,xx.yying,56,212,TRUE,3.785714286,2
4790,mintydaisyz,602,4142,TRUE,6.880398671,77
4791,elocinx_,439,390,FALSE,0.888382688,181
4792,haronkamaria,2,14,FALSE,7,0
4793,dandeleeyen,210,874,TRUE,4.161904762,205
4794,springbamboo12,23,87,TRUE,3.782608696,8
4795,stargazerjuliet,464,1299,TRUE,2.799568966,1127
4796,oksggems,243,543,FALSE,2.234567901,415
4797,zainahalhadad,263,1049,TRUE,3.988593156,20
4798,gracefulpotato_,783,549,TRUE,0.701149425,169
4799,mshoneybee,177,790,TRUE,4.463276836,167
4800,klei_enhars,11,70,FALSE,6.363636364,8
4801,paperponies,522,975,TRUE,1.867816092,702
4802,_happygirlpris_xx,320,655,TRUE,2.046875,119
4803,eatshophappy,199,651,FALSE,3.271356784,72
4804,stephsnowy,93,317,TRUE,3.408602151,801
4805,duckpotato_,293,392,TRUE,1.337883959,119
4806,sheikhaalhadad,467,3078,TRUE,6.591006424,365
4807,sallyort,310,660,TRUE,2.129032258,830
4808,ainnynanny,415,428,TRUE,1.031325301,1164
4809,where_is_mybubbletea,60,161,FALSE,2.683333333,40
4810,something_maniqfiq,128,1982,TRUE,15.484375,508
4811,melly241,144,646,TRUE,4.486111111,824
4812,tishariff,804,1779,FALSE,2.212686567,909
4813,hknauy,172,291,FALSE,1.691860465,9
4814,ma1996angeline,905,964,FALSE,1.06519337,486
4815,yesitsmeman,269,867,TRUE,3.223048327,200
4816,_alice_kx,585,442,TRUE,0.755555556,474
4817,gaymengchoo,41,54,TRUE,1.317073171,11
4818,hui_shuang,478,499,FALSE,1.043933054,145
4819,ptl_esther,288,1365,TRUE,4.739583333,245
4820,starryknites,24,418,TRUE,17.41666667,433
4821,witchkate,151,1342,TRUE,8.887417219,912
4822,bangtanjacq,45,109,TRUE,2.422222222,40
4823,jaslyn_jaslyn,7,216,TRUE,30.85714286,1
4824,t_shuhui,243,707,FALSE,2.909465021,0
4825,btsofmanda,86,751,TRUE,8.73255814,1804
4826,mycrystal.book,304,447,FALSE,1.470394737,45
