,follower,no_of_followers,no_of_followees,is_private,ratio,no_of_posts
12400,kittyhuan,123,593,TRUE,4.821138211,100
12401,yatie.ad,432,545,FALSE,1.261574074,23
12402,wong_sx,105,159,TRUE,1.514285714,177
12403,xinhui1122,141,374,TRUE,2.65248227,218
12404,chocolateey79,432,1118,TRUE,2.587962963,400
12405,_myen_s,213,1977,TRUE,9.281690141,256
12406,katherinehuiting,776,2728,FALSE,3.515463918,604
12407,missyevelyn,687,5214,TRUE,7.589519651,624
12408,whysoahbui,0,1699,TRUE,1699,22
12409,atika_rebin,1200,1834,FALSE,1.528333333,380
12410,luna.viix,114,133,TRUE,1.166666667,0
12411,tiff_ltr,332,746,TRUE,2.246987952,732
12412,mabel_chue,58,816,TRUE,14.06896552,15
12413,tvzombie90,33,729,TRUE,22.09090909,444
12414,thelitinggg,187,347,TRUE,1.855614973,42
12415,theareginac,430,1108,FALSE,2.576744186,1535
12416,herlefrancisvivianmogensen,339,2635,TRUE,7.772861357,3
12417,happyhappy_panda,1,396,TRUE,396,0
12418,octiprus,172,1725,FALSE,10.02906977,244
12419,phoebeee.teo,965,787,FALSE,0.815544041,4
12420,twinklepetal,10,1024,TRUE,102.4,472
12421,wongsiewsiew,11,293,TRUE,26.63636364,0
12422,lorainehew,851,792,FALSE,0.9306698,1117
12423,d.arkensoul,1626,930,FALSE,0.57195572,2
12424,dom.deluna,249,696,FALSE,2.795180723,3
12425,sabby_ungu,74,174,TRUE,2.351351351,1
12426,tehpengpapi,509,544,TRUE,1.068762279,79
12427,sherlittlechicken,80,222,TRUE,2.775,41
12428,strawberrylavenderr,414,939,FALSE,2.268115942,540
12429,chaaarmaainee,313,393,TRUE,1.255591054,230
12430,cataminerals,3867,7485,FALSE,1.935608999,657
12431,kellyc.hew,614,1714,TRUE,2.791530945,2309
12432,elvaaaaanxq,301,1291,TRUE,4.289036545,454
12433,natural_crystal_wholesaler_liu,1107,1796,FALSE,1.622402891,1474
12434,tmlsharon,60,698,TRUE,11.63333333,49
12435,sishan_2402,391,1140,TRUE,2.915601023,371
12436,chansolid,239,1615,FALSE,6.757322176,2395
12437,adrianlim5,75,1165,TRUE,15.53333333,1
12438,yeyyyy__,328,722,TRUE,2.201219512,190
12439,cheukkky,633,615,FALSE,0.971563981,264
12440,telkmm,0,64,TRUE,64,0
12441,qinnieee,186,690,TRUE,3.709677419,3821
12442,careneeee,247,530,TRUE,2.145748988,21
12443,r.o.h.i.n.i.10,271,1944,TRUE,7.173431734,451
12444,_shuqi,426,1131,TRUE,2.654929577,1402
12445,insatiablecoquette,0,2885,TRUE,2885,0
12446,sparklling,258,878,TRUE,3.403100775,1376
12447,rachwen82,65,253,TRUE,3.892307692,122
12448,barbiecarnival,747,745,TRUE,0.997322624,1300
12449,deetiya,707,3960,TRUE,5.601131542,31
12450,fairlynn89,319,869,TRUE,2.724137931,116
12451,nita_hussein,30,159,TRUE,5.3,61
