,follower,no_of_followers,no_of_followees,is_private,ratio,no_of_posts
9000,jenix_ee,1334,453,FALSE,0.33958021,327
9001,kymlian,2206,1295,FALSE,0.587035358,3154
9002,pamhuu,578,829,FALSE,1.434256055,2021
9003,jessikaung,2485,3276,TRUE,1.318309859,978
9004,jas514,36,1034,TRUE,28.72222222,155
9005,bingo925,53,1328,TRUE,25.05660377,62
9006,flyingunicornpoop,17,1185,TRUE,69.70588235,51
9007,sjoman86,131,288,TRUE,2.198473282,1243
9008,lainetyl,475,686,TRUE,1.444210526,138
9009,ashleysfeelgoodpage,177,204,FALSE,1.152542373,31
9010,babyruslol,45,133,TRUE,2.955555556,0
9011,ccfkim,172,358,TRUE,2.081395349,79
9012,jokiflorals,1055,6530,FALSE,6.18957346,55
9013,sophialsj,11,135,TRUE,12.27272727,1
9014,xjiahuix,794,1171,TRUE,1.474811083,694
9015,alex_iseee,0,74,TRUE,74,0
9016,mondaycheers,157,459,TRUE,2.923566879,0
9017,juds.3,237,411,FALSE,1.734177215,234
9018,xxsljyxx,192,822,TRUE,4.28125,2887
9019,owlger,159,1097,TRUE,6.899371069,309
9020,itsjesszy,39,65,FALSE,1.666666667,15
9021,jessleezy,408,814,TRUE,1.995098039,651
9022,faridahmrkm,266,870,TRUE,3.270676692,144
9023,junelim.84,31,98,TRUE,3.161290323,25
9024,yunns260290,170,308,TRUE,1.811764706,244
9025,giniagrinz,157,1664,TRUE,10.59872611,557
9026,crystal_wholesale.xue,414,1713,FALSE,4.137681159,168
9027,pey_legaspi,490,565,TRUE,1.153061224,202
9028,igreensg,4062,4755,FALSE,1.170605613,2
9029,chloe__lim,174,457,TRUE,2.626436782,559
9030,xiuyin,236,2132,TRUE,9.033898305,6
9031,hellocrystaladdict,91,162,TRUE,1.78021978,3
9032,trippyhippiecrystals,3603,7500,FALSE,2.081598668,899
9033,ling.ee_86,24,370,TRUE,15.41666667,33
9034,jollypattan,76,322,TRUE,4.236842105,209
9035,fernk88,24,114,TRUE,4.75,11
9036,liz.monteiro_er,3840,5723,FALSE,1.490364583,117
9037,jaslynangela,66,409,TRUE,6.196969697,3267
9038,j_acew,638,504,FALSE,0.789968652,966
9039,cynthia.cyk,225,1326,TRUE,5.893333333,1140
9040,kahyathiri_sanjay,219,437,TRUE,1.99543379,300
9041,weitinggggg_,302,386,TRUE,1.278145695,377
9042,eunice_xf,101,265,TRUE,2.623762376,307
9043,jasminethechai,2833,2072,TRUE,0.731380162,2521
9044,cindyylf,1035,3997,FALSE,3.861835749,349
9045,xxo_angie_oxx,104,469,TRUE,4.509615385,324
9046,shui_ling_long,60,233,TRUE,3.883333333,3
9047,etannn15,33,3284,TRUE,99.51515152,474
