,follower,no_of_followers,no_of_followees,is_private,ratio,no_of_posts
7700,pufflepufffish,545,1382,TRUE,2.535779817,418
7701,ahoypopiah,47,1674,TRUE,35.61702128,3030
7702,scorpiojang,548,5017,TRUE,9.155109489,283
7703,uanjug,204,431,TRUE,2.112745098,129
7704,jellyblossomssg,1791,691,FALSE,0.385817979,619
7705,krisssy.chloe,314,321,TRUE,1.022292994,37
7706,guanruijin,4,3,FALSE,0.75,0
7707,tine.valiente,1435,811,FALSE,0.565156794,722
7708,maes1707,120,301,FALSE,2.508333333,55
7709,purpleclover82,227,452,TRUE,1.991189427,173
7710,just_alysson,668,847,TRUE,1.267964072,247
7711,bernzyseow,471,479,TRUE,1.016985138,101
7712,rzieyanie,193,833,TRUE,4.316062176,80
7713,renren12,107,2333,TRUE,21.80373832,311
7714,mystravenz007,4593,4877,TRUE,1.061833224,471
7715,dance_of_the_moon,2081,4994,FALSE,2.399807785,963
7716,shinigamee,100,257,TRUE,2.57,217
7717,mszoora,69,2494,TRUE,36.14492754,473
7718,phoebeyuen,236,964,TRUE,4.084745763,2379
7719,azeezasulaiman,121,650,TRUE,5.371900826,67
7720,millennial_patisserie,30,796,FALSE,26.53333333,4
7721,anakpakwan,335,1341,TRUE,4.002985075,781
7722,s.leighmyname,2253,1075,TRUE,0.477141589,252
7723,nancy.ng,36,436,TRUE,12.11111111,6
7724,lorraine.lxy,429,1095,FALSE,2.552447552,1066
7725,phyllisfatballl,6793,1115,FALSE,0.164139555,2252
7726,tastelikeyong,110,355,TRUE,3.227272727,7
7727,shirlylim7687,251,2556,TRUE,10.18326693,14
7728,nananana_tan,1263,939,FALSE,0.743467933,394
7729,shirlynlimcs,325,589,TRUE,1.812307692,493
7730,ynnahsshanny,6,570,TRUE,95,0
7731,chocolatefatish,481,522,TRUE,1.085239085,490
7732,mushswiss69,37,117,TRUE,3.162162162,153
7733,jennlim1201,47,234,TRUE,4.978723404,31
7734,helloyumi1001,581,1755,TRUE,3.020654045,37
7735,emmerieca,220,628,TRUE,2.854545455,1330
7736,museedesloisirs11,61,91,TRUE,1.491803279,188
7737,kiren.kaur16,32,619,TRUE,19.34375,0
7738,apple_teo90,275,217,FALSE,0.789090909,258
7739,winzchng,357,503,TRUE,1.408963585,55
7740,sgluxhomes,1788,365,FALSE,0.204138702,10
7741,renata_siulien,190,693,FALSE,3.647368421,15
7742,manthadarling,1102,2347,FALSE,2.129764065,1741
7743,li2ha,76,258,TRUE,3.394736842,36
7744,murni_sapuan,347,550,TRUE,1.585014409,106
7745,tuzi.tan,21,5,FALSE,0.238095238,0
7746,life_beau_tiful,9,342,TRUE,38,58
7747,julialovestoeat,44,140,TRUE,3.181818182,83
7748,rinawanh,157,642,TRUE,4.089171975,15
7749,yvette.elyssabeth,1076,2046,FALSE,1.901486989,348
7750,koko_.krunch,89,1416,TRUE,15.91011236,2048
7751,mellykarminn,333,599,TRUE,1.798798799,248
7752,ayu_yuyuu,565,1224,TRUE,2.166371681,1763
7753,mcwy88,178,318,TRUE,1.786516854,673
7754,karenchew33,167,203,TRUE,1.215568862,14
7755,joyie424,444,498,FALSE,1.121621622,919
7756,cynthia_yokelei,91,65,FALSE,0.714285714,10
7757,jol0ho,66,197,TRUE,2.984848485,43
7758,jessaiee,75,336,TRUE,4.48,332
7759,chanelasw,1112,901,FALSE,0.810251799,590
7760,erda_naz,40,677,TRUE,16.925,310
7761,bebe_luo,134,118,TRUE,0.880597015,88
7762,instaxhan,78,228,TRUE,2.923076923,72
7763,sharoninez_ruili,84,201,TRUE,2.392857143,5531
7764,babequee1234,118,693,TRUE,5.872881356,0
7765,mammytwy,90,151,FALSE,1.677777778,15
7766,mari3pachira,289,394,FALSE,1.363321799,126
7767,gohjesseca,106,202,FALSE,1.905660377,35
7768,yippriscilliapris,201,533,TRUE,2.651741294,131
7769,bingchloe,207,1211,TRUE,5.850241546,467
7770,idol_choy,20,92,TRUE,4.6,0
7771,zyblings,45,484,TRUE,10.75555556,1247
7772,haquyenmac,45,484,TRUE,10.75555556,1247
7773,yhanning,298,248,TRUE,0.832214765,250
7774,meeha_leau,93,122,FALSE,1.311827957,2
7775,blossomgem,178,1813,FALSE,10.18539326,17
7776,stephennie_,180,509,TRUE,2.827777778,1019
7777,jvntan,96,798,TRUE,8.3125,174
7778,gennn,355,555,TRUE,1.563380282,1162
7779,ahhcharlingam,198,297,TRUE,1.5,178
7780,sijiaxz,108,424,TRUE,3.925925926,38
7781,lovecristacruz,599,901,FALSE,1.504173623,311
7782,faithlynnshang,344,556,FALSE,1.61627907,537
7783,srifrhnsh,97,382,TRUE,3.93814433,159
7784,tishapotatos,67,702,TRUE,10.47761194,1064
7785,gummiyuki,138,286,TRUE,2.072463768,4833
7786,aboohvjb,154,462,FALSE,3,6
7787,pennylingam,125,813,TRUE,6.504,2267
7788,valzqx,224,605,TRUE,2.700892857,378
7789,jennie0301,254,702,TRUE,2.763779528,236
7790,thenameisfadila,104,725,TRUE,6.971153846,375
