,follower,no_of_followers,no_of_followees,is_private,ratio,no_of_posts
9400,iraujr,175,512,TRUE,2.925714286,39
9401,efantasyy,626,371,TRUE,0.592651757,669
9402,dancing_fries,21,1344,TRUE,64,135
9403,seyycherlls,689,599,FALSE,0.869375907,6
9404,lai_yuxuan,160,153,FALSE,0.95625,2
9405,samanthalah,1087,839,TRUE,0.771849126,983
9406,emelialoww,854,989,TRUE,1.158079625,389
9407,puisan95,663,1152,TRUE,1.737556561,35
9408,asc4sees,621,1051,FALSE,1.692431562,1010
9409,itssunshiness,128,5555,TRUE,43.3984375,929
9410,joyfulonion,713,1244,TRUE,1.744740533,392
9411,denda_sambada,51,47,FALSE,0.921568627,3
9412,zz00eee,147,600,TRUE,4.081632653,640
9413,rinhanekoma22,41,149,TRUE,3.634146341,11
9414,fionayunyi,426,743,TRUE,1.744131455,169
9415,lifedream13,35,1687,TRUE,48.2,27
9416,crystals_king_shops,1373,3078,FALSE,2.241806264,1449
9417,ms_lua_,148,1329,TRUE,8.97972973,113
9418,banissao,155,733,TRUE,4.729032258,80
9419,zupiddodo,86,411,TRUE,4.779069767,629
9420,no_regrets_daily,109,700,TRUE,6.422018349,0
9421,alzahar_nina,154,735,TRUE,4.772727273,338
9422,bunnyjoane,706,1101,FALSE,1.559490085,1651
9423,__________.hui,391,779,TRUE,1.992327366,2
9424,tmj,1112,2587,TRUE,2.326438849,1326
9425,helloj.c,127,176,TRUE,1.385826772,50
9426,ferlyn_epl90,773,1647,TRUE,2.130659767,2201
9427,kittima_aleeusaman,225,929,TRUE,4.128888889,78
9428,chris_dext,287,735,TRUE,2.56097561,135
9429,amyyeolh,74,134,FALSE,1.810810811,1
9430,bakedbeansjac,329,552,TRUE,1.67781155,1
9431,_littlefat_dumpling._,261,1933,TRUE,7.406130268,29
9432,huiying21,349,847,TRUE,2.426934097,396
9433,vyongqwf,125,457,TRUE,3.656,2
9434,ellure_wouwou_serene,517,612,FALSE,1.183752418,2177
9435,lowannatan,323,2586,TRUE,8.00619195,3178
9436,lee_kq97,1257,1001,TRUE,0.796340493,75
9437,kellemsj,222,234,FALSE,1.054054054,188
9438,totallyjolene,152,2202,TRUE,14.48684211,689
9439,missskinnyfriedchicken,494,1401,FALSE,2.836032389,534
9440,aliciahohoho,456,466,TRUE,1.021929825,876
9441,jadesgchia,47,90,FALSE,1.914893617,2
9442,_dingdingo_,6,1215,TRUE,202.5,1110
9443,vivian_31_87,287,1342,FALSE,4.675958188,33
9444,char.siewmama,196,1120,TRUE,5.714285714,774
9445,glissgem_,1916,681,FALSE,0.355427975,249
9446,hansahan,1522,575,TRUE,0.377792378,3
9447,lynwlyn,1058,1654,FALSE,1.563327032,3191
9448,nov.yeoh,606,593,TRUE,0.978547855,1608
9449,m_alavizadeshirazi,128,1749,TRUE,13.6640625,13
9450,jjoyceeliann,439,1386,FALSE,3.157175399,321
9451,nicole_eichbauer,292,1395,TRUE,4.77739726,355
9452,amie3luv,1213,1128,FALSE,0.929925804,199
9453,linashai,104,565,TRUE,5.432692308,48
9454,boringbubbles,76,293,TRUE,3.855263158,420
9455,highkaisofly,418,532,TRUE,1.272727273,172
9456,zling2303,97,924,TRUE,9.525773196,77
9457,fifty.fifti,2254,995,FALSE,0.441437445,153
9458,havenofcrystals,775,399,FALSE,0.51483871,6
9459,lemongrasslo,11,84,TRUE,7.636363636,72
9460,gldys_lzbth,508,951,TRUE,1.872047244,1731
9461,karennxq,197,1146,TRUE,5.817258883,246
9462,agnesliim,1468,1943,TRUE,1.323569482,1020
9463,sueosman,4474,4324,FALSE,0.966472955,8015
9464,linawestley,892,611,TRUE,0.684977578,96
9465,mimileesg,37,454,TRUE,12.27027027,26
9466,zizikwa,187,1104,TRUE,5.903743316,281
9467,nabilahshah_,617,1893,TRUE,3.068071313,18
9468,xiiinnyx,287,753,FALSE,2.62369338,233
9469,wang.jingqi,210,774,TRUE,3.685714286,598
9470,jacklynajy,902,696,FALSE,0.771618625,226
9471,charchar.charchar,230,489,FALSE,2.126086957,462
9472,supercalifragilisticdocious,151,766,TRUE,5.072847682,783
9473,kaitian.foo,335,575,FALSE,1.71641791,274
9474,littlebob,1250,4265,FALSE,3.412,5152
9475,josieluvie,572,1844,TRUE,3.223776224,278
9476,queena_xy,474,354,TRUE,0.746835443,51
9477,catherine4918,545,3216,FALSE,5.900917431,49
9478,jbell_anna,75,308,TRUE,4.106666667,472
9479,sherlynnboo,233,760,TRUE,3.261802575,2152
9480,seaweednsh,848,600,TRUE,0.70754717,941
9481,iqile_,495,4827,TRUE,9.751515152,851
9482,ling.in.utopia,545,2335,TRUE,4.28440367,746
9483,ncyruby,43,568,TRUE,13.20930233,19
9484,pretty_blooms,306,2875,FALSE,9.395424837,42
9485,biyun_oneonetwonine,113,3161,TRUE,27.97345133,469
9486,shopaholicsue3,1597,1240,FALSE,0.776455855,1470
9487,_ladine,412,400,TRUE,0.970873786,1024
9488,angiesoh1984,270,574,TRUE,2.125925926,51
9489,r.oivo.s,0,175,TRUE,175,0
9490,miamidaahmad,27,122,TRUE,4.518518519,168
9491,miissyypq,108,443,TRUE,4.101851852,328
9492,linda_jadeite,89,227,FALSE,2.550561798,37
9493,wendyahzhen,309,2180,TRUE,7.055016181,2122
9494,melissacsg,73,167,TRUE,2.287671233,14
9495,nabiluhhh_,739,841,FALSE,1.138024357,24
9496,elizabeth_ng,462,819,TRUE,1.772727273,475
9497,oolyn_,773,405,TRUE,0.52393273,64
9498,iamgladysong,167,637,TRUE,3.814371257,4061
9499,evezeng,52,898,TRUE,17.26923077,134
9500,oilengmak,31,132,TRUE,4.258064516,101
9501,vivian.myc,1819,1522,TRUE,0.836723474,1147
9502,lynnlim19,80,270,TRUE,3.375,1
9503,iheartcandy38,89,194,FALSE,2.179775281,59
9504,happiorangerain,379,560,FALSE,1.477572559,0
9505,sarahtee22,160,448,FALSE,2.8,89
