,follower,no_of_followers,no_of_followees,is_private,ratio,no_of_posts
10000,lorrenerrol,347,670,TRUE,1.930835735,137
10001,alphababyyy,446,1708,TRUE,3.829596413,8
10002,itsjtms,831,2192,FALSE,2.6377858,167
10003,dodugoh,94,975,TRUE,10.37234043,569
10004,angwnxn,407,792,TRUE,1.945945946,30
10005,kristineyun,1925,1436,TRUE,0.745974026,2467
10006,breeathy_mama,246,1102,TRUE,4.479674797,135
10007,naturegloria,288,537,FALSE,1.864583333,2280
10008,thedimpledhams,135,367,TRUE,2.718518519,410
10009,sok.fern,254,544,TRUE,2.141732283,183
10010,dorislim232,186,683,TRUE,3.672043011,78
10011,xuanrenx,379,514,TRUE,1.356200528,627
10012,happykl19,528,1334,FALSE,2.526515152,2368
10013,yiying_11,205,654,TRUE,3.190243902,7
10014,ganleechiou,107,220,TRUE,2.056074766,2
10015,arixswwyyy__,831,533,FALSE,0.641395909,280
10016,amoulicious,789,1239,FALSE,1.570342205,1944
10017,psluvpeishi,90,1304,TRUE,14.48888889,1951
10018,1tcha,141,314,FALSE,2.226950355,9
10019,sclicious,178,493,TRUE,2.769662921,733
10020,pandajakewx,351,864,TRUE,2.461538462,150
10021,cyn_xu_queen,104,500,TRUE,4.807692308,28
10022,khohuihui,392,1710,FALSE,4.362244898,298
10023,clairelovescake,62,440,TRUE,7.096774194,0
10024,wildchildxx92,317,792,TRUE,2.498422713,526
10025,ccwx_,1625,1758,FALSE,1.081846154,441
10026,calistallicious,443,773,TRUE,1.744920993,1213
10027,lovearthmama,64,641,TRUE,10.015625,257
10028,cielsunflowers,508,1537,TRUE,3.025590551,828
10029,shuqii94,190,326,FALSE,1.715789474,108
10030,catchymelody,234,853,TRUE,3.645299145,847
10031,millytay77,140,1687,TRUE,12.05,7
10032,sree_devi84,78,1610,TRUE,20.64102564,242
10033,jackiepeh3121,70,2213,TRUE,31.61428571,422
10034,germiechen,35,965,FALSE,27.57142857,0
10035,ellure_aringi,1033,4279,FALSE,4.142303969,1205
10036,estherprecieux,768,3325,TRUE,4.329427083,2380
10037,hyf0811,362,1328,TRUE,3.668508287,63
10038,marilynhsx,589,2576,TRUE,4.373514431,2565
10039,sgshutterbug,88,967,TRUE,10.98863636,1016
10040,jjessieank,161,428,FALSE,2.658385093,101
10041,chinnyychinn,236,504,TRUE,2.13559322,173
10042,dreamarainbowtique,50,183,TRUE,3.66,12
10043,merryforest,57,783,TRUE,13.73684211,120
10044,joyce_pua,313,1127,TRUE,3.600638978,1674
10045,jasmintay,420,303,FALSE,0.721428571,81
10046,xinnie18,200,1130,TRUE,5.65,54
10047,am12.59,0,2954,TRUE,2954,44
10048,fusilli,264,923,TRUE,3.496212121,922
10049,janesparkleee,111,616,TRUE,5.54954955,208
10050,drcharis,157,671,TRUE,4.27388535,116
10051,s.x.rin.a,4458,1486,FALSE,0.333333333,127
10052,sxarose,107,1433,TRUE,13.39252336,0
10053,belindajonelle,2114,3831,FALSE,1.812204352,4104
10054,newnorm_sg,1039,2102,FALSE,2.023099134,43
10055,luciaseow,213,1061,FALSE,4.981220657,298
10056,bev__says,133,600,TRUE,4.511278195,152
10057,racheleesh,211,460,TRUE,2.180094787,231
10058,citrusbesg,356,1202,FALSE,3.376404494,196
10059,audreyhvl,27,450,TRUE,16.66666667,1
10060,uniperr,80,408,TRUE,5.1,311
10061,jeenidarshan,69,1155,TRUE,16.73913043,1
10062,xiaoying02,495,518,TRUE,1.046464646,1062
10063,joannelovelove,1085,3927,FALSE,3.619354839,863
10064,mmm.oments,94,811,TRUE,8.627659574,712
10065,joannacheok,52,330,TRUE,6.346153846,21
10066,reginatay_06,402,792,TRUE,1.970149254,219
10067,fionasim,618,851,TRUE,1.377022654,945
10068,__velvet___sky,25,1793,TRUE,71.72,131
10069,quek_shuyi,289,320,TRUE,1.107266436,70
10070,aliacakebakery_,3845,648,FALSE,0.168530559,1495
10071,miimiicellez,150,412,TRUE,2.746666667,81
10072,simfjs,377,854,TRUE,2.265251989,43
10073,mrs_hazim_ima,1332,7255,TRUE,5.446696697,1253
10074,val.ocity,138,485,FALSE,3.514492754,749
10075,mintlashbox,334,3027,TRUE,9.062874251,124
10076,cy_badtz,183,501,TRUE,2.737704918,1017
10077,ahruru89,152,319,TRUE,2.098684211,194
10078,hi5lo5bb5,30,1748,TRUE,58.26666667,3286
10079,shabobeti,626,1457,TRUE,2.327476038,323
10080,theshakyhands,3354,1221,FALSE,0.364042934,1653
10081,hazelnutlovatan,540,1054,FALSE,1.951851852,153
10082,haleena_anjaani,24,2869,TRUE,119.5416667,778
10083,anjojooo,175,496,TRUE,2.834285714,266
10084,weilings,749,491,FALSE,0.655540721,1603
10085,jasmintan85,90,255,TRUE,2.833333333,2
10086,existential_2511,69,989,TRUE,14.33333333,2
10087,yi_vonvon,81,544,TRUE,6.716049383,212
10088,frosty.drops,572,126,FALSE,0.22027972,45
10089,fiona_nzy,683,961,TRUE,1.407027818,242
10090,mafiabosswife.co,209,742,FALSE,3.550239234,11
10091,rei_yow,126,568,TRUE,4.507936508,5
10092,tinapangz,127,209,TRUE,1.645669291,1179
10093,xcelestialcrystalx,38,41,FALSE,1.078947368,14
10094,malila.amulet,3725,2371,FALSE,0.636510067,75
10095,ei92,207,626,TRUE,3.024154589,894
10096,jazzj82,423,620,TRUE,1.46572104,577
10097,naslynatalie,455,1238,TRUE,2.720879121,27
10098,jovial_floral,3881,178,FALSE,0.045864468,325
10099,mjfoss13,543,3944,FALSE,7.26335175,1495
10100,avrilett,89,586,TRUE,6.584269663,191
10101,anita_pr____b,231,317,TRUE,1.372294372,185
10102,milk_mary_malo,677,6814,FALSE,10.06499261,832
10103,ashabellle,203,1062,TRUE,5.231527094,95
10104,m__ac__y,203,879,FALSE,4.330049261,93
10105,happieorange,454,813,TRUE,1.790748899,363
10106,wint3r.crystal,654,156,FALSE,0.23853211,30
