,follower,no_of_followers,no_of_followees,is_private,ratio,no_of_posts
9800,shanmickidee,501,2353,TRUE,4.696606786,427
9801,treenqueen69,3892,2450,FALSE,0.629496403,11
9802,chloechen_77,75,235,TRUE,3.133333333,51
9803,alexiedou7,460,966,TRUE,2.1,350
9804,solsticeraf,555,1438,FALSE,2.590990991,468
9805,katherinys,777,765,TRUE,0.984555985,784
9806,luvkittykat,1019,2270,FALSE,2.22767419,69
9807,nguyenthanhlien_,212,713,TRUE,3.363207547,83
9808,dareliciouuz,34,1302,TRUE,38.29411765,1
9809,yinminteo,311,932,TRUE,2.996784566,1609
9810,lkexin_,71,503,TRUE,7.084507042,28
9811,thespiritualwayfarer,130,274,FALSE,2.107692308,42
9812,kat2122,242,1342,TRUE,5.545454545,281
9813,phines103,2054,1211,TRUE,0.589581305,298
9814,cx85,155,303,TRUE,1.95483871,406
9815,bluemist11,582,1360,FALSE,2.336769759,1672
9816,tanranelle,289,438,TRUE,1.515570934,308
9817,jessica.dub_,116,539,TRUE,4.646551724,188
9818,iamsillyzhen,120,251,TRUE,2.091666667,80
9819,greenie_the_genie,642,1974,FALSE,3.074766355,29
9820,abcdxefgh,0,179,TRUE,179,0
9821,dershnapatel18,260,6312,TRUE,24.27692308,338
9822,keerthi_121094,71,608,TRUE,8.563380282,0
9823,jingsleong,263,545,TRUE,2.072243346,0
9824,zenithtoast,88,956,TRUE,10.86363636,9
9825,crystal_4_world_,1848,6156,FALSE,3.331168831,458
9826,harinejagates,92,349,TRUE,3.793478261,49
9827,i_reeene,183,368,TRUE,2.010928962,440
9828,msleialeia,183,368,TRUE,2.010928962,440
9829,adibahmarie,1282,7502,FALSE,5.851794072,3
9830,valeriengjl,147,6804,TRUE,46.28571429,2793
9831,anne.labs.50,217,310,FALSE,1.428571429,145
9832,minicatwinnie,119,261,TRUE,2.193277311,1720
9833,_rubiistarr,954,1119,TRUE,1.172955975,2478
9834,piratebella11,97,317,TRUE,3.268041237,71
9835,anna_maria23,419,1251,TRUE,2.985680191,773
9836,sotong_blur_blur,58,135,TRUE,2.327586207,31
9837,accentplusshir,55,1205,TRUE,21.90909091,651
9838,persi_joan_dawson,104,578,TRUE,5.557692308,454
9839,brydee_g,398,1097,TRUE,2.756281407,0
9840,aros_dreamcatcher,463,1030,FALSE,2.22462203,446
9841,iluvserendipity,172,1746,TRUE,10.15116279,1653
9842,ashleighcathrineyoung,69,1872,TRUE,27.13043478,76
9843,myla216,231,958,TRUE,4.147186147,288
9844,oanh.tkn,165,117,FALSE,0.709090909,61
9845,maevelan,160,481,FALSE,3.00625,2
9846,instaasaabs,21,475,TRUE,22.61904762,0
9847,sidderbums,1221,7036,TRUE,5.762489762,783
9848,_leannak,267,6288,TRUE,23.5505618,0
9849,charlenescrystalcreations,1120,3798,FALSE,3.391071429,22
9850,sharon.3324,10,87,FALSE,8.7,0
9851,jasminebittu,596,711,TRUE,1.19295302,1
