,follower,no_of_followers,no_of_followees,is_private,ratio,no_of_posts
1000,clinther,122,393,TRUE,3.221311475,33
1001,shirleen87,57,637,TRUE,11.1754386,10
1002,heidy_chong,366,1576,FALSE,4.306010929,109
1003,rynn_lynnie,80,513,TRUE,6.4125,230
1004,eeliantam,362,1287,TRUE,3.555248619,4249
1005,siti.yatimah24,123,1095,TRUE,8.902439024,319
1006,esthertay26,6,104,FALSE,17.33333333,0
1007,mamadee.sg,672,993,TRUE,1.477678571,693
1008,jojo_ong25,256,589,TRUE,2.30078125,2460
1009,amberral,889,1222,FALSE,1.374578178,1911
1010,ellure_ariel_pinky_sp,201,326,FALSE,1.621890547,165
1011,poppy_donel,0,12,TRUE,12,0
1012,janice_teo16,131,415,TRUE,3.167938931,13
1013,rajessie_misschief,1123,1671,TRUE,1.487978629,944
1014,fanggling,226,338,TRUE,1.495575221,95
1015,ever.ylittlethingmatters,521,888,TRUE,1.704414587,395
1016,shianne_mummy,521,888,TRUE,1.704414587,395
1017,jennychou627,216,519,FALSE,2.402777778,278
1018,annettsia,376,546,FALSE,1.45212766,299
1019,twilnyn,1121,1108,FALSE,0.988403211,109
1020,jerlynchua79,176,1358,TRUE,7.715909091,369
1021,erynn_ong,226,223,TRUE,0.986725664,5
1022,ng.michelle,50,286,TRUE,5.72,28
1023,wlnnle,866,1165,TRUE,1.345265589,567
1024,tammie_1309,378,615,FALSE,1.626984127,672
1025,judyosk,29,131,TRUE,4.517241379,41
1026,banupriya114,252,857,TRUE,3.400793651,990
1027,enipu23,200,1411,FALSE,7.055,907
1028,wendytoh_,262,494,TRUE,1.885496183,561
1029,suiequn,117,300,TRUE,2.564102564,36
1030,priscilla.yong,70,158,TRUE,2.257142857,71
1031,ai_delin_er,301,1923,TRUE,6.388704319,2157
1032,aviaannaaaa,1039,4950,TRUE,4.764196343,6
1033,szestobte,543,1990,FALSE,3.664825046,383
1034,byrheasg,178,228,FALSE,1.280898876,39
1035,midinthemiddle82,262,3915,TRUE,14.94274809,2799
1036,jstandsforjessie,121,841,TRUE,6.950413223,263
1037,nic_cml,183,668,TRUE,3.650273224,633
1038,elineling10,228,342,TRUE,1.5,274
1039,all.sparks,0,1581,TRUE,1581,22
1040,sootoongg,477,436,TRUE,0.914046122,88
1041,joannewg,269,546,FALSE,2.029739777,1051
1042,veron3129,151,402,TRUE,2.662251656,313
1043,jesteeyl,287,1158,TRUE,4.034843206,1239
1044,kaylynzlife,276,296,TRUE,1.072463768,571
1045,august.meimei.lambo,1755,2002,FALSE,1.140740741,6131
1046,kuay22,63,365,TRUE,5.793650794,719
1047,xinlian,181,1241,TRUE,6.856353591,110
1048,jean_txng,300,712,TRUE,2.373333333,5
