,follower,no_of_followers,no_of_followees,is_private,ratio,no_of_posts
5700,shirleysukuna,343,1284,TRUE,3.743440233,81
5701,hqphoe,595,1612,FALSE,2.709243697,692
5702,theresaurus_r_me,233,3127,TRUE,13.42060086,4
5703,linda_asbu,311,2172,TRUE,6.98392283,258
5704,funn_lady,143,1797,TRUE,12.56643357,857
5705,dlrlfl.0802,36,743,TRUE,20.63888889,735
5706,luluemie,285,407,FALSE,1.428070175,356
5707,maggie_kaka_mummy,6,1628,TRUE,271.3333333,0
5708,chiewlinggg_,428,621,TRUE,1.450934579,75
5709,yokelai13,677,3257,FALSE,4.810930576,233
5710,asyhazrl,208,1989,TRUE,9.5625,90
5711,slurpiefrosties4ever,22,631,TRUE,28.68181818,194
5712,its_angel.25,145,826,TRUE,5.696551724,126
5713,chrisie_de_jooz,24,319,TRUE,13.29166667,9
5714,sutinahd3,510,2183,FALSE,4.280392157,116
5715,adeline_sng,55,483,TRUE,8.781818182,7
5716,innerpixie,360,1448,TRUE,4.022222222,553
5717,shirlkaye,3942,1195,TRUE,0.303145611,647
5718,jennifer.goh.5055,53,112,TRUE,2.113207547,105
5719,jzchrom89,149,1374,TRUE,9.22147651,88
5720,rockabyebaybee,387,1351,TRUE,3.490956072,52
5721,kittyle92,223,812,TRUE,3.641255605,100
5722,iamdonnagee,822,1571,FALSE,1.911192214,799
5723,natisjoyy,467,1870,TRUE,4.004282655,2036
5724,jayjay.jpg,38,97,TRUE,2.552631579,1
5725,butterfly.sly_x,44,375,TRUE,8.522727273,3
5726,pingpongpiang,495,876,TRUE,1.76969697,1795
5727,angelique_karen,97,864,TRUE,8.907216495,595
5728,enxi.happy,821,2433,FALSE,2.963459196,1131
5729,juzwendy,235,1304,TRUE,5.54893617,41
5730,crazeecat22,323,1923,TRUE,5.953560372,276
5731,mervesingapore_mas,904,5351,FALSE,5.919247788,493
5732,audshlee,178,767,TRUE,4.308988764,244
5733,sandsoftimeblog,0,5944,TRUE,5944,6
5734,sahidahzlkfl,587,1002,FALSE,1.706984668,15
5735,norak.79,409,2659,TRUE,6.501222494,1035
5736,_katlynthng_,366,666,TRUE,1.819672131,0
5737,fufujamal,21,1438,TRUE,68.47619048,4
5738,sharlin_wan,27,329,TRUE,12.18518519,1
5739,zminminzz,743,2991,FALSE,4.025572005,122
5740,hunnychocolate,65,1196,FALSE,18.4,130
5741,voidstarx,663,1835,FALSE,2.767722474,38
5742,waiyee1,192,268,FALSE,1.395833333,526
5743,gohmerry,365,2682,TRUE,7.347945205,106
5744,__lovelovy,531,840,TRUE,1.581920904,13
5745,doublerainbow00,1292,6068,FALSE,4.696594427,321
5746,knownasminminmindy,228,1173,TRUE,5.144736842,1319
5747,claraojm,899,1005,FALSE,1.117908788,199
5748,x_xburrrrrpx_x,380,1013,TRUE,2.665789474,3
5749,javachiphaz,545,1334,TRUE,2.447706422,826
5750,crystal_gemzzz,309,180,FALSE,0.582524272,26
5751,justsomesimplethings,8148,992,FALSE,0.121747668,816
5752,hiiamyulin,1047,1601,TRUE,1.52913085,215
5753,_hiid_,560,3684,TRUE,6.578571429,1107
5754,afronking,5,60,TRUE,12,0
5755,leorpard29,337,1294,TRUE,3.839762611,1
5756,ginatan1778,140,427,TRUE,3.05,14
5757,assiedification,551,1947,FALSE,3.533575318,980
5758,jennsandra,1014,1327,FALSE,1.308678501,1760
5759,eunice_olc,74,36,FALSE,0.486486486,19
5760,littlemissiffah,144,382,TRUE,2.652777778,614
5761,daphtee,59,118,TRUE,2,262
5762,wendyyyangg,1093,1259,TRUE,1.151875572,677
5763,sophia.tan,1103,727,FALSE,0.659111514,519
5764,sugardreamer,488,1937,FALSE,3.969262295,2735
5765,meiqin_qiu,219,926,TRUE,4.228310502,433
5766,onedotstones,2609,7083,FALSE,2.714833269,140
5767,lielaestioco,98,185,TRUE,1.887755102,4
5768,claudiawanjie,145,187,TRUE,1.289655172,195
5769,nudeayam,5,583,TRUE,116.6,926
5770,ladywristlover,627,732,FALSE,1.167464115,323
5771,mamatokjh,313,691,TRUE,2.207667732,565
5772,gir_ashley,114,152,TRUE,1.333333333,156
5773,sagitarz_gal,64,348,TRUE,5.4375,70
5774,vannlee,114,326,TRUE,2.859649123,371
5775,warrior1025,90,240,TRUE,2.666666667,146
5776,doreen1473,146,444,FALSE,3.04109589,2
5777,cherayenn,42,81,TRUE,1.928571429,1014
5778,chloe___j,159,614,TRUE,3.86163522,172
5779,aliciang_,438,468,TRUE,1.068493151,44
5780,lovepedras,35,29,FALSE,0.828571429,27
5781,jijotzz,162,1630,TRUE,10.0617284,435
5782,yvonneyang76,79,230,TRUE,2.911392405,86
5783,mxmarilyn,320,771,TRUE,2.409375,758
5784,xxiao_qian,314,348,TRUE,1.108280255,376
5785,xjiayii,158,322,TRUE,2.037974684,0
5786,simjiehyin,80,147,TRUE,1.8375,52
5787,jinhui21,25,83,TRUE,3.32,34
5788,mimi_llt,55,149,FALSE,2.709090909,140
5789,queen_of_noh,697,927,FALSE,1.329985653,683
5790,kavikumar03,52,233,TRUE,4.480769231,0
5791,m.e.resinarts_,104,152,FALSE,1.461538462,31
5792,_melisstarr_,280,1002,TRUE,3.578571429,215
5793,dine123,168,825,TRUE,4.910714286,810
5794,rszeying,204,657,TRUE,3.220588235,23
5795,teh4409,61,81,FALSE,1.327868852,2
5796,paulinetjh,251,439,TRUE,1.749003984,666
5797,tricialai33,166,204,FALSE,1.228915663,4
5798,leelengtan,398,750,TRUE,1.884422111,923
5799,tengtengchris,245,460,TRUE,1.87755102,150
5800,supernova.crystals,148,25,FALSE,0.168918919,19
5801,lapidary.magpie,1048,564,FALSE,0.538167939,268
5802,fatlicia,419,452,TRUE,1.07875895,779
5803,missykireiii,1684,2027,FALSE,1.20368171,768
5804,sharonleeee,43,401,TRUE,9.325581395,78
5805,plaifha_emopooh,1480,2866,TRUE,1.936486486,936
5806,stellastels,123,1452,TRUE,11.80487805,223
5807,samyjo70,86,922,TRUE,10.72093023,971
5808,joanne._.t,8,22,TRUE,2.75,0
5809,chen.theng,81,220,TRUE,2.716049383,1
5810,pamnificent,168,2559,TRUE,15.23214286,1512
5811,cutecutec,2,34,TRUE,17,0
5812,tofu_lokey,44,232,TRUE,5.272727273,7
5813,jessicabibi,711,889,TRUE,1.250351617,1365
5814,lovin_everydae,108,261,TRUE,2.416666667,3
5815,xeniaxylermommy,323,385,TRUE,1.191950464,1244
5816,ngyunfan,286,1189,FALSE,4.157342657,107
5817,tay_sasa,34,357,TRUE,10.5,2
5818,speedydonz,1432,6492,TRUE,4.533519553,71
5819,limin.liang.14,58,417,TRUE,7.189655172,101
5820,missabhy,19,286,TRUE,15.05263158,189
5821,brenabake,17,19,FALSE,1.117647059,16
5822,jeonyuuka,68,586,TRUE,8.617647059,524
5823,shirleymissy,344,2465,TRUE,7.165697674,929
5824,joannepoh02,129,221,TRUE,1.713178295,48
5825,fleurdesel_sg,1618,912,FALSE,0.563658838,808
5826,_sibs_frozen_heart,1123,2108,FALSE,1.877114871,367
5827,beranice76,73,172,TRUE,2.356164384,29
5828,tziienn,1763,4889,TRUE,2.77311401,315
5829,thepaperdollsx,1422,872,FALSE,0.613220816,665
5830,purpurshades,385,532,FALSE,1.381818182,334
5831,shinnie___98,1387,1559,FALSE,1.124008652,462
5832,lhqtotheq,1515,1136,TRUE,0.749834983,1742
5833,jennifer.chiam.7,22,37,FALSE,1.681818182,0
5834,daintyandallure,31,33,FALSE,1.064516129,12
5835,ng_caiping,53,140,TRUE,2.641509434,37
5836,dor_simone,159,402,TRUE,2.528301887,423
5837,nydiacae,1,127,TRUE,127,106
5838,jasmine_theagent,175,515,TRUE,2.942857143,171
5839,pambieart,839,603,FALSE,0.718712753,202
5840,thegeekyrabbit,0,187,TRUE,187,0
5841,jbliss62,60,64,FALSE,1.066666667,107
5842,gtjfang,100,584,TRUE,5.84,876
5843,rumblingbeee,119,371,FALSE,3.117647059,0
5844,hytsh3r,65,816,TRUE,12.55384615,399
5845,wenndarella,264,6954,TRUE,26.34090909,134
5846,sien.wanderlust,57,26,FALSE,0.456140351,0
5847,anverbb,112,139,TRUE,1.241071429,270
5848,maddyan79,274,955,FALSE,3.48540146,423
5849,gracelimqy,588,567,TRUE,0.964285714,682
5850,ivying.yang,286,1532,FALSE,5.356643357,27
5851,lichoo.chia,55,128,FALSE,2.327272727,3
5852,hengkywengky,329,183,FALSE,0.556231003,455
5853,katlow,220,2533,TRUE,11.51363636,77
5854,mrbunsie.momo.missysam,270,1029,FALSE,3.811111111,873
5855,amanda_chl,122,460,TRUE,3.770491803,125
5856,cheryltgp,581,1056,TRUE,1.817555938,4
5857,rachie.yun,435,815,TRUE,1.873563218,66
5858,1925.creations,614,791,FALSE,1.288273616,177
5859,jess_jalynn,358,1014,TRUE,2.832402235,408
5860,b.b.jess,54,1642,TRUE,30.40740741,48
5861,val3rie_lim,20,127,TRUE,6.35,35
5862,renfengtan,95,170,TRUE,1.789473684,0
5863,hamikogoh,1252,1232,FALSE,0.984025559,1311
5864,juneeqii,102,784,TRUE,7.68627451,112
5865,poh_chern,159,633,TRUE,3.981132075,57
5866,jennifer.teo.716,38,34,FALSE,0.894736842,5
5867,sherinegzy,976,1774,FALSE,1.817622951,1630
5868,roseypawprints,5,13,TRUE,2.6,0
5869,kittyvone,264,657,TRUE,2.488636364,738
5870,9.28964E-09,135,271,TRUE,2.007407407,0
5871,sharonhpy,272,544,FALSE,2,281
5872,stephy1210,581,500,TRUE,0.860585198,839
5873,pr_obablybored,407,1954,TRUE,4.800982801,275
5874,dorislam0831,782,1042,FALSE,1.332480818,738
5875,fonda_bliss,94,421,TRUE,4.478723404,194
5876,nuggetdickslayer,57,695,TRUE,12.19298246,50
5877,strawberrypie26,7,302,TRUE,43.14285714,29
5878,rajesmohandass,519,2160,TRUE,4.161849711,716
5879,josephinekang,80,326,TRUE,4.075,125
5880,un.special.me,34,49,TRUE,1.441176471,13
5881,dreesires,509,1758,TRUE,3.453831041,3023
5882,underyourpillows,11423,675,FALSE,0.059091307,483
5883,feebs_oninsta,41,821,TRUE,20.02439024,42
