,follower,no_of_followers,no_of_followees,is_private,ratio,no_of_posts
3115,cloe.dis,71,13,FALSE,0.183098592,6
3116,micokhoo,222,123,FALSE,0.554054054,41
3117,cassandratan121,165,1043,TRUE,6.321212121,117
3118,sasasasamuel_,1347,1206,TRUE,0.89532294,283
3119,3nityy_,4108,1751,FALSE,0.42624148,90
3120,miniature_starz,203,508,FALSE,2.502463054,7
3121,timelesslikemaggie,62,665,TRUE,10.72580645,160
3122,maylaudrey,107,327,TRUE,3.056074766,102
3123,audreylianzz,213,697,TRUE,3.272300469,628
3124,sheisnanasabrina,2966,2464,FALSE,0.830748483,754
3125,negnoy,221,1612,TRUE,7.294117647,954
3126,chavell_tan,1272,889,TRUE,0.698899371,416
3127,melodylse,409,1441,TRUE,3.523227384,2468
3128,dear.moonlyla,29,255,TRUE,8.793103448,15
3129,yilinngg,478,788,TRUE,1.648535565,1583
3130,rakiniradakrishnan,6,150,TRUE,25,1
3131,thepalmjewel,18,91,FALSE,5.055555556,7
3132,melissaow_,387,903,TRUE,2.333333333,1495
3133,minghoonn,458,737,TRUE,1.609170306,613
3134,wze0410,885,1072,TRUE,1.211299435,23
3135,angdorothy,161,409,TRUE,2.540372671,206
3136,justinekoh82,201,1084,FALSE,5.393034826,12
3137,jdotkamini,181,902,TRUE,4.983425414,567
3138,chewyxkristy,175,1106,TRUE,6.32,245
3139,chapter_v.ii,98,275,FALSE,2.806122449,23
3140,lilysarwani,85,2387,TRUE,28.08235294,291
3141,hollz_kitchen,517,648,FALSE,1.253384913,688
3142,pxpxpxpxpxpxpxpx_,28,156,TRUE,5.571428571,2
3143,novastarley,48,357,TRUE,7.4375,154
3144,firebellemeow,11,1083,TRUE,98.45454545,61
3145,lalalaitsmaine,66,1824,TRUE,27.63636364,3943
3146,sagi__rl,38,660,TRUE,17.36842105,92
3147,sotongmee,45,488,TRUE,10.84444444,2784
3148,victoriakhim,832,1693,FALSE,2.034855769,594
3149,sshiirleyy,974,1878,TRUE,1.928131417,305
3150,janiviy,116,459,TRUE,3.956896552,68
3151,xiwaiendee,803,1472,FALSE,1.833125778,2306
3152,chloethesim,674,2321,TRUE,3.443620178,779
3153,peishixjen,629,867,FALSE,1.378378378,894
3154,xandrann,1089,1780,FALSE,1.634527089,59
3155,nicolettefhy,378,449,TRUE,1.187830688,949
3156,imblackorkeed,1172,2321,TRUE,1.980375427,2653
3157,kelly.ang85,41,66,TRUE,1.609756098,1
3158,tiffayez,933,1226,TRUE,1.314040729,636
3159,j.shw,2650,1559,TRUE,0.588301887,114
3160,einavanie,767,1424,TRUE,1.856584094,301
3161,rufaidah_ismail,370,2152,TRUE,5.816216216,1793
3162,kitpoi,730,1369,TRUE,1.875342466,1548
3163,ruudylaah,56,1531,TRUE,27.33928571,5
3164,crystalwholesale.id,45,195,FALSE,4.333333333,0
3165,jiorei,36,214,TRUE,5.944444444,1355
3166,kexian_1017,155,142,TRUE,0.916129032,65
3167,ombresunrays,654,1102,FALSE,1.685015291,195
3168,eightkrystal,180,328,TRUE,1.822222222,13
3169,violetangsili,123,731,TRUE,5.943089431,77
3170,soekhoon,223,386,TRUE,1.730941704,6
3171,chezuyen,319,1353,TRUE,4.24137931,294
3172,_.chubbybunnie._,140,520,TRUE,3.714285714,1456
3173,bananasbaynanas,330,1188,TRUE,3.6,158
3174,mooniewoop,1485,7033,TRUE,4.736026936,0
3175,jill.ng.3,90,460,TRUE,5.111111111,144
3176,jasabellechai,347,935,TRUE,2.694524496,558
3177,starrystarry08,58,53,FALSE,0.913793103,0
3178,jjjenny.goh,363,1461,TRUE,4.024793388,125
3179,reisadouchebag,20,253,TRUE,12.65,0
3180,pris_yip,42,354,TRUE,8.428571429,447
3181,firewallbracelets,30,29,FALSE,0.966666667,7
3182,yenlizangz,124,189,TRUE,1.524193548,90
3183,cm_naf,265,3373,TRUE,12.72830189,137
3184,trios_win,141,164,FALSE,1.163120567,13
3185,spherikal,555,1399,TRUE,2.520720721,661
3186,sag_chiharu,210,750,TRUE,3.571428571,1735
3187,sprayboxxsg,172,97,FALSE,0.563953488,59
3188,che_2273,184,837,TRUE,4.548913043,558
3189,rgmmaha,301,805,TRUE,2.674418605,50
3190,heyzellll,908,609,TRUE,0.670704846,32
3191,sharmilalala,223,1162,TRUE,5.210762332,299
3192,elainewpf,152,821,TRUE,5.401315789,184
3193,sm0lbean__,20,354,TRUE,17.7,1327
3194,sabr0cks,1062,918,FALSE,0.86440678,173
3195,ri2992_,1,86,TRUE,86,0
3196,iamvaleriezhou,119,215,TRUE,1.806722689,233
3197,fiiexnoris,1595,4646,FALSE,2.912852665,911
3198,stptav,137,455,TRUE,3.321167883,554
3199,evillilac,27,328,TRUE,12.14814815,990
3200,jeankt_0729,135,332,TRUE,2.459259259,4062
3201,weiweisoh,346,828,TRUE,2.393063584,255
3202,shii,178,1554,TRUE,8.730337079,571
3203,gynnieanne,49,610,TRUE,12.44897959,133
3204,yvnkan,830,392,FALSE,0.472289157,1003
3205,praviinaa_,479,788,TRUE,1.645093946,41
3206,aloisiusmummy,174,396,TRUE,2.275862069,10
3207,eevansunny,58,139,TRUE,2.396551724,60
3208,happie.happie,15,21,FALSE,1.4,0
3209,mzcrystal_cathy,670,2710,FALSE,4.044776119,115
3210,natthyashamittra,1674,2477,TRUE,1.479689367,145
3211,nyshamhd,2330,2299,FALSE,0.986695279,1909
3212,silvermoon_crystals,261,112,FALSE,0.429118774,11
3213,bebe_ufo,937,5361,FALSE,5.721451441,26
3214,mseel_,410,1757,TRUE,4.285365854,1229
3215,melme_huiling,337,1975,TRUE,5.860534125,2306
3216,lsmyeo,241,886,TRUE,3.676348548,46
