,follower,no_of_followers,no_of_followees,is_private,ratio,no_of_posts
13000,hann_jinhan,275,607,TRUE,2.207272727,451
13001,ying_lenna,359,1230,FALSE,3.426183844,123
13002,hognerak20,59,168,FALSE,2.847457627,586
13003,cherry_arises,254,856,TRUE,3.37007874,499
13004,starlight_cakey,2,1002,TRUE,501,1
13005,_johnathantrz,15,1155,TRUE,77,4
13006,ahboy8132,0,48,TRUE,48,3
13007,floraldesignerfleuriflowers,333,858,FALSE,2.576576577,186
13008,marymeryln,130,439,TRUE,3.376923077,313
13009,angiekohannping,342,506,TRUE,1.479532164,9
13010,lusy_117,133,724,TRUE,5.443609023,5
13011,veron_sofie99,383,983,FALSE,2.566579634,1
13012,ferlin_jiaqi,110,412,TRUE,3.745454545,895
13013,jaymeeke,655,451,FALSE,0.688549618,309
13014,jantankerr,108,692,TRUE,6.407407407,389
13015,joangelx,240,1821,TRUE,7.5875,789
13016,vyennusvenus,566,458,TRUE,0.809187279,467
13017,axlcs,27,1010,TRUE,37.40740741,2457
13018,kelly.hjj,3064,539,FALSE,0.175913838,550
13019,michiem0o,530,3575,TRUE,6.745283019,1548
13020,hkianal,157,649,TRUE,4.133757962,35
13021,raynloh,114,166,TRUE,1.456140351,102
13022,joannxho,56,390,TRUE,6.964285714,453
13023,xy_1883,20,4978,TRUE,248.9,0
13024,koreamad,674,7502,TRUE,11.1305638,1609
13025,gracieeedarling,744,1175,TRUE,1.579301075,1075
13026,jiexin,137,794,TRUE,5.795620438,157
13027,thechewables_xa,573,1439,FALSE,2.511343805,261
13028,germainne,271,625,FALSE,2.306273063,241
13029,xchicflic,253,744,TRUE,2.940711462,477
13030,nailsbyfays,11,1423,TRUE,129.3636364,30
13031,dumb_dumb.xyz,28,212,TRUE,7.571428571,722
13032,applemoonstar,4913,1277,FALSE,0.259922654,1439
13033,dspf,61,947,TRUE,15.52459016,508
13034,teshbabes,623,2803,TRUE,4.499197432,1017
13035,iamraman.__.a,25,1147,TRUE,45.88,0
13036,_cy_ysl,160,979,TRUE,6.11875,174
13037,carolyntayhk,123,266,TRUE,2.162601626,11
13038,emo_ash_luke,225,293,TRUE,1.302222222,96
13039,moyz85,153,407,TRUE,2.660130719,311
13040,racheltws,29,1133,TRUE,39.06896552,159
13041,mrsb0b0,921,2076,FALSE,2.254071661,1541
13042,rchltnyh,355,476,TRUE,1.34084507,211
13043,soycesoozaa,323,752,TRUE,2.328173375,214
13044,jnvsue,33,680,TRUE,20.60606061,73
13045,_lynn.t_,999,1426,TRUE,1.427427427,1245
13046,bibik_sab1618,244,886,TRUE,3.631147541,625
13047,angelmiko,205,872,TRUE,4.253658537,9
13048,tamjiakduo,41,281,TRUE,6.853658537,2371
13049,yl.eats.full.full,429,3339,TRUE,7.783216783,957
13050,himynameisroot,8,4439,TRUE,554.875,30
13051,alan_crystal.wholesale,4389,7491,FALSE,1.706766917,334
13052,nghuichin,168,454,TRUE,2.702380952,889
13053,aryankhammgs,40,499,FALSE,12.475,14
13054,em.e.el,151,1034,TRUE,6.847682119,7
13055,_green.milktea,89,190,TRUE,2.134831461,415
13056,yvonneho91,82,423,TRUE,5.158536585,287
13057,jan_chms,242,541,FALSE,2.23553719,216
13058,weilingsih,125,777,TRUE,6.216,7
13059,jollyjoce13,202,2571,TRUE,12.72772277,1557
13060,marriedlyn,50,1878,TRUE,37.56,778
13061,ifu_ifurin,289,721,FALSE,2.494809689,329
