,follower,no_of_followers,no_of_followees,is_private,ratio,no_of_posts
500,ziedznko,85,1114,TRUE,13.10588235,46
501,shop_crystalagatestone,1754,4380,FALSE,2.497149373,905
502,pfchan_ingrace,32,253,FALSE,7.90625,23
503,joannescy,34,102,TRUE,3,0
504,audreynowonder,863,1003,TRUE,1.162224797,447
505,susantoogeoksuan,67,58,FALSE,0.865671642,1
506,geraldine.artz,230,1505,FALSE,6.543478261,88
507,bellasimiu,23,101,TRUE,4.391304348,57
508,chrissyhoeyy,281,702,TRUE,2.498220641,1344
509,prissy_wsl,72,115,FALSE,1.597222222,12
510,houjicha.aisu,299,813,FALSE,2.719063545,190
511,yanyan_asy,121,316,TRUE,2.611570248,25
512,_jnmt_,1020,1673,TRUE,1.640196078,9
513,saraqis38,58,1079,TRUE,18.60344828,97
514,sadunicorntears,220,1321,FALSE,6.004545455,2989
515,ajphotodiary,89,368,FALSE,4.134831461,21
516,junwinko,181,682,TRUE,3.767955801,151
517,shavonnekwok,69,54,FALSE,0.782608696,0
518,meexue,753,2328,TRUE,3.091633466,2164
519,paurline,64,384,TRUE,6,3
520,mekajikiislife,1145,1155,TRUE,1.008733624,1717
521,shannen_ngws,169,219,FALSE,1.295857988,18
522,rasyas12,127,228,TRUE,1.795275591,402
523,eveeleennt,133,632,TRUE,4.751879699,654
524,jy22thatsme,221,467,TRUE,2.113122172,179
525,jeanetteblaisebeauty,68,256,FALSE,3.764705882,144
526,the_hungry_alpaca,103,339,TRUE,3.291262136,241
527,mabelfeng,151,958,FALSE,6.344370861,152
528,candlesenses,49,85,FALSE,1.734693878,41
529,yukoler,105,310,TRUE,2.952380952,98
530,beaute__shine,2275,4498,FALSE,1.977142857,96
531,crystal_bees_,959,5255,FALSE,5.479666319,223
532,priya.rao2307,40,816,TRUE,20.4,4
533,tanahmin,206,860,TRUE,4.174757282,1626
534,su.leen.98,75,318,TRUE,4.24,40
535,hv.takenaka,842,837,FALSE,0.994061758,65
536,jocelynhee,93,501,TRUE,5.387096774,38
537,crystalbarbar1,902,6543,FALSE,7.253880266,443
538,same_llyyy,174,159,FALSE,0.913793103,23
539,iyayen,267,341,TRUE,1.277153558,227
540,love_chloec,92,815,TRUE,8.858695652,62
541,dancingbaby16,41,374,TRUE,9.12195122,135
542,curlypraby,310,602,TRUE,1.941935484,361
543,ambs.chuuu,675,1030,TRUE,1.525925926,65
544,dap_tay17,84,410,TRUE,4.880952381,1558
545,jenkwek1314,442,468,TRUE,1.058823529,238
546,cloe.esterjen26,846,969,TRUE,1.145390071,433
547,areumy_7,44,1837,TRUE,41.75,0
548,happyhuiz,239,676,FALSE,2.828451883,269
549,sophianej,311,379,TRUE,1.218649518,577
550,tex_gemcrystals,171,1416,TRUE,8.280701754,99
551,chung__lee301,429,3737,TRUE,8.710955711,6
552,jammie_mjy,26,581,TRUE,22.34615385,0
553,linaasya014,316,3365,TRUE,10.64873418,494
554,peiyitwinkle,74,775,TRUE,10.47297297,108
555,shhspamz,30,984,TRUE,32.8,1801
556,cherieeesl,288,708,TRUE,2.458333333,213
557,hermanyeocz,666,957,TRUE,1.436936937,98
558,sal4d,1047,618,TRUE,0.59025788,135
559,avaaaa_nnnn,16,58,TRUE,3.625,0
560,maya.lloyd.balingit,398,863,TRUE,2.168341709,1550
561,nickieseoh,339,516,TRUE,1.522123894,173
562,myookho,21,7,FALSE,0.333333333,0
563,xiayurain85,181,599,TRUE,3.309392265,95
564,gimmecrystalspls,149,104,FALSE,0.697986577,0
565,florencelee698,22,40,FALSE,1.818181818,2
566,nadiareezaljrmshahalam,3116,1877,FALSE,0.60237484,4140
567,fel_felicia,1128,678,TRUE,0.60106383,105
568,treeciaaa_,2,11,TRUE,5.5,208
569,kath.lynomeraki,116,617,TRUE,5.318965517,1442
570,crystal_muhlis,1095,5622,FALSE,5.134246575,518
571,liqis,454,843,TRUE,1.856828194,228
572,jessiie3277,18,165,TRUE,9.166666667,104
573,julessyay,22,198,TRUE,9,0
574,kryn.0_0,13,62,TRUE,4.769230769,0
575,rose_ibrahim179,27,379,TRUE,14.03703704,76
576,lai_yvonne,138,357,FALSE,2.586956522,1
577,crystal_rinsanity,62,186,FALSE,3,0
578,anneffendi,1106,2705,FALSE,2.445750452,1186
579,jenistar6,202,610,TRUE,3.01980198,156
580,lingcalligraphy,481,454,FALSE,0.943866944,1073
581,syalynn,904,2734,TRUE,3.024336283,3419
582,rosyblu,120,1999,TRUE,16.65833333,13
583,ahpingahhh,450,544,TRUE,1.208888889,145
584,haezmogloblin,1106,704,FALSE,0.636528029,131
585,fiqa_said,297,2029,TRUE,6.831649832,66
586,missiejo,513,1178,TRUE,2.296296296,437
587,mainellee,127,430,TRUE,3.385826772,73
588,shirley20182018,30,112,FALSE,3.733333333,0
589,jozkatz,1243,791,TRUE,0.636363636,263
590,pearkhoo,140,303,TRUE,2.164285714,265
591,tyiteng,216,1188,TRUE,5.5,78
592,brenlinjinting,342,1989,TRUE,5.815789474,1290
593,nisaahm,350,2452,TRUE,7.005714286,328
594,yumekui_momo,1301,2277,FALSE,1.75019216,597
595,memowhy_,588,815,TRUE,1.386054422,1313
596,marvelous1294,26,82,FALSE,3.153846154,3
597,s_inalah,569,1586,TRUE,2.787346221,90
598,na_tasya_anna,219,465,TRUE,2.123287671,128
599,jancheah_ly,65,165,TRUE,2.538461538,0
600,syazwaneeeadnan,761,1928,TRUE,2.533508541,205
601,nur_sahiddah,117,1345,TRUE,11.4957265,726
602,_.mairahhhh,449,438,TRUE,0.975501114,0
603,elysian_lunette,16,10,FALSE,0.625,6
604,tiaxrahman,249,3900,TRUE,15.6626506,26
605,xisforextra,25,747,TRUE,29.88,1341
606,crystal_yupp,1143,617,FALSE,0.539807524,1009
607,inmindpalace,18,758,TRUE,42.11111111,134
608,petal_bud,90,759,TRUE,8.433333333,26
609,thegemsalley,225,75,FALSE,0.333333333,78
610,janel_eekim,8,131,TRUE,16.375,1
611,purpurme,151,1037,TRUE,6.867549669,198
612,ppohhh,116,177,TRUE,1.525862069,25
613,mayho.sg,521,818,FALSE,1.570057582,96
614,leah.m.hudson,47,1001,TRUE,21.29787234,386
615,funnyying,289,609,TRUE,2.107266436,96
616,meichion,139,225,TRUE,1.618705036,690
617,naygyiwin,436,483,TRUE,1.107798165,64
618,peisi_goh,8,97,TRUE,12.125,12
619,leejoannex,144,282,FALSE,1.958333333,234
620,___jasmineeeee___,214,372,TRUE,1.738317757,151
621,rainlovexx,163,3455,TRUE,21.19631902,2330
622,weilin.chew,207,393,TRUE,1.898550725,377
623,leeza_rahman,566,1958,TRUE,3.459363958,27
624,nina_nas09,1635,3436,TRUE,2.101529052,6
625,bluetoucan87,70,254,TRUE,3.628571429,422
626,prisstan,3330,2530,TRUE,0.75975976,1871
627,rusilahshiella,161,216,FALSE,1.341614907,73
628,liltiggie,179,918,TRUE,5.12849162,0
629,khar_suan,22,1326,TRUE,60.27272727,1
630,o.jiayi,55,582,TRUE,10.58181818,4
