,follower,no_of_followers,no_of_followees,is_private,ratio,no_of_posts
6100,whygreymuse,37,170,TRUE,4.594594595,65
6101,ahjuu,8,328,TRUE,41,413
6102,ahtina,1723,6953,FALSE,4.035403366,187
6103,rainbownshines,64,611,TRUE,9.546875,27
6104,thsuperhero,575,1062,TRUE,1.846956522,730
6105,yang_liqin,60,352,TRUE,5.866666667,13
6106,alin09,381,658,TRUE,1.727034121,1424
6107,dhana7614,299,1785,TRUE,5.969899666,36
6108,styh2001,1294,2164,TRUE,1.672333849,1749
6109,lemonetnoir,275,1711,TRUE,6.221818182,516
6110,michxo,9,44,TRUE,4.888888889,1
6111,xuelijasmine,281,305,TRUE,1.085409253,524
6112,serene0701,247,920,TRUE,3.724696356,142
6113,xxsterx,142,184,TRUE,1.295774648,101
6114,berriesfanatic,14,1045,TRUE,74.64285714,167
6115,stillafadedpolaroid,701,5379,FALSE,7.673323823,17
6116,naturecrusader,326,4348,FALSE,13.33742331,13
6117,silentresonance,957,5645,FALSE,5.898641588,349
6118,samanthaaaha,279,995,TRUE,3.566308244,99
6119,ilyzelotes,22,683,TRUE,31.04545455,1089
6120,leetalisa_,124,606,TRUE,4.887096774,971
6121,ngoolingsiew,274,408,FALSE,1.489051095,1054
6122,feliciaa88_,188,948,FALSE,5.042553191,58
6123,zoe.tee.12,250,511,TRUE,2.044,316
6124,pandalalababy,4,257,TRUE,64.25,29
6125,tdriscilla,171,1517,FALSE,8.871345029,2
6126,jo._justjo,159,169,FALSE,1.062893082,6
6127,jan201842,253,616,FALSE,2.434782609,366
6128,twlyvonne,87,136,TRUE,1.563218391,551
6129,eatgoodfoodonly,51,708,FALSE,13.88235294,192
6130,alyxy02,32,159,TRUE,4.96875,0
6131,jessieendless,142,278,TRUE,1.957746479,5
6132,maureentsy,504,429,TRUE,0.851190476,193
6133,itscharmian,1994,2066,FALSE,1.036108325,161
6134,ann_o8o9,266,353,TRUE,1.327067669,142
6135,lynnchanmeow,433,1255,FALSE,2.898383372,2
6136,serene135,105,159,TRUE,1.514285714,225
6137,reneebrayden,22,132,TRUE,6,5
6138,rainysoul,319,647,TRUE,2.028213166,200
6139,snadia97,259,540,TRUE,2.084942085,41
6140,irenelkc,84,164,TRUE,1.952380952,179
6141,haryatijumahat,496,7493,TRUE,15.10685484,200
6142,keepsmiling0kay,53,974,TRUE,18.37735849,58
6143,izah101,371,5575,TRUE,15.02695418,630
6144,lee24jan,25,176,TRUE,7.04,338
6145,kahhweetan,141,279,TRUE,1.978723404,0
6146,trashybaby.xc,13,463,TRUE,35.61538462,1735
6147,nguyentamvan,73,103,TRUE,1.410958904,40
6148,joycelosophy,1036,473,TRUE,0.456563707,119
6149,dodoyong,98,1643,TRUE,16.76530612,0
6150,emma_cong2018,4,170,TRUE,42.5,3
6151,sherene_lee_,10,203,TRUE,20.3,0
6152,nanahuhn,151,328,TRUE,2.17218543,97
6153,payday_every_day,335,542,FALSE,1.617910448,842
6154,thl_lht_258,283,280,TRUE,0.989399293,572
6155,ariielx3,75,260,TRUE,3.466666667,836
6156,bessng852,53,870,FALSE,16.41509434,2
6157,euooodiaaa,340,731,TRUE,2.15,1095
6158,lijunnt,151,291,TRUE,1.927152318,456
6159,saranyaa_sn,208,1100,TRUE,5.288461538,98
6160,jojiegeorgia,288,460,TRUE,1.597222222,201
6161,pei.peic,274,458,FALSE,1.671532847,32
6162,sharonyeo84,68,440,TRUE,6.470588235,84
6163,juleneang,11301,1314,FALSE,0.116272896,1300
6164,graciaaong,1342,572,FALSE,0.426229508,230
6165,xoxopavangillxoxo,827,2524,TRUE,3.051995163,4795
6166,lhdop,46,316,TRUE,6.869565217,736
6167,lokegrace,139,338,FALSE,2.431654676,10
6168,wynniedapoohh,35,1114,TRUE,31.82857143,2152
6169,tatianachoo,371,617,TRUE,1.663072776,90
6170,veronicalimpeiyee,319,441,TRUE,1.382445141,144
6171,haney.black.rose,567,1609,TRUE,2.837742504,1631
6172,jltan20,167,574,TRUE,3.437125749,330
6173,zelda__v,343,1826,FALSE,5.32361516,0
6174,meg271265,113,3323,FALSE,29.40707965,8
6175,ms.arrivederci,225,675,TRUE,3,1
6176,corinchua,149,211,FALSE,1.416107383,1330
6177,audreytkw79,85,180,TRUE,2.117647059,33
6178,xping86,352,1161,TRUE,3.298295455,270
6179,gweniph,339,653,TRUE,1.926253687,777
6180,ksllrro,317,571,FALSE,1.80126183,1237
6181,bakery.11,9,539,TRUE,59.88888889,0
6182,leora_kyaw,133,453,FALSE,3.406015038,13
6183,tulipjoy,8,29,TRUE,3.625,0
6184,erica3232,68,745,TRUE,10.95588235,10
6185,julyhott,105,452,FALSE,4.304761905,0
6186,ellebxsh,4755,752,TRUE,0.158149317,95
6187,rolsquare,195,553,TRUE,2.835897436,75
6188,46psalm10,34,109,TRUE,3.205882353,2
6189,dramamama00,0,92,TRUE,92,0
6190,lynnfaith17,199,1602,FALSE,8.050251256,0
6191,aloekc,114,178,TRUE,1.561403509,15
6192,angeline_ow,216,281,TRUE,1.300925926,106
6193,lynlooloo,286,364,FALSE,1.272727273,158
6194,a.pplec,198,190,TRUE,0.95959596,186
6195,candyhomx,328,418,TRUE,1.274390244,1868
6196,fashionablyeclectic,1088,1274,TRUE,1.170955882,388
6197,nero_zean27,1248,4848,FALSE,3.884615385,363
6198,cheong_joyce,54,800,TRUE,14.81481481,7
6199,sam_momo_chan,164,322,FALSE,1.963414634,44
6200,erinangsf,274,1331,TRUE,4.857664234,2764
6201,chewadinner,39,569,TRUE,14.58974359,1000
6202,ixahnengxi,918,1607,TRUE,1.750544662,1359
6203,joeysee_,285,376,TRUE,1.319298246,480
6204,sharlomberry,0,1153,TRUE,1153,0
6205,xxicarrieee,158,245,TRUE,1.550632911,72
6206,ct_2309,207,708,TRUE,3.420289855,1995
6207,carolinekana,732,2370,TRUE,3.237704918,1142
6208,jdon1990_w,41,1684,TRUE,41.07317073,3
6209,jueytha,485,1632,TRUE,3.364948454,530
6210,ling74ling,92,94,TRUE,1.02173913,4
6211,xsheilinax,209,560,TRUE,2.679425837,827
6212,starxdreamzone,67,88,FALSE,1.313432836,82
6213,hanamashimoto,319,561,TRUE,1.75862069,234
6214,shxnnxnzz._,380,1486,TRUE,3.910526316,23
6215,mrsdaphloy,102,276,TRUE,2.705882353,86
6216,_.mrs_abby._,81,366,TRUE,4.518518519,21
6217,sherry_awie,297,508,TRUE,1.71043771,870
6218,t_sujunn,367,394,TRUE,1.073569482,49
6219,joannekhern83,252,354,FALSE,1.404761905,46
6220,nikkole07,381,2256,TRUE,5.921259843,895
6221,_lyrehx,307,759,FALSE,2.472312704,0
6222,shirleyybt,48,198,TRUE,4.125,7
6223,catherine_cath,386,464,TRUE,1.202072539,681
6224,moomoo1987,174,519,TRUE,2.982758621,428
6225,yupyn,226,532,TRUE,2.353982301,227
6226,livininalohafantasy,165,1397,TRUE,8.466666667,75
6227,mamaaisyah1981,1108,2747,FALSE,2.479241877,1459
6228,s.o.p.h.i.a.l.i.m,282,682,TRUE,2.418439716,443
6229,oompapok,311,7500,FALSE,24.11575563,0
6230,stellaafoo,811,1911,TRUE,2.356350185,103
6231,sawmengcarmen,273,346,FALSE,1.267399267,92
6232,nadiahahax,373,866,FALSE,2.321715818,266
6233,pry.on.rere,30,470,TRUE,15.66666667,255
6234,wyen.888,149,1686,TRUE,11.31543624,2960
6235,hiimsh3,7,497,TRUE,71,144
6236,jing_blusher,34,208,TRUE,6.117647059,28
6237,esm3g41,101,462,TRUE,4.574257426,169
6238,kellyl_3686,113,394,TRUE,3.486725664,2577
6239,hweetoot,279,611,TRUE,2.189964158,615
6240,hellomahjongco,691,4291,FALSE,6.20984081,157
6241,chellazhairie,340,771,TRUE,2.267647059,1038
6242,angelsmilez,122,365,TRUE,2.991803279,2112
6243,lummyxm,545,2088,TRUE,3.831192661,183
6244,wanieo,484,2486,TRUE,5.136363636,100
6245,angiewee0623,18,84,TRUE,4.666666667,1
6246,hyda902,26,181,TRUE,6.961538462,222
6247,thala1028,172,641,TRUE,3.726744186,102
6248,meow6464,31,24,FALSE,0.774193548,0
6249,sihualim,159,834,TRUE,5.245283019,1176
6250,sqstnashfq,471,1895,FALSE,4.023354565,2
6251,justmintea,1221,1065,TRUE,0.872235872,103
6252,amahoebo,31,1447,TRUE,46.67741935,1425
6253,shin_ee_k,47,183,TRUE,3.893617021,56
6254,comfortchomper,1072,505,FALSE,0.47108209,93
6255,zeindecano,1049,1056,FALSE,1.006673022,1362
6256,joangml,6,84,TRUE,14,3
6257,winniexyz,338,272,TRUE,0.804733728,277
6258,vijayasri_sekar,479,4800,TRUE,10.02087683,228
6259,the.fayes,1134,52,FALSE,0.045855379,104
6260,k3mmchi,57,129,TRUE,2.263157895,260
6261,eunwhat,57,129,TRUE,2.263157895,260
6262,jazryokay,903,7500,FALSE,8.305647841,1182
6263,nak3db33r,647,2225,TRUE,3.438948995,329
6264,mingzhu88,82,136,TRUE,1.658536585,33
6265,penny.pupp,4,2800,TRUE,700,0
6266,ogjess.wlx,1631,898,FALSE,0.550582465,525
6267,angel.lyn23,198,760,FALSE,3.838383838,56
6268,ivyjongsc8399,694,1172,TRUE,1.688760807,306
6269,nordianaabdulrazzak,258,439,TRUE,1.701550388,53
6270,michellecmq,237,553,TRUE,2.333333333,116
6271,the3donuts,611,2795,TRUE,4.574468085,1663
6272,anniesye,135,285,TRUE,2.111111111,19
6273,notin_june,243,291,TRUE,1.197530864,379
6274,ksloves1011,61,5624,TRUE,92.19672131,968
6275,siewching11,56,244,TRUE,4.357142857,2809
6276,fatimahyusoff67,9,112,TRUE,12.44444444,688
6277,alice12lai,8,23,TRUE,2.875,3
6278,hayma_subash,126,278,TRUE,2.206349206,135
6279,jennysiah84,413,319,TRUE,0.772397094,206
6280,xelainetanx,617,5100,TRUE,8.265802269,2113
6281,shahrinaa,337,1554,TRUE,4.611275964,342
6282,connectatchris,171,407,TRUE,2.380116959,222
6283,sssuuummmeeeeiiiii,184,506,TRUE,2.75,13
6284,peipei_santricial,421,809,FALSE,1.921615202,235
6285,tinaazman,413,1380,TRUE,3.341404358,0
6286,queenie0909,124,872,TRUE,7.032258065,71
6287,pretzelsmugs,16,442,TRUE,27.625,420
6288,rahma_nadh11,1216,1113,FALSE,0.915296053,16
6289,alicehanis,196,633,FALSE,3.229591837,0
6290,rai_chom,434,514,TRUE,1.184331797,618
6291,shannymiumiu,342,3224,TRUE,9.426900585,138
6292,denise____0908,1161,1595,TRUE,1.373815676,154
6293,jaz7899,15,491,TRUE,32.73333333,0
6294,_jottedj_,1027,729,FALSE,0.709834469,1318
6295,michelle_aqy,248,296,FALSE,1.193548387,61
6296,boggusswee,128,310,TRUE,2.421875,12
6297,freeyoursoul96,393,455,TRUE,1.157760814,72
6298,iamlilinang,65,126,TRUE,1.938461538,41
6299,dhansuri,129,484,TRUE,3.751937984,562
6300,teresatan_,815,1004,TRUE,1.23190184,320
6301,wee_nie_wee,204,1021,TRUE,5.004901961,1863
6302,amandalauyl,139,621,TRUE,4.467625899,156
6303,withlovecaramel,1088,1713,FALSE,1.574448529,1269
6304,muhdluqman.abdulrahman,85,637,FALSE,7.494117647,0
6305,antheare,497,487,TRUE,0.979879276,0
6306,shopaholicleen,258,750,TRUE,2.906976744,24
6307,xxjooeeyxx,410,479,TRUE,1.168292683,915
6308,woodenpiggy,82,793,TRUE,9.670731707,205
6309,beib3i,381,806,TRUE,2.115485564,319
6310,chenbaoling,42,2611,TRUE,62.16666667,1
6311,bellyscoop,243,423,FALSE,1.740740741,142
6312,sweetstarry,143,811,TRUE,5.671328671,7
6313,evoncheng,335,1182,TRUE,3.528358209,304
6314,bella_bella_crochet,277,938,TRUE,3.386281588,0
6315,yangsen_carolyn,907,1876,FALSE,2.068357222,1495
6316,c0zyz,75,189,TRUE,2.52,91
6317,jewelrystoner,319,1787,FALSE,5.601880878,175
6318,za.ra5611,172,954,FALSE,5.546511628,1
6319,swiithearts,1928,958,FALSE,0.496887967,3312
6320,kiewtieee,1654,6962,TRUE,4.209189843,2201
