,follower,no_of_followers,no_of_followees,is_private,ratio,no_of_posts
4200,kiuyanism,892,995,TRUE,1.115470852,1778
4201,xxzhilingxx,1047,3698,TRUE,3.53199618,78
4202,me0wsniff_,1335,1201,FALSE,0.899625468,244
4203,sylng88,1264,7493,TRUE,5.928006329,2170
4204,ailynette_,131,756,TRUE,5.770992366,215
4205,carol_cakie,169,361,FALSE,2.136094675,136
4206,iamappleloh,864,899,TRUE,1.040509259,971
4207,kirankaute,260,6988,TRUE,26.87692308,29
4208,mishdawn,96,471,TRUE,4.90625,2424
4209,j0scelin,191,1523,TRUE,7.97382199,815
4210,onerustyscrew,205,1531,TRUE,7.468292683,1585
4211,xu_031100,18,244,TRUE,13.55555556,732
4212,evangeline90,1369,3099,FALSE,2.263696129,93
4213,clare0092,370,7497,TRUE,20.26216216,1564
4214,mrs_haili,334,964,TRUE,2.886227545,6
4215,_jessica_oh,708,1723,TRUE,2.433615819,806
4216,smileyivy26,217,605,TRUE,2.788018433,387
4217,zalandfir,29,438,FALSE,15.10344828,566
4218,greyishbox,357,1086,TRUE,3.042016807,592
4219,gracelim410,250,812,FALSE,3.248,163
4220,tansijie,310,1331,TRUE,4.293548387,736
4221,karenxy,437,754,TRUE,1.725400458,372
4222,sherlynn.xl,156,698,TRUE,4.474358974,398
4223,ana_az,482,1202,FALSE,2.493775934,1293
4224,suekwong,738,2670,FALSE,3.617886179,857
4225,sheerryyll,305,1029,TRUE,3.373770492,560
4226,cherylberylla,344,541,FALSE,1.572674419,950
4227,vivienteehee,466,3086,TRUE,6.622317597,1237
4228,pandaping,444,412,FALSE,0.927927928,193
4229,kailielly,538,1758,TRUE,3.267657993,690
4230,purpearld,180,945,TRUE,5.25,29
4231,angelyn_prisca,1678,1971,FALSE,1.174612634,1500
4232,chloe.yh,58,229,TRUE,3.948275862,0
4233,redvelvetcheesefrostings,304,1374,FALSE,4.519736842,269
4234,sweetzmemories,270,1214,TRUE,4.496296296,202
4235,sandywxy,849,839,FALSE,0.988221437,1066
4236,charmaine.alita,1372,1198,FALSE,0.873177843,106
4237,charmainekhuah,3040,2237,FALSE,0.735855263,1187
4238,stephhhie,706,1092,TRUE,1.54674221,599
4239,yang_shujuan,819,780,TRUE,0.952380952,1072
4240,alyshaaaaa.shaz,3,369,TRUE,123,6
4241,the.magic.pumpkin,3787,758,FALSE,0.200158437,440
4242,lostsummer14,0,715,TRUE,715,89
4243,makingtrouble_aus,1068,2209,FALSE,2.06835206,420
4244,lyniewynie,0,1544,TRUE,1544,0
4245,onegrainofsandd,632,1756,TRUE,2.778481013,2499
4246,iolitebroom,256,357,FALSE,1.39453125,12
4247,claylabsg,3916,386,FALSE,0.098569969,96
4248,heyshannonlim,1137,2073,TRUE,1.823218997,610
4249,silolololoso,761,1356,TRUE,1.781865966,972
4250,pinkksmurf,20,1568,TRUE,78.4,4
4251,pinkrosycheeks,15,663,TRUE,44.2,10
4252,megan_amethyst,322,752,FALSE,2.335403727,120
4253,ednalmy,1228,3745,FALSE,3.049674267,535
4254,y_yingqiannn,1324,3704,TRUE,2.797583082,62
4255,thepetitedaydreamer,878,849,FALSE,0.966970387,669
4256,lylylylylylylylylyly,120,405,TRUE,3.375,1394
4257,misschrissie_lens,46,546,TRUE,11.86956522,1097
4258,carrotnumbertwo,46,543,TRUE,11.80434783,541
4259,kellyang,105,596,TRUE,5.676190476,287
