,follower,no_of_followers,no_of_followees,is_private,ratio,no_of_posts
270,essy_tian,100,258,True,2.58,0
271,samlolulz,8,272,True,34.0,2343
272,archanadubey1985,530,1674,False,3.158490566037736,2355
273,tingxzxz,0,1643,True,1643.0,0
274,jvlucifer,79,752,True,9.518987341772151,170
275,gemssmaker,71,1909,True,26.887323943661972,0
276,paulinseah,245,855,True,3.489795918367347,436
277,lauren__xu,118,3439,True,29.14406779661017,6
278,annieng_85,911,1431,False,1.570801317233809,1106
279,sharon_lhl,49,388,True,7.918367346938775,277
280,shimzsalazar,255,824,True,3.231372549019608,679
281,nanxcee,70,277,True,3.9571428571428573,22
282,___xoos,926,141,True,0.15226781857451405,149
283,norasiska_siska,1414,5267,False,3.7248939179632248,21
284,cping0310,574,2528,False,4.40418118466899,7
285,jocelyn0114,986,1185,True,1.2018255578093306,121
286,ngmich,42,118,True,2.8095238095238093,54
287,tinaneo87,204,373,True,1.8284313725490196,237
288,preciousjewel,294,396,True,1.346938775510204,1008
289,yunirinayiyikri,117,2610,True,22.307692307692307,2592
290,joanlim2801,121,171,False,1.4132231404958677,0
291,aishashawal,121,171,False,1.4132231404958677,0
292,chienguine,57,344,True,6.035087719298246,174
293,dala_palapala,40,423,True,10.575,27
294,kady_siow,273,246,False,0.9010989010989011,314
295,jialinggal,581,942,True,1.621342512908778,337
296,jlyris,238,642,True,2.697478991596639,286
297,iamconnieblackieho,374,416,False,1.1122994652406417,1946
298,joey.sanz,72,290,True,4.027777777777778,8
299,pixpixpx,61,268,True,4.39344262295082,0
