,index,date,caption,comments,likes
10,10,2022-03-15 00:39:33,"📣📣📣 We are open, and you are invited! After a long few weeks of moving, we are excited to finally be able to serve you at our new location. 🎉🎉🎉

📢📢 To celebrate our grand opening, we are extending some very exciting promos to you! 

Register with us now to enjoy free registration! Applies to the 𝐟𝐢𝐫𝐬𝐭 𝟐𝟎 𝐩𝐚𝐱 𝐨𝐧𝐥𝐲. 

Gemstory Grand Opening Day-Special Talk by Glenn 

𝐃𝐚𝐭𝐞: 𝟏𝟗𝐭𝐡 𝐌𝐚𝐫𝐜𝐡 𝟐𝟎𝟐𝟐 (𝐒𝐚𝐭) 
𝐕𝐞𝐧𝐮𝐞: 𝐁𝐫𝐚𝐬 𝐁𝐚𝐬𝐚𝐡 𝐂𝐨𝐦𝐩𝐥𝐞𝐱, #𝟎𝟐-𝟎𝟓 
𝐓𝐢𝐦𝐞: 𝟏𝟏𝐚𝐦 (𝐫𝐞𝐠𝐢𝐬𝐭𝐫𝐚𝐭𝐢𝐨𝐧 𝐬𝐭𝐚𝐫𝐭𝐬 𝐚𝐭 𝟏𝟎.𝟑𝟎𝐚𝐦) 

Swipe for more info! 👉👉

⭕️⭕️ 𝙍𝙚𝙜𝙞𝙨𝙩𝙚𝙧 𝙝𝙚𝙧𝙚: 👇👇

https://bit.ly/3ib9JlH

𝙁𝙤𝙧 𝙄𝙂 𝙖𝙘𝙘𝙚𝙨𝙨 𝙧𝙚𝙜𝙞𝙨𝙩𝙧𝙖𝙩𝙞𝙤𝙣 𝙡𝙞𝙣𝙠 𝙖𝙫𝙖𝙞𝙡𝙖𝙗𝙡𝙚 𝙖𝙩 𝘽𝙄𝙊 𝙋𝘼𝙂𝙀 🔆▶️

Let the good times roll. Be sure to stop by, we can’t wait to see you at #02-05! 🎉🥂",2,26
11,11,2022-03-11 01:47:27,"SHINE LIKE A GEM!

Everyone of us is a PRECIOUS GEM to our family and love ones!

Treasure this energy around and Choose LOVE!

Believe in the power within...

#gemstory #gemstorysg #gemstoryasia #gemstoryboutique #gemstorybrasbasah #gemstorybrasbasahcomplex #thepowerofcrystals #believeinthepowerwithin #wordofwisdom #positiveenergy #positivevibes #newspace #newsanctuary #0205 #shinelikeagem #chooselove #youareapreciousgem",0,36
12,12,2022-03-09 09:46:30,"📢📢 Visit us and check out our new sanctuary at #02-05 Bras Basah Complex!

📣📣 RSVP for our upcoming opening launch events coming 13 & 19 March to visit our new space! 

PM us or whatsapp us for more enquiries. ❤

#gemstory #gemstorysg #gemstoryasia #gemstoryboutique #gemstorybrasbasah #gemstorybrasbasahcomplex #thepowerofcrystals #believeinthepowerwithin #wordofwisdom #positiveenergy #positivevibes #newhome #newsanctuary #wehavemoved #brasbasah0205 #newopening #weareback #rsvp",0,52
13,13,2022-03-09 05:26:21,"📢📢 We are back in action again after a whole week of hectic shift from our old store at level one.

📣📣🎉🎉 We are proud to showcase our brand new sanctuary to all in our upcoming sneak preview opening on 13 March 2022 (exclusive for Gembuddy members) and our official opening on 19 March 2022.

🌈 Check out our new store this week as we prepare to greet all of you with a brand new refreshed energy from all of us. 

Seeya around. ❤

#gemstory #gemstorysg #gemstoryasia #gemstoryboutique #gemstorybrasbasah #gemstorybrasbasahcomplex #thepowerofcrystals #believeinthepowerwithin #wordofwisdom #positiveenergy #positivevibes #newsanctuary #weareopened #visitus #previewopening #gembuddy #0205 #happystore #blessedopening",0,53
14,14,2022-03-07 23:41:59,"📣📣 We are almost ready! Looking forward to see you in our brand new home! 

Drop-by our new sanctuary to take a peep and say hi when you are around Bras Basah Complex. 🎉🎉

📢📢 We are now located at #02-05 above Singpost facing National Library! (Level 2 escalator, turned right beside Korean Restaurant and Hainan Business Chamber!

Stay tuned for our preview opening invitation to all our Gembuddy Members! ❤

Seeya around! 👋👋

#gemstory #gemstorysg #gemstoryasia #gemstoryboutique #gemstorybrasbasah #gemstorybrasbasahcomplex #thepowerofcrystals #believeinthepowerwithin #wordofwisdom #positiveenergy #positivevibes #newhome #newsanctuary #wehavemoved",0,25
15,15,2022-03-02 05:11:26,"📢📢 Closing a chapter and the beginning of exciting journey ahead... looking forward to meet everyone in our new sanctuary soon. ❤☀️

Great things are UP ahead! 

Goodbye to #01-73! Hello to #02-05! 🎉🥂😇",0,69
16,16,2022-03-01 00:29:11,"𝐋𝐚𝐭𝐞𝐬𝐭 𝐔𝐩𝐝𝐚𝐭𝐞𝐬 📣📣 

Happy week ahead folks! 🌄

📢📢 Our store re-opening will be delayed till 𝟔 𝐌𝐚𝐫𝐜𝐡 𝟐𝟎𝟐𝟐! We are working double hard to prepare and re-creating our CRYSTAL SANCTUARY for all!

Stay tuned for more of our upcoming 13 𝙈𝘼𝙍𝘾𝙃 𝙂𝙍𝘼𝙉𝘿 𝙊𝙋𝙀𝙉𝙄𝙉𝙂 🎉🎉🥂🥂 updates! 

#gemstory #gemstorysg #gemstoryasia #gemstoryboutique #gemstorybrasbasah #gemstorybrasbasahcomplex #thepowerofcrystals #believeinthepowerwithin #wordofwisdom #positiveenergy #positivevibes #openingupdates #reopeningsoon #movingup
#newsanctuary #shinelikeagem",0,25
17,17,2022-02-28 13:45:37,"📣📣 Time to bid goodbye again 👋👋... 

Looking forward to our next New Sanctuary.... it had been a good fruitful 2 years of transformation and growth at our current space! 🎉

Thank you for everything! ❤ 

Keep growing, keep shining! ☀️☀️

Believe in the power within... 💪🌈",18,113
18,18,2022-02-22 00:46:36,"Happy Tuesday 22 2 22 (2) to all! ❤😇

Stay blessed, positive and united!🌈🌈

A memorable date to remember today! 

📣📣Counting down to 6 days before our moving out! 

The Numerology number 2 is known to numerologists as a supremely feminine force, one that represents both grace and power. It is cooperative, always aiming to bring peace and balance back to a relationship or situation. ☀️☀️

This Numerology number is also very sensitive -- of all the numbers, it has the strongest intuition. It is able to sense currents and feelings instinctively, then use these clues to connect with others empathically.♥️

At its very core the 2 in Numerology represents partnerships -- the coming together or balancing of two individual people, concepts, or things. 💞💞

While it holds great power over any situation, it wields it with such diplomacy and tact that the result is not control and authority, but harmony and teamwork. It is a mediator, able to see two sides of a situation in an unbiased way and guide others down the middle road.",0,19
19,19,2022-02-20 05:15:38,"Happy Sunday folks! 📣📣📣

One more week to moving out! We are so excited about our upcoming new space. We are almost ready for moving out next week. 🎉🎉🎉

We will be closed from 28 Feb to 3 Mar 2022 for packing and moving to our new space. Do take note of our operating hours. 📢📢📢

Our moving up sale is still on and we have gotten a lot of support and response from our customers last 2 weeks.

Thank you all for your support and being part of our growing journey all these years! 🙏😇

See you around in March in our brand new store! 

Stay Happy and blessed always! ❤❤❤

Glenn",0,15
