Day of Week,Hour of Day,commentCount,likeCount
Wednesday,0,258.0,133.0
Saturday,19,236.0,118.0
Saturday,12,178.0,65.0
Saturday,2,67.0,33.0
Saturday,4,64.0,125.0
Monday,15,46.0,48.0
Tuesday,0,24.0,16.0
Monday,10,1.0,32.0
Saturday,3,0.0,6.0
Tuesday,9,0.0,12.0
Wednesday,7,0.0,16.0
