,postUrl,profileUrl,username,fullName,commentCount,likeCount,pubDate,description,imgUrl,postId,ownerId,type,query,timestamp,location,isSidecar,sidecarMedias,videoUrl,viewCount,clean_description,clean_tokens
0,https://www.instagram.com/p/CbKYWL8AuAF/,https://www.instagram.com/leassteinwelt,leassteinwelt,💎Kristall Paradies💎,9,501,2022-03-16T10:58:16.000Z,"Wir haben schon die letzten Tage super fleißig daran gearbeitet den Mega Restock vorzubereiten🔥
es wird diesmal über 1000 neue Artikel geben von Kugeln bis zu Türmen, Clustern, Teelicht Haltern, Rostücken, Ohrringen, Kettenanhängern, Handsteinen, Figuren, XXL Kristallen, Schalen und Flaschen, Räucherwerk und viel mehr😍😍

Das Shop Update findet am Sonntag um 18:00 Uhr statt und ich möchte noch mal darauf hinweisen dass es vermutlich ziemlich stark besucht sein wird und dass ihr gerne mehrfach bestellen dürft um eure Lieblingsstücke zu sichern❤️ Der Warenkorb kann jederzeit von jemand anderen Weg gekauft werden da man leider bei dem Webseiten Anbieter nicht denWarenkorb reservieren kann😭❤️

Wenn ihr mehrfach bestellt ist es auch nicht schlimm wenn ihr das „mehrfach bestell“ vergesst denn wir tragen eh jeden einzelnen Namen in unsere Suchmaschine ein und schauen ob die Person mehrmals bestellt hat❤️
Bitte überlegt euch vor dem Kauf genau ob ihr den Kristall haben wollt und ob ihr ihn auch bezahlen könnt.
Es ist immer sehr unschön für uns wenn 5 Minuten nach der Bestellung wieder eine Stornierung rein kommt❤️
es wird wieder eine Kategorie nur für die B Ware geben und auch Kristall Eier für Ostern❤️
Wir freuen uns schon sehr auf das Update und bedanken uns für alle euren Support

#kristall #kristalle #crystals #candles #crystal #magical #crystalhealing #magicofchildhood #crystalshop #crystallove #crystallovers #crystalsofinstagram #crystalvibes #crystaladdict #crystallover #crystalobsessed #crystalheart #rosenquarz #onlineshopping #onlineshop #makramee #makrameeliebe",https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-15/275794911_703612690643631_5217181084306480187_n.jpg?stp=dst-webp_e35&cb=9ad74b5e-95d2b877&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=EjBG8ZjyMrQAX8eMdtF&edm=ABZsPhsBAAAA&ccb=7-4&ig_cache_key=Mjc5NTE1MzU5NjQ5OTU1MDIxMw%3D%3D.2-ccb7-4&oh=00_AT9xVNroqTARHgS36FEloV6iehK7DDHN23-JwcQMwfmskg&oe=62396E8C&_nc_sid=4efc9f,2795153596499550000,46047929869,Photo,#crystals,2022-03-17T01:27:17.629Z,,False,,,,work hard past day prepare mega restock time new item sphere tower cluster tea light holder rust piece earring chain pendant hand stone figure xxl crystal bowl bottle incense much shop update take place sunday p like point probably quite busy welcome order several time secure favorite item shopping basket buy someone else time Unfortunately cannot reserve shopping cart website provider order several time bad forget order several time enter individual name search engine see person order several time Please think twice buy exactly want crystal pay always unpleasant cancellation come minute order place category b good also crystal egg easter really look forward update thank support crystal crystal crystal candle crystal magical crystalhealing magicofchildhood crystalshop crystallove crystallovers crystalsofinstagram crystalvibes crystaladdict crystallover crystalobsessed crystalheart rosenquarz onlineshopping onlineshop makramee makrameeliebe,"['work', 'hard', 'past', 'day', 'prepare', 'mega', 'restock', 'time', 'new', 'item', 'sphere', 'tower', 'cluster', 'tea', 'light', 'holder', 'rust', 'piece', 'earring', 'chain', 'pendant', 'hand', 'stone', 'figure', 'xxl', 'crystal', 'bowl', 'bottle', 'incense', 'much', 'shop', 'update', 'take', 'place', 'sunday', 'p', 'like', 'point', 'probably', 'quite', 'busy', 'welcome', 'order', 'several', 'time', 'secure', 'favorite', 'item', 'shopping', 'basket', 'buy', 'someone', 'else', 'time', 'Unfortunately', 'can', 'not', 'reserve', 'shopping', 'cart', 'website', 'provider', 'order', 'several', 'time', 'bad', 'forget', 'order', 'several', 'time', 'enter', 'individual', 'name', 'search', 'engine', 'see', 'person', 'order', 'several', 'time', 'Please', 'think', 'twice', 'buy', 'exactly', 'want', 'crystal', 'pay', 'always', 'unpleasant', 'cancellation', 'come', 'minute', 'order', 'place', 'category', 'b', 'good', 'also', 'crystal', 'egg', 'easter', 'really', 'look', 'forward', 'update', 'thank', 'support', 'crystal', 'crystal', 'crystal', 'candle', 'crystal', 'magical', 'crystalhealing', 'magicofchildhood', 'crystalshop', 'crystallove', 'crystallovers', 'crystalsofinstagram', 'crystalvibes', 'crystaladdict', 'crystallover', 'crystalobsessed', 'crystalheart', 'rosenquarz', 'onlineshopping', 'onlineshop', 'makramee', 'makrameeliebe']"
1,https://www.instagram.com/p/CbK9hAvhxjC/,https://www.instagram.com/awakenstardust,awakenstardust,Bring Love to People❤,26,1157,2022-03-16T16:23:03.000Z,"Drop a 👁️ if you can relate
Follow @awakenstardust for more,💜
.
#spiritualawakening #spirituality #spiritual #spiritualjourney #spiritualquotes #awakening #tarot #breathingexercises #awakethesoul #crystals #connectedtosource #affirmations #positiveaffirmations #3rdeye #5d #witchcraft #energy #universe  #woke #intuition #astrology #higherconsciousness #spiritualenergy #consciousness #consciousliving #enlightenment #healing #spiritualmemes #manifesting #crystalhealing",https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-15/275748696_155061360220333_7422723337706262950_n.webp?stp=dst-webp_e35&cb=9ad74b5e-95d2b877&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=fQ7RRnuFd_MAX8y0xfH&edm=ABZsPhsBAAAA&ccb=7-4&ig_cache_key=Mjc5NTMxNzA2ODExNDEwNjU2Mg%3D%3D.2-ccb7-4&oh=00_AT_aZDaGlbaruG9BX4QC3iD4oo8v9aeMXJvu3x_u56D1Cg&oe=62393A7F&_nc_sid=4efc9f,2795317068114106400,8137206628,Photo,#crystals,2022-03-17T01:27:17.629Z,,False,,,,drop relatefollow awakenstardust spiritualawakening spirituality spiritual spiritualjourney spiritualquotes awaken tarot breathingexercises awakethesoul crystal connectedtosource affirmation positiveaffirmations witchcraft energy universe wake intuition astrology higherconsciousness spiritualenergy consciousness consciousliving enlightenment heal spiritualmemes manifest crystalhealing,"['drop', 'relatefollow', 'awakenstardust', 'spiritualawakening', 'spirituality', 'spiritual', 'spiritualjourney', 'spiritualquotes', 'awaken', 'tarot', 'breathingexercises', 'awakethesoul', 'crystal', 'connectedtosource', 'affirmation', 'positiveaffirmations', 'witchcraft', 'energy', 'universe', 'wake', 'intuition', 'astrology', 'higherconsciousness', 'spiritualenergy', 'consciousness', 'consciousliving', 'enlightenment', 'heal', 'spiritualmemes', 'manifest', 'crystalhealing']"
2,https://www.instagram.com/p/CbKJdGUj_gg/,https://www.instagram.com/praktijk_matricaria,praktijk_matricaria,Praktijk Matricaria,26,181,2022-03-16T08:48:08.000Z,"Spirit kwarts 💕
Eindelijk! Na een lange zoektocht heb ik ze weer gevonden 😍.

Deze mooie steen heeft meerdere benamingen: Spirit Kwarts, Cactus Amethist of Zielenkwarts en wordt alleen gevonden in Zuid-Afrika.

De meeste spiritkwarts is Amethist in wisselende kleuren, maar ook Citrien en witte kwarts worden wel eens in deze cactusvorm gevonden.

Spiritkwarts heeft de juiste naam gekregen voor de werking die de steen heeft. Het is namelijk een steen die je geest (je spirit) in beweging brengt.
Het brengt je in contact met alle aspecten van je innerlijke en uiterlijke leven.
Het helpt je om beter te kunnen visualiseren en manifesteren.

Daarnaast reinigt en zuivert spiritkwarts je auraveld grondig. Zo kan het negatieve aanhechtingen en entiteiten verwijderen.

Spirit Amethist ondersteund je bij het hebben van een positieve instelling en het positief denken. Negativiteit, donkere gedachten en zorgen worden weggenomen door zijn mooie energie 💕

#amethist #spiritamethyst #spiritquartz #edelstenen #mineralen #kristallen #crystals #crystal #crystalsofig #crystallove #crystalhealing #crystalvibes #spiritueel #wicca #spiritual #spirituality",https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-15/275888178_669740227408324_9201497782145427110_n.jpg?stp=dst-webp_e35&cb=9ad74b5e-95d2b877&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=pRCN8F1DxZ8AX-oog7x&edm=ABZsPhsBAAAA&ccb=7-4&ig_cache_key=Mjc5NTA4ODEwMDgwNzY2OTc5Mg%3D%3D.2-ccb7-4&oh=00_AT9ihefvQ_KbOJQp2tJ16O0kQepqyxOm_ncpOynBDibQ8Q&oe=6238A887&_nc_sid=4efc9f,2795088100807670000,47923412240,Photo,#crystals,2022-03-17T01:27:17.629Z,,False,,,,spirit quartz finally long search find beautiful stone several name spirit quartz cactus amethyst soul quartz find South Africa spirit quartz amethyst vary colour citrine white quartz also sometimes find cactus shape spirit quartz give correct name effect stone stone move mind spirit put touch aspect inner life help better visualize manifest addition spirit quartz thoroughly clean purifies auric field remove negative attachment entity spirit amethyst support positive attitude positive thinking negativity dark thought worry dispel beautiful energy amethyst spiritamethyst spiritquartz gems mineral crystal crystal crystal crystalsofig crystallove crystalhealing crystalvibes spiritual wicca spiritual spirituality,"['spirit', 'quartz', 'finally', 'long', 'search', 'find', 'beautiful', 'stone', 'several', 'name', 'spirit', 'quartz', 'cactus', 'amethyst', 'soul', 'quartz', 'find', 'South', 'Africa', 'spirit', 'quartz', 'amethyst', 'vary', 'colour', 'citrine', 'white', 'quartz', 'also', 'sometimes', 'find', 'cactus', 'shape', 'spirit', 'quartz', 'give', 'correct', 'name', 'effect', 'stone', 'stone', 'move', 'mind', 'spirit', 'put', 'touch', 'aspect', 'inner', 'life', 'help', 'better', 'visualize', 'manifest', 'addition', 'spirit', 'quartz', 'thoroughly', 'clean', 'purifies', 'auric', 'field', 'remove', 'negative', 'attachment', 'entity', 'spirit', 'amethyst', 'support', 'positive', 'attitude', 'positive', 'thinking', 'negativity', 'dark', 'thought', 'worry', 'dispel', 'beautiful', 'energy', 'amethyst', 'spiritamethyst', 'spiritquartz', 'gems', 'mineral', 'crystal', 'crystal', 'crystal', 'crystalsofig', 'crystallove', 'crystalhealing', 'crystalvibes', 'spiritual', 'wicca', 'spiritual', 'spirituality']"
3,https://www.instagram.com/p/CbHDHKrPN1X/,https://www.instagram.com/nickycrystcollection,nickycrystcollection,,18,1438,2022-03-15T03:54:59.000Z,"Beautiful pink amethyst freedom from @elo.di_ 💜 Her druzy and mix colour is 1000/10! Love her so so much!

[NFS]",https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-15/275798960_141435628401281_4263073081511646884_n.jpg?stp=dst-webp_e35&cb=9ad74b5e-95d2b877&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=tojL5JjGjNUAX_HlZ86&edm=ABZsPhsBAAAA&ccb=7-4&ig_cache_key=Mjc5NDIxNTc4MDQ0NTM3OTkyNw%3D%3D.2-ccb7-4&oh=00_AT8xCT1BawZbyQxxAV41RYH6BhWKJ2NjbbTby0SH-8g10w&oe=62398D43&_nc_sid=4efc9f,2794215780445380000,37130676652,Photo,#crystals,2022-03-17T01:27:17.629Z,,False,,,,beautiful pink amethyst freedom elo di_ druzy mix colour love much nfs,"['beautiful', 'pink', 'amethyst', 'freedom', 'elo', 'di_', 'druzy', 'mix', 'colour', 'love', 'much', 'nfs']"
4,https://www.instagram.com/p/CbIAdAXupdV/,https://www.instagram.com/sacredsoulfulshop,sacredsoulfulshop,Crystals &amp; Wellness,9,150,2022-03-15T12:51:00.000Z,"We’re you able to scoop up some Orca Agate last week? Don’t worry we will for sure be getting more in. 

Metaphysical Properties of Orca Agate
-named from the beautiful depths of the ocean as well as the majestic orca whale
-powerful stone that resonates with the throat chakra 
-deeply connected to communication and inner truth 
-helps one connect to their inner psyche 
-very balancing and grounding stone
-can heal any deep internal emotional wound 
-the forgiveness stone
-frees the user from self doubt and self loathing 
-promotes gentle inner peace

#orcaagate #orcaagatepalmstone #crystals #crystalshop #vaughanontariocrystals #crystalhealing",https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-15/275791166_958799941462339_835341867778301422_n.jpg?stp=dst-webp_e35&cb=9ad74b5e-95d2b877&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=2LKmChQ2uOUAX_Lt17G&edm=ABZsPhsBAAAA&ccb=7-4&ig_cache_key=Mjc5NDQ4NTU2MjA0NjMyMjUxNw%3D%3D.2-ccb7-4&oh=00_AT-wuL4duG9bfDEEZW5Lxpw5PViyPcpz0B4Rvoyc69J2Ww&oe=623921D0&_nc_sid=4efc9f,2794485562046322700,48450648258,Photo,#crystals,2022-03-17T01:27:17.629Z,"Vaughan, Ontario",False,,,,able scoop orca agate last week dont worry sure get metaphysical property orca agate name beautiful depth ocean well majestic orca whale powerful stone resonate throat chakra deeply connect communication inner truth help connect inner psyche balance ground stone heal deep internal emotional forgiveness stone free user self doubt self loathing promote gentle inner peace orcaagate orcaagatepalmstone crystal crystalshop vaughanontariocrystals crystalhealing,"['able', 'scoop', 'orca', 'agate', 'last', 'week', 'dont', 'worry', 'sure', 'get', 'metaphysical', 'property', 'orca', 'agate', 'name', 'beautiful', 'depth', 'ocean', 'well', 'majestic', 'orca', 'whale', 'powerful', 'stone', 'resonate', 'throat', 'chakra', 'deeply', 'connect', 'communication', 'inner', 'truth', 'help', 'connect', 'inner', 'psyche', 'balance', 'ground', 'stone', 'heal', 'deep', 'internal', 'emotional', 'forgiveness', 'stone', 'free', 'user', 'self', 'doubt', 'self', 'loathing', 'promote', 'gentle', 'inner', 'peace', 'orcaagate', 'orcaagatepalmstone', 'crystal', 'crystalshop', 'vaughanontariocrystals', 'crystalhealing']"
5,https://www.instagram.com/p/CbK4qftvRFI/,https://www.instagram.com/wirewrappingposts,wirewrappingposts,Wirewrapping,3,117,2022-03-16T15:40:39.000Z,"Crystal Magic🔮✨ Which necklace is your most favorite?🥰 All pieces available @crystal.lune come take a peek!🍃
🌿🌙Etsy Shop Link In Bio🌙🌿

🌹
🦋
☀️

#Repost. @wirewrappingposts

From  @crystal.lune 
——

#wirewrappedjewelry #wirewrapping #wirejewelry #stonejewelry #crystaljewelry #crystaljewellery #crystalnecklace #crystalnails #crystalmagic #magic #witchyvibes #witchywoman #crystals #crystallove #crystallovers #lapislazuli #jasper #aventurine #amethyst #rosequartz #opal #necklace #jewelry #halloweenjewelry #jewelrytrends #necklacelover",https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-15/275851622_751767202472606_7355719289182265923_n.webp?stp=dst-webp_e35&cb=9ad74b5e-95d2b877&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=oqqzEidzahsAX_cAFmh&edm=ABZsPhsBAAAA&ccb=7-4&ig_cache_key=Mjc5NTI5NTcyOTYxMjgyMDgwOA%3D%3D.2-ccb7-4&oh=00_AT80-mahlwSvodF4GHdVEo4Xe7vrUPbdS9AapTyzSeP74Q&oe=6238ED28&_nc_sid=4efc9f,2795295729612821000,51261636968,Photo,#crystals,2022-03-17T01:27:17.629Z,United States,False,,,,crystal magic necklace favorite piece available crystal lune come take peek etsy shop link bio repost crystal lune wirewrappedjewelry wirewrapping wirejewelry stonejewelry crystaljewelry crystaljewellery crystalnecklace crystalnails crystalmagic magic witchyvibes witchywoman crystal crystallove crystallovers lapislazuli jasper aventurine amethyst rosequartz opal necklace jewelry halloweenjewelry jewelrytrends necklacelover,"['crystal', 'magic', 'necklace', 'favorite', 'piece', 'available', 'crystal', 'lune', 'come', 'take', 'peek', 'etsy', 'shop', 'link', 'bio', 'repost', 'crystal', 'lune', 'wirewrappedjewelry', 'wirewrapping', 'wirejewelry', 'stonejewelry', 'crystaljewelry', 'crystaljewellery', 'crystalnecklace', 'crystalnails', 'crystalmagic', 'magic', 'witchyvibes', 'witchywoman', 'crystal', 'crystallove', 'crystallovers', 'lapislazuli', 'jasper', 'aventurine', 'amethyst', 'rosequartz', 'opal', 'necklace', 'jewelry', 'halloweenjewelry', 'jewelrytrends', 'necklacelover']"
6,https://www.instagram.com/p/CbLBmlcF88V/,https://www.instagram.com/spiritnectar,spiritnectar,Spirit Nectar,28,2254,2022-03-16T16:58:46.000Z,"SHOP UPDATE!!! 😻🔥 I just added over 100 new crystals to the shop, with so many new specimens to choose from. If you’re a fan of raw crystals, this is definitely the update for you! 💓",https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-15/275863649_513573813469724_1690230460335774701_n.jpg?stp=dst-webp_e35&cb=9ad74b5e-95d2b877&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=6ir261wr834AX-KnPaI&edm=ABZsPhsBAAAA&ccb=7-4&ig_cache_key=Mjc5NTMzNTA0MzI5OTkyMTY4NQ%3D%3D.2-ccb7-4&oh=00_AT8x9fYnCNJ3rx7miJm4azkN7gvZqvzfYlFqLJ0FSb2tRQ&oe=6239EFD4&_nc_sid=4efc9f,2795335043299922000,2211232638,Photo,#crystals,2022-03-17T01:27:17.629Z,,False,,,,shop update add new crystal shop many new specimen choose fan raw crystal definitely update,"['shop', 'update', 'add', 'new', 'crystal', 'shop', 'many', 'new', 'specimen', 'choose', 'fan', 'raw', 'crystal', 'definitely', 'update']"
7,https://www.instagram.com/p/CbKvvOQJE7M/,https://www.instagram.com/life_of_geology,life_of_geology,Geologist 😎,21,3031,2022-03-16T14:22:39.000Z,"WOAH 😳 Check out this massive Selenite treasure chest @celestialgroovecollection saw at the Tucson Show this past year 🤩💎
Follow My Account
👉 @life_of_geology 👈
𝗖𝗼𝗺𝗺𝗲𝗻𝘁  𝗧𝗮𝗴  𝗦𝗵𝗮𝗿𝗲 💯
𝗧𝘂𝗿𝗻 𝗢𝗡 𝗣𝗼𝘀𝘁 𝗡𝗼𝘁𝗶𝗳𝗶𝗰𝗮𝘁𝗶𝗼𝗻𝘀 &amp; 𝗡𝗲𝘃𝗲𝗿 𝗺𝗶𝘀𝘀 𝗮𝗻𝘆 𝗖𝗼𝗻𝘁𝗲𝗻𝘁! 😇",https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-15/275826776_299984845608813_8157767738774013107_n.webp?stp=dst-webp_e35&cb=9ad74b5e-95d2b877&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=pqV9QSyCEuwAX9OFb47&edm=ABZsPhsBAAAA&ccb=7-4&ig_cache_key=Mjc5NTI1NjQ3MjA0MTQ0MzAyMA%3D%3D.2-ccb7-4&oh=00_AT_5Z7syL1EvAVRe5MzW2WecDalqZlgWNQglFOdiqaDKpA&oe=623932D0&_nc_sid=4efc9f,2795256472041443000,8530570213,Photo,#crystals,2022-03-17T01:27:17.629Z,,False,,,,woah check massive selenite treasure chest celestialgroovecollection saw tucson show past year follow account life_of_geology,"['woah', 'check', 'massive', 'selenite', 'treasure', 'chest', 'celestialgroovecollection', 'saw', 'tucson', 'show', 'past', 'year', 'follow', 'account', 'life_of_geology']"
8,https://www.instagram.com/p/CbIofA_PzKJ/,https://www.instagram.com/crystalladyluna,crystalladyluna,🎀ॐ DIVINE CRYSTAL SHOPॐ🎀,3,3,2022-03-15T18:40:48.000Z,"🐚𝐺𝑒𝑚𝑚𝑦 𝑅𝑜𝑠𝑒 𝑄𝑢𝑎𝑟𝑡𝑧 𝑆𝑒𝑎 𝑆ℎ𝑒𝑙𝑙𝑧🐚

😍𝐓𝐡𝐞𝐬𝐞 𝐟𝐨𝐮𝐧𝐝 𝐡𝐨𝐦𝐞𝐬 𝐟𝐚𝐬𝐭! 𝐖𝐞 𝐝𝐨 𝐡𝐚𝐯𝐞 𝐨𝐧𝐥𝐲 𝐚 𝐟𝐞𝐰 𝐚𝐯𝐚𝐢𝐥𝐚𝐛𝐥𝐞, 𝐧𝐨𝐰 𝐥𝐢𝐬𝐭𝐞𝐝 𝐭𝐨 𝐨𝐮𝐫 𝐰𝐞𝐛𝐬𝐢𝐭𝐞.

𝐶𝑙𝑖𝑐𝑘 𝑜𝑢𝑟 𝑏𝑖𝑜 𝑙𝑖𝑛𝑘🎀 

✨Rose Quartz has always been known as the stone to attract love 💕 

But I believe that we should recognize its powerful vibration to invoke self love, self care, compassion, joy and being gentle with ourselves. 🌹

💕It can , and will { if you are receptive and willing to surrender } repair the heart slowly and softly. 

It can reach deep rooted child wounds and traumas and can offer us the reminder that we are perfect as we are. 💗

These star RQ🌟 beauties can serve as a message to continue to shine and love ourselves so we can attract the love we deserve on all levels. 💕

I love you . I am you. You are me.
𝓐𝓼 𝓪𝓫𝓸𝓿𝓮, 𝓼𝓸 𝓫𝓮𝓵𝓸𝔀.🌹

𝓧𝓸𝔁𝓸, 𝓜𝓪𝓻𝓲 🌞

@crystalladyluna
@crystalladylunashop

💗
𝐰𝐰𝐰.𝐜𝐫𝐲𝐬𝐭𝐚𝐥𝐥𝐚𝐝𝐲𝐥𝐮𝐧𝐚.𝐜𝐨𝐦

Follow us on TikTok: @crystalladyluna

𝐍𝐞𝐱𝐭 𝐋𝐢𝐯𝐞 𝐒𝐚𝐥𝐞: 𝐌𝐨𝐧𝐝𝐚𝐲 𝟑/𝟐𝟏 𝟓𝐩𝐦 𝐩𝐬𝐭

💕

#crystal #crystals #crystallove #crystallivesale #crystalenergy #crystalandgemjunkie #abundance #higherconsciousness #thirdeye #crystalhealingenergy #crystalstore  #explore #crystallover #crystalheart #chakras #crystalporn  #crystalsofinsta #crystalsofig #starrosequartz #mineral #rosequartz #crystalspecimen #witchtok #crystalladyluna  #crystalshop #crystalshell",https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-15/275735611_705842957092252_3037058308847446059_n.jpg?stp=dst-webp_e35&cb=9ad74b5e-95d2b877&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=r_u4QF_b2vsAX-bmaDr&edm=ABZsPhsBAAAA&ccb=7-4&ig_cache_key=Mjc5NDY2MTYyMjAwODcyMjA1Nw%3D%3D.2-ccb7-4&oh=00_AT82fpXZyKHVhlabkWxKcd6BEqwZJUT6a__mPGU6P04WTw&oe=623A107C&_nc_sid=4efc9f,2794661622008722000,347939449,Photo,#crystals,2022-03-17T01:27:17.629Z,,False,,,,rise quartz always know stone attract love believe recognize powerful vibration invoke love care compassion joy gentle receptive willing surrender repair heart slowly softly reach deep root child wound trauma offer reminder perfect star rq beauty serve message continue shine love attract love deserve level love crystalladyluna crystalladylunashop follow tiktok crystalladyluna crystal crystal crystallove crystallivesale crystalenergy crystalandgemjunkie abundance higherconsciousness thirdeye crystalhealingenergy crystalstore explore crystallover crystalheart chakras crystalporn crystalsofinsta crystalsofig starrosequartz mineral rosequartz crystalspecimen witchtok crystalladyluna crystalshop crystalshell,"['rise', 'quartz', 'always', 'know', 'stone', 'attract', 'love', 'believe', 'recognize', 'powerful', 'vibration', 'invoke', 'love', 'care', 'compassion', 'joy', 'gentle', 'receptive', 'willing', 'surrender', 'repair', 'heart', 'slowly', 'softly', 'reach', 'deep', 'root', 'child', 'wound', 'trauma', 'offer', 'reminder', 'perfect', 'star', 'rq', 'beauty', 'serve', 'message', 'continue', 'shine', 'love', 'attract', 'love', 'deserve', 'level', 'love', 'crystalladyluna', 'crystalladylunashop', 'follow', 'tiktok', 'crystalladyluna', 'crystal', 'crystal', 'crystallove', 'crystallivesale', 'crystalenergy', 'crystalandgemjunkie', 'abundance', 'higherconsciousness', 'thirdeye', 'crystalhealingenergy', 'crystalstore', 'explore', 'crystallover', 'crystalheart', 'chakras', 'crystalporn', 'crystalsofinsta', 'crystalsofig', 'starrosequartz', 'mineral', 'rosequartz', 'crystalspecimen', 'witchtok', 'crystalladyluna', 'crystalshop', 'crystalshell']"
9,https://www.instagram.com/p/CbL7tyxMI5_/,https://www.instagram.com/supernaturalhealinggeek,supernaturalhealinggeek,SuperNatural Healing Geek,4,2,2022-03-17T01:26:34.000Z,"Thanks @iamsinetheab!! Spot on!

DM for:
READINGS (Tarot, Oracle, Energy, Intuituve)
HEALING (Herbal, Reiki, Energy)
TEA (Breathe Easy)
COACHING (Life &amp; Develop Intuitive Gifts)

#love #healer #iamsupernatural #teacher #meditation #lightworker #spirituality #empath #spiritual #energy #nature #psychic #chakras #spiritualawakening #supernatural #crystals #selflove #peace #motivation #reader #intuition #tarot #universe #art #thirdeye  #light  #weightloss #soul  #herbalist #intuitive",https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-15/275832643_443029770924297_7078097273600719783_n.jpg?stp=dst-webp_e35&cb=9ad74b5e-95d2b877&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=udfPOv9VKIkAX9eiJLU&edm=ABZsPhsBAAAA&ccb=7-4&ig_cache_key=Mjc5NTU5MDYyNTM0NjQ4OTk4Mw%3D%3D.2-ccb7-4&oh=00_AT8_hS6aaX9_dpHy45NaWo_B1hMr90jIB3YYP0R4PNE7qA&oe=6238DC0E&_nc_sid=4efc9f,2795590625346490000,7337062278,Photo,#crystals,2022-03-17T01:27:17.629Z,,False,,,,thanks iamsinetheab spot dm reading tarot oracle energy intuituve heal herbal reiki energy tea breathe easy coach life develop intuitive gift love healer iamsupernatural teacher meditation lightworker spirituality empath spiritual energy nature psychic chakras spiritualawakening supernatural crystal selflove peace motivation reader intuition tarot universe art thirdeye light soul herbalist intuitive,"['thanks', 'iamsinetheab', 'spot', 'dm', 'reading', 'tarot', 'oracle', 'energy', 'intuituve', 'heal', 'herbal', 'reiki', 'energy', 'tea', 'breathe', 'easy', 'coach', 'life', 'develop', 'intuitive', 'gift', 'love', 'healer', 'iamsupernatural', 'teacher', 'meditation', 'lightworker', 'spirituality', 'empath', 'spiritual', 'energy', 'nature', 'psychic', 'chakras', 'spiritualawakening', 'supernatural', 'crystal', 'selflove', 'peace', 'motivation', 'reader', 'intuition', 'tarot', 'universe', 'art', 'thirdeye', 'light', 'soul', 'herbalist', 'intuitive']"
