Unnamed: 0,follower,no_of_followers,no_of_followees,is_private,ratio,no_of_posts,possible_candidate
134,reddyy89,0,131,True,131.0,0,No
135,hy0909,266,420,True,1.5789473684210529,1021,No
136,inatan3872,40,180,False,4.5,0,No
137,ireneloh80,221,1038,True,4.6968325791855206,277,No
138,nurulfatinas,483,2076,True,4.298136645962733,215,No
139,lj_ooi100,251,1603,False,6.386454183266932,34,No
140,ikin.croffisa,1673,2117,True,1.265391512253437,931,No
141,pigletlicious,86,1796,True,20.88372093023256,1352,No
142,jjjen16,48,216,False,4.5,335,No
143,pearllfy,297,450,True,1.5151515151515151,545,No
144,shopaholicdreams,57,95,True,1.6666666666666667,604,No
145,clarapp82,225,1448,True,6.435555555555555,34,No
146,choice_minimalist,19,454,True,23.894736842105264,8,No
147,rachelsuyi,20,66,True,3.3,11,No
148,jayexong,375,876,True,2.336,71,No
149,niracrystal_wholesale,212,3721,False,17.55188679245283,166,No
150,sharakader,57,2017,True,35.3859649122807,116,No
151,9sxd9,0,559,True,559.0,10,No
152,imnotthatplainjane,406,998,True,2.458128078817734,3091,No
153,thebigbiq,646,762,False,1.1795665634674923,194,No
154,senoriessa,1297,1108,True,0.8542791056283732,200,No
155,brigitte2622,170,525,True,3.088235294117647,596,No
156,superstardadada,113,326,False,2.884955752212389,335,No
157,eliiii_elephant,11,106,False,9.636363636363637,5,No
158,simbeehua,31,123,True,3.967741935483871,138,No
159,katcyy,148,126,False,0.8513513513513513,47,No
160,wnd.123,480,1637,True,3.410416666666667,160,No
161,h_m.traderr,1782,4349,False,2.440516273849607,818,No
162,steadynad,442,589,False,1.332579185520362,173,No
163,medusafreya,120,1118,True,9.316666666666666,58,No
164,estariand,683,2120,False,3.103953147877013,2068,No
165,micheonggm,192,282,True,1.46875,1194,No
166,ginnywoo,60,440,True,7.333333333333333,33,No
167,ndh_.rh,272,264,False,0.9705882352941176,6,No
168,jmieonders,107,379,True,3.542056074766355,157,No
169,babygabby,58,423,True,7.293103448275862,1,No
170,vnehta,84,752,True,8.952380952380953,3,No
171,rachellimerdinger,132,304,True,2.303030303030303,105,No
172,anaqilyanahairi,5967,992,False,0.1662476956594603,985,No
173,jmj1801,825,3545,True,4.296969696969697,5993,No
174,ahaneah,33,864,True,26.181818181818183,1331,No
175,syl.vivi.anne,80,325,True,4.0625,219,No
176,iamtitimasdollah,97,476,True,4.907216494845361,13,No
177,luwenagoh,78,144,True,1.8461538461538465,326,No
178,eve_li8,77,1046,False,13.584415584415584,17,No
179,mt.chua.7,111,152,False,1.3693693693693694,573,No
180,suhailafnsm,51,747,True,14.647058823529411,242,No
181,annacxyy,475,649,True,1.3663157894736842,2,No
182,maomaokat10,290,1700,True,5.862068965517241,53,No
183,thinklikeagirl,143,1708,True,11.944055944055943,638,No
184,magical_crystaland,24,123,True,5.125,4,No
185,jkln2218,336,1227,True,3.6517857142857135,210,No
186,totoro_secretgarden,89,394,False,4.426966292134831,14,No
187,gaonanie,59,109,True,1.847457627118644,67,No
188,viiviishinnn,474,400,True,0.8438818565400844,168,No
189,angelus_en_noir,81,261,True,3.2222222222222223,892,No
190,_xirahhh,314,2017,True,6.423566878980892,2,No
191,strwbrrykiko,314,2017,True,6.423566878980892,2,No
192,ireneong67,43,110,False,2.558139534883721,9,No
193,chxntxll,230,3396,True,14.765217391304349,453,No
194,intoxicatedcaffeine,116,348,True,3.0,2319,No
195,bubble._.bobble,79,293,True,3.708860759493671,114,No
196,deliaaaacjy,119,687,True,5.773109243697479,726,No
197,ckhayashi19,34,86,False,2.5294117647058822,5,No
198,remixt,157,850,True,5.414012738853503,617,No
199,cheecheescheese,294,470,False,1.598639455782313,127,No
200,adrienechin,205,251,True,1.224390243902439,710,No
201,ykristabella,449,645,False,1.4365256124721604,57,No
202,pohrebecca,64,773,True,12.078125,1071,No
203,lxntricia,372,347,True,0.9327956989247312,15,No
204,marilynpang_40,50,231,True,4.62,1,No
205,dianatanhs,306,408,True,1.3333333333333333,2,No
206,island_gemstore,306,408,True,1.3333333333333333,2,No
207,annapoh.low,41,103,True,2.5121951219512195,687,No
208,ets.elec,20,160,True,8.0,155,No
209,rosafeb22,2015,1164,False,0.577667493796526,1393,No
210,bimi_le,110,359,True,3.263636363636364,259,No
211,dolp,400,338,True,0.845,555,No
212,ricks_nandwani,14125,215,False,0.015221238938053,1190,No
213,mineralsrocksshop2.0,14125,215,False,0.015221238938053,1190,No
214,askvifirst,147,179,False,1.217687074829932,10,No
215,linakwa,321,613,True,1.9096573208722745,632,No
216,cassann55,63,53,False,0.8412698412698413,0,No
217,wan.yeee,1115,791,True,0.7094170403587444,47,No
218,rogerina85,156,406,True,2.602564102564102,210,No
219,priscillakoo,49,205,True,4.183673469387755,821,No
220,miracle_of_crystal,1,326,True,326.0,0,No
221,gouwanne,274,1188,True,4.335766423357664,505,No
222,be.the.light.crystals,529,499,False,0.943289224952741,67,No
223,11111_shasha,6,2101,True,350.1666666666667,0,No
224,29.nnny,182,504,True,2.769230769230769,2276,No
225,bethlim83,433,644,True,1.48729792147806,337,No
226,felichan,184,205,False,1.1141304347826086,243,No
227,evon.lim.944,24,26,False,1.0833333333333333,1,No
228,estherli545,446,1875,False,4.2040358744394615,47,No
229,babycoolkids.s,12,1212,True,101.0,0,No
230,yuen_enn,342,469,True,1.371345029239766,21,No
231,margaretcsk,42,100,True,2.380952380952381,1,No
232,mistihearts_,123,317,False,2.5772357723577235,51,No
233,babe_74,52,88,True,1.6923076923076923,57,No
234,altheabriseis_iii,286,1182,False,4.1328671328671325,1712,No
235,cherriesty,108,1124,True,10.407407407407408,3287,No
236,ssiewkee,45,85,True,1.8888888888888888,30,No
237,apriltham,189,260,True,1.3756613756613756,284,No
238,itsaddumb,2582,1824,False,0.7064291247095275,37,No
239,kareenl_,299,361,False,1.2073578595317729,85,No
240,aj_wiz21,417,293,False,0.7026378896882494,11,No
241,simplicitywine,748,1364,True,1.8235294117647056,204,No
242,ichi.umai,1378,264,False,0.1915820029027576,36,No
243,ross3ll3,165,280,True,1.696969696969697,5,No
244,piggy_shan1102,632,562,False,0.8892405063291139,780,No
245,alocasiabeauty,49,90,False,1.836734693877551,31,No
246,raczing,108,428,True,3.962962962962963,154,No
247,counting_elephant,341,1060,False,3.10850439882698,567,No
248,ivyangcy,296,992,False,3.3513513513513518,490,No
249,san3_8989,493,1021,True,2.0709939148073024,374,No
250,audisaaclarisse,21,120,True,5.714285714285714,517,No
251,tfjosephine,44,110,False,2.5,0,No
252,cubby_bie,547,2435,True,4.451553930530165,508,No
253,joannengbl,10,96,True,9.6,2,No
254,cuterabbit72,91,675,False,7.417582417582418,98,No
255,seasonlee1010,32,475,True,14.84375,1158,No
256,mii__doreen__reen,653,1133,False,1.7350689127105663,246,No
257,leihoi,914,653,False,0.7144420131291028,1854,No
258,neshrella,485,740,True,1.5257731958762886,1112,No
259,tateandeden,228,1150,True,5.043859649122807,126,No
260,priscillaindumathi,692,2443,True,3.5303468208092488,274,No
261,milkyice,121,942,True,7.785123966942149,18,No
262,enchantedencounterss,45,45,False,1.0,25,No
263,jnlyx,34,927,True,27.264705882352946,1814,No
264,padina.irani79,709,7492,True,10.566995768688294,129,No
265,aileenleesp,58,204,True,3.5172413793103448,336,No
266,atikah_bahar,11,1183,True,107.54545454545456,26,No
267,npeisze,265,551,True,2.079245283018868,564,No
268,meenzsweetz,1274,6944,True,5.450549450549451,631,No
269,nicole_cytan,55,44,False,0.8,26,No
270,nxrsafiah.sayf,1012,5031,True,4.971343873517786,3006,No
271,michlgk71,137,1189,True,8.678832116788321,1159,No
272,shuwenlee,271,341,True,1.2583025830258303,2606,No
273,firdatum,576,1268,True,2.201388888888889,1855,No
274,andreashlynaiden,193,216,True,1.1191709844559583,364,No
275,nicolebuttons,56,453,True,8.089285714285714,0,No
276,delunaxkitty,372,4213,True,11.325268817204302,181,No
277,fiqahzam16,306,1070,False,3.496732026143791,43,No
278,sheliatan,21725,372,False,0.0171231300345224,3813,No
279,happykim12345,1,2779,True,2779.0,1737,No
280,addiyenoh12,84,328,True,3.9047619047619047,253,No
281,angelhnx1983,59,518,True,8.779661016949152,235,No
282,vivianang,222,614,True,2.765765765765766,668,No
283,our_bele_bella,149,164,False,1.1006711409395973,446,No
284,zoelzk,941,560,True,0.5951115834218916,129,No
285,avariellej,423,1189,True,2.810874704491726,1744,No
286,linn_eu,69,286,True,4.144927536231884,35,No
287,meyzhiiii,287,2910,True,10.139372822299652,717,No
288,felicia_soon,189,446,False,2.35978835978836,128,No
289,tammieleeyh,155,841,True,5.425806451612903,106,No
290,tongvonne,94,45,False,0.4787234042553192,10,No
291,enghong10,75,192,True,2.56,0,No
292,anna_reenn,75,192,True,2.56,0,No
293,kimmivalbergtan,1487,3547,True,2.385339609952925,679,No
294,sh3ryl_dreamer,174,414,True,2.3793103448275863,385,No
295,kathykqw_,969,802,True,0.8276573787409701,1383,No
296,vietphan_,437,388,True,0.8878718535469108,255,No
297,leliancheah,126,1552,True,12.317460317460318,3007,No
298,luckycrystalsx,445,1843,False,4.141573033707865,39,No
299,gnimoos,79,735,True,9.30379746835443,94,No
300,vivienleeff,183,473,False,2.584699453551913,9,No
301,maybelng,253,1098,False,4.339920948616601,137,No
302,celinejayzi,101,356,False,3.5247524752475248,42,No
303,ruiwennie,147,236,True,1.6054421768707483,246,No
304,ngyulie777,291,1050,True,3.608247422680413,104,No
305,ringsandthethings,0,19,True,19.0,52,No
306,cloe._.c,154,312,True,2.0259740259740258,0,No
307,joycelimml,42,41,True,0.9761904761904762,4,No
308,wendylimmm77,50,62,True,1.24,32,No
309,xiushan33,109,158,True,1.4495412844036697,87,No
310,inlmkha,1,12,True,12.0,0,No
311,moch4luv,18,200,True,11.11111111111111,24,No
312,naixswww,109,406,True,3.7247706422018343,28,No
313,insanetlc,72,502,True,6.972222222222222,5113,No
314,desireeewl,390,605,True,1.551282051282051,465,No
315,farahphillipskhan,935,469,True,0.5016042780748663,31,No
316,vbajn_o,46,70,True,1.5217391304347827,0,No
